type, size, time, gflop
double, 14000, 117.535332, 46.692343
double, 14000, 117.739712, 46.611291
double, 14000, 117.477994, 46.715132
double, 14000, 117.831723, 46.574894
double, 14000, 117.611063, 46.662277
double, 14000, 59.520631, 92.203323
double, 14000, 59.312344, 92.527113
double, 14000, 59.275801, 92.584156
double, 14000, 59.293549, 92.556443
double, 14000, 59.387428, 92.410131
double, 14000, 30.362699, 180.748095
double, 14000, 30.352021, 180.811682
double, 14000, 30.323894, 180.979398
double, 14000, 30.468778, 180.118808
double, 14000, 30.431804, 180.337649
double, 14000, 15.653093, 350.601634
double, 14000, 15.730703, 348.871882
double, 14000, 15.653371, 350.595418
double, 14000, 15.661941, 350.403566
double, 14000, 15.650304, 350.664110
double, 14000, 10.787535, 508.735322
double, 14000, 10.827069, 506.877713
double, 14000, 10.812109, 507.579037
double, 14000, 10.806297, 507.852031
double, 14000, 10.800259, 508.135984
double, 14000, 9.941079, 552.052726
double, 14000, 9.941554, 552.026355
double, 14000, 9.952673, 551.409638
double, 14000, 9.981746, 549.803607
double, 14000, 9.943620, 551.911694
double, 14000, 9.398314, 583.934528
double, 14000, 9.590622, 572.225663
double, 14000, 9.425080, 582.276211
double, 14000, 9.453694, 580.513800
double, 14000, 9.432441, 581.821830
double, 14000, 9.138209, 600.555331
double, 14000, 9.137034, 600.632535
double, 14000, 9.109578, 602.442828
double, 14000, 9.129199, 601.148021
double, 14000, 9.121723, 601.640694
double, 14000, 8.984985, 610.796769
double, 14000, 8.984082, 610.858214
double, 14000, 9.014219, 608.815916
double, 14000, 9.009325, 609.146637
double, 14000, 8.998763, 609.861624
double, 14000, 9.131151, 601.019547
double, 14000, 9.033462, 607.519005
double, 14000, 9.157232, 599.307761
double, 14000, 9.019983, 608.426864
double, 14000, 8.803744, 623.371166
