type, size, time, gflop
double, 14000, 114.733778, 47.832470
double, 14000, 115.203587, 47.637406
double, 14000, 115.108458, 47.676774
double, 14000, 115.137264, 47.664847
double, 14000, 115.472419, 47.526501
double, 14000, 58.568595, 93.702094
double, 14000, 58.579991, 93.683865
double, 14000, 57.946467, 94.708104
double, 14000, 58.348624, 94.055346
double, 14000, 58.448548, 93.894548
double, 14000, 29.079939, 188.721168
double, 14000, 29.179429, 188.077705
double, 14000, 29.287582, 187.383170
double, 14000, 29.347290, 187.001936
double, 14000, 29.040137, 188.979824
double, 14000, 14.869294, 369.082765
double, 14000, 14.895299, 368.438381
double, 14000, 14.868043, 369.113815
double, 14000, 14.898057, 368.370191
double, 14000, 14.882366, 368.758560
double, 14000, 10.059339, 545.562703
double, 14000, 10.086927, 544.070550
double, 14000, 10.048258, 546.164313
double, 14000, 10.043602, 546.417533
double, 14000, 10.051091, 546.010380
double, 14000, 7.667219, 715.774545
double, 14000, 7.694561, 713.231114
double, 14000, 7.672379, 715.293124
double, 14000, 7.675483, 715.003853
double, 14000, 7.664347, 716.042726
double, 14000, 6.563688, 836.115278
double, 14000, 6.570592, 835.236789
double, 14000, 6.578426, 834.242077
double, 14000, 6.559117, 836.698049
double, 14000, 6.571858, 835.075926
double, 14000, 5.730876, 957.619713
double, 14000, 5.722522, 959.017712
double, 14000, 5.757268, 953.229921
double, 14000, 5.785107, 948.642804
double, 14000, 5.752503, 954.019525
double, 14000, 5.677959, 966.544570
double, 14000, 5.714470, 960.369064
double, 14000, 5.773956, 950.474905
double, 14000, 5.736891, 956.615758
double, 14000, 5.717373, 959.881473
double, 14000, 6.590459, 832.718971
double, 14000, 6.210234, 883.702646
double, 14000, 6.195105, 885.860668
double, 14000, 6.469796, 848.249293
double, 14000, 6.376309, 860.686030
