type, size, time, gflop
double, 14000, 124.075011, 44.231308
double, 14000, 124.056297, 44.237980
double, 14000, 124.854797, 43.955059
double, 14000, 116.436285, 47.133074
double, 14000, 123.898393, 44.294360
double, 14000, 63.033791, 87.064413
double, 14000, 63.873125, 85.920330
double, 14000, 63.629917, 86.248738
double, 14000, 63.739708, 86.100175
double, 14000, 63.425433, 86.526804
double, 14000, 32.009833, 171.447316
double, 14000, 31.726826, 172.976648
double, 14000, 32.891158, 166.853355
double, 14000, 32.171854, 170.583890
double, 14000, 33.178976, 165.405949
double, 14000, 15.734627, 348.784887
double, 14000, 16.842646, 325.839548
double, 14000, 16.863513, 325.436350
double, 14000, 17.095984, 321.011069
double, 14000, 16.757334, 327.498391
double, 14000, 11.558404, 474.806017
double, 14000, 11.522818, 476.272386
double, 14000, 10.730382, 511.444989
double, 14000, 11.657863, 470.755223
double, 14000, 10.843691, 506.100754
double, 14000, 10.067425, 545.124483
double, 14000, 10.085776, 544.132643
double, 14000, 9.784673, 560.877215
double, 14000, 9.973611, 550.252076
double, 14000, 9.885403, 555.161999
double, 14000, 10.057614, 545.656248
double, 14000, 9.772726, 561.562885
double, 14000, 10.055403, 545.776242
double, 14000, 9.961599, 550.915556
double, 14000, 10.143446, 541.038992
double, 14000, 8.702980, 630.588607
double, 14000, 9.518032, 576.589810
double, 14000, 9.373010, 585.510978
double, 14000, 9.360391, 586.300286
double, 14000, 9.261691, 592.548398
double, 14000, 8.933014, 614.350321
double, 14000, 8.825384, 621.842616
double, 14000, 9.346551, 587.168446
double, 14000, 9.198196, 596.638753
double, 14000, 9.123910, 601.496492
double, 14000, 8.991322, 610.366284
double, 14000, 8.503639, 645.370777
double, 14000, 9.014086, 608.824877
double, 14000, 9.007640, 609.260581
double, 14000, 9.156594, 599.349468
