type, size, time, gflop
double, 14000, 114.820175, 47.796478
double, 14000, 115.382914, 47.563368
double, 14000, 115.020309, 47.713313
double, 14000, 115.238523, 47.622964
double, 14000, 115.101564, 47.679630
double, 14000, 60.423629, 90.825395
double, 14000, 61.072332, 89.860660
double, 14000, 60.806453, 90.253578
double, 14000, 60.987250, 89.986022
double, 14000, 60.961397, 90.024183
double, 14000, 30.518794, 179.823620
double, 14000, 30.607339, 179.303404
double, 14000, 30.744971, 178.500738
double, 14000, 30.281345, 181.233695
double, 14000, 31.039567, 176.806591
double, 14000, 15.450940, 355.188740
double, 14000, 15.446811, 355.283683
double, 14000, 15.396620, 356.441879
double, 14000, 15.451321, 355.179990
double, 14000, 15.490261, 354.287120
double, 14000, 10.266690, 534.544251
double, 14000, 10.270509, 534.345466
double, 14000, 10.276903, 534.013037
double, 14000, 10.292581, 533.199572
double, 14000, 10.276562, 534.030716
double, 14000, 7.881481, 696.315818
double, 14000, 7.870059, 697.326415
double, 14000, 7.853147, 698.828085
double, 14000, 7.878565, 696.573516
double, 14000, 7.864887, 697.784968
double, 14000, 8.156437, 672.842784
double, 14000, 8.257412, 664.614985
double, 14000, 8.153859, 673.055557
double, 14000, 7.945002, 690.748733
double, 14000, 8.050664, 681.682928
double, 14000, 7.405851, 741.035674
double, 14000, 7.518279, 729.954286
double, 14000, 7.527040, 729.104711
double, 14000, 7.503967, 731.346542
double, 14000, 7.197090, 762.530363
double, 14000, 8.005836, 685.499950
double, 14000, 8.149482, 673.417037
double, 14000, 7.802970, 703.321963
double, 14000, 7.900687, 694.623159
double, 14000, 7.896769, 694.967804
double, 14000, 8.474521, 647.588225
double, 14000, 8.439282, 650.292287
double, 14000, 8.325023, 659.217396
double, 14000, 8.391578, 653.989014
double, 14000, 8.345579, 657.593692
