type, size, time, gflop
double, 14000, 124.658172, 44.024390
double, 14000, 123.453254, 44.454073
double, 14000, 123.629236, 44.390795
double, 14000, 123.481456, 44.443920
double, 14000, 123.268700, 44.520628
double, 14000, 60.577805, 90.594237
double, 14000, 63.233652, 86.789231
double, 14000, 63.882411, 85.907840
double, 14000, 59.944278, 91.551691
double, 14000, 63.786501, 86.037012
double, 14000, 31.886532, 172.110281
double, 14000, 32.214070, 170.360341
double, 14000, 31.085979, 176.542617
double, 14000, 31.893627, 172.071992
double, 14000, 31.068572, 176.641526
double, 14000, 15.842958, 346.399953
double, 14000, 16.130662, 340.221619
double, 14000, 15.849678, 346.253084
double, 14000, 15.946783, 344.144639
double, 14000, 15.953100, 344.008384
double, 14000, 10.845081, 506.035872
double, 14000, 10.888947, 503.997295
double, 14000, 10.725545, 511.675645
double, 14000, 10.722090, 511.840512
double, 14000, 10.831385, 506.675760
double, 14000, 9.178085, 597.946097
double, 14000, 9.187210, 597.352162
double, 14000, 9.115833, 602.029489
double, 14000, 9.139818, 600.449619
double, 14000, 9.276587, 591.596888
double, 14000, 9.785463, 560.831911
double, 14000, 9.811504, 559.343407
double, 14000, 9.789950, 560.574890
double, 14000, 9.844727, 557.455776
double, 14000, 9.670630, 567.491446
double, 14000, 9.363299, 586.118221
double, 14000, 9.472875, 579.338379
double, 14000, 9.299700, 590.126545
double, 14000, 9.880368, 555.444890
double, 14000, 9.538889, 575.329031
double, 14000, 9.287585, 590.896347
double, 14000, 9.114485, 602.118483
double, 14000, 9.182490, 597.659226
double, 14000, 8.607092, 637.613733
double, 14000, 9.063891, 605.479458
double, 14000, 9.083718, 604.157874
double, 14000, 8.947096, 613.383385
double, 14000, 9.004565, 609.468672
double, 14000, 9.057346, 605.917015
double, 14000, 9.061203, 605.659118
