type, size, time, gflop
double, 14000, 115.254583, 47.616328
double, 14000, 115.280860, 47.605474
double, 14000, 114.991889, 47.725105
double, 14000, 115.022441, 47.712428
double, 14000, 114.951682, 47.741798
double, 14000, 58.229213, 94.248226
double, 14000, 58.328090, 94.088457
double, 14000, 59.845765, 91.702395
double, 14000, 58.076270, 94.496426
double, 14000, 58.311626, 94.115023
double, 14000, 30.095326, 182.353895
double, 14000, 30.024624, 182.783302
double, 14000, 29.861918, 183.779219
double, 14000, 30.979023, 177.152133
double, 14000, 29.887034, 183.624780
double, 14000, 15.197829, 361.104199
double, 14000, 15.127408, 362.785220
double, 14000, 15.332633, 357.929391
double, 14000, 15.374724, 356.949491
double, 14000, 15.225925, 360.437861
double, 14000, 10.166660, 539.803639
double, 14000, 10.177882, 539.208467
double, 14000, 10.166877, 539.792132
double, 14000, 10.171555, 539.543856
double, 14000, 10.157480, 540.291476
double, 14000, 7.718896, 710.982535
double, 14000, 7.726995, 710.237262
double, 14000, 7.751021, 708.035711
double, 14000, 7.725459, 710.378527
double, 14000, 7.744305, 708.649802
double, 14000, 7.481424, 733.550146
double, 14000, 7.433424, 738.286942
double, 14000, 7.390859, 742.538842
double, 14000, 7.421557, 739.467512
double, 14000, 7.460736, 735.584283
double, 14000, 6.575721, 834.585242
double, 14000, 6.549073, 837.981217
double, 14000, 6.719155, 816.769329
double, 14000, 6.541100, 839.002655
double, 14000, 6.553683, 837.391775
double, 14000, 6.968865, 787.502674
double, 14000, 6.943193, 790.414397
double, 14000, 6.971622, 787.191249
double, 14000, 6.986168, 785.552214
double, 14000, 6.926099, 792.365193
double, 14000, 7.507290, 731.022740
double, 14000, 7.390856, 742.539187
double, 14000, 7.350926, 746.572631
double, 14000, 7.434033, 738.226493
double, 14000, 7.275556, 754.306641
