type, size, time, gflop
double, 14000, 124.107174, 44.219845
double, 14000, 123.573195, 44.410926
double, 14000, 125.083609, 43.874654
double, 14000, 123.319823, 44.502172
double, 14000, 123.737556, 44.351935
double, 14000, 64.063780, 85.664630
double, 14000, 63.973239, 85.785871
double, 14000, 64.143854, 85.557690
double, 14000, 63.818296, 85.994149
double, 14000, 63.841318, 85.963137
double, 14000, 32.985978, 166.373724
double, 14000, 32.783554, 167.401008
double, 14000, 32.680132, 167.930779
double, 14000, 32.960529, 166.502182
double, 14000, 32.506610, 168.827200
double, 14000, 16.860876, 325.487247
double, 14000, 16.974246, 323.313321
double, 14000, 16.960978, 323.566256
double, 14000, 16.955885, 323.663443
double, 14000, 16.833205, 326.022295
double, 14000, 11.272765, 486.837097
double, 14000, 11.413159, 480.848474
double, 14000, 11.199127, 490.038215
double, 14000, 11.088233, 494.939100
double, 14000, 11.220140, 489.120436
double, 14000, 9.745997, 563.102985
double, 14000, 10.037280, 546.761659
double, 14000, 10.128344, 541.845713
double, 14000, 10.032078, 547.045180
double, 14000, 10.038591, 546.690248
double, 14000, 10.244233, 535.716034
double, 14000, 10.026802, 547.333056
double, 14000, 10.727765, 511.569747
double, 14000, 9.860300, 556.575373
double, 14000, 10.042619, 546.470980
double, 14000, 9.052463, 606.243859
double, 14000, 8.988672, 610.546238
double, 14000, 9.277908, 591.512642
double, 14000, 9.139601, 600.463844
double, 14000, 9.396819, 584.027400
double, 14000, 8.849716, 620.132876
double, 14000, 8.902572, 616.451065
double, 14000, 9.180314, 597.800888
double, 14000, 8.906980, 616.146001
double, 14000, 9.333711, 587.976227
double, 14000, 9.015081, 608.757716
double, 14000, 8.681168, 632.173021
double, 14000, 9.112043, 602.279850
double, 14000, 8.716463, 629.613182
double, 14000, 8.909949, 615.940680
