type, size, time, gflop
double, 14000, 114.883136, 47.770284
double, 14000, 114.624064, 47.878254
double, 14000, 114.953198, 47.741168
double, 14000, 115.035417, 47.707046
double, 14000, 114.788532, 47.809654
double, 14000, 60.322217, 90.978089
double, 14000, 60.586838, 90.580730
double, 14000, 60.624724, 90.524124
double, 14000, 61.023938, 89.931922
double, 14000, 60.892272, 90.126379
double, 14000, 30.487496, 180.008223
double, 14000, 30.786764, 178.258421
double, 14000, 31.339054, 175.116963
double, 14000, 30.746024, 178.494624
double, 14000, 31.066539, 176.653084
double, 14000, 16.036983, 342.209004
double, 14000, 15.379079, 356.848410
double, 14000, 15.437034, 355.508711
double, 14000, 15.220022, 360.577671
double, 14000, 15.511239, 353.807975
double, 14000, 10.268912, 534.428582
double, 14000, 10.383838, 528.513619
double, 14000, 10.274521, 534.136808
double, 14000, 10.270178, 534.362709
double, 14000, 10.268201, 534.465579
double, 14000, 7.995474, 686.388327
double, 14000, 7.889120, 695.641551
double, 14000, 7.856114, 698.564175
double, 14000, 7.855733, 698.598118
double, 14000, 7.880845, 696.372041
double, 14000, 7.351415, 746.522997
double, 14000, 7.969236, 688.648191
double, 14000, 8.025020, 683.861223
double, 14000, 7.818638, 701.912519
double, 14000, 7.837105, 700.258541
double, 14000, 7.091509, 773.883193
double, 14000, 7.525287, 729.274472
double, 14000, 7.521168, 729.673921
double, 14000, 7.555824, 726.327154
double, 14000, 7.527523, 729.057863
double, 14000, 7.736555, 709.359655
double, 14000, 7.466409, 735.025361
double, 14000, 8.084555, 678.825211
double, 14000, 7.835917, 700.364755
double, 14000, 7.847350, 699.344355
double, 14000, 8.347485, 657.443560
double, 14000, 7.565766, 725.372671
double, 14000, 8.051883, 681.579713
double, 14000, 8.315663, 659.959422
double, 14000, 8.396246, 653.625475
