type, size, time, gflop
float, 14000, 87.630477, 62.626614
float, 14000, 87.874622, 62.452615
float, 14000, 87.351823, 62.826393
float, 14000, 87.288182, 62.872199
float, 14000, 86.662625, 63.326030
float, 14000, 44.813283, 122.463691
float, 14000, 45.000403, 121.954464
float, 14000, 44.828399, 122.422397
float, 14000, 44.650202, 122.910977
float, 14000, 44.971301, 122.033382
float, 14000, 29.980186, 183.054235
float, 14000, 30.093126, 182.367230
float, 14000, 29.843026, 183.895559
float, 14000, 29.779143, 184.290055
float, 14000, 29.682698, 184.888853
float, 14000, 11.975988, 458.250275
float, 14000, 11.893000, 461.447900
float, 14000, 11.849802, 463.130116
float, 14000, 11.807715, 464.780877
float, 14000, 11.895817, 461.338632
float, 14000, 8.465630, 648.268323
float, 14000, 8.379331, 654.944852
float, 14000, 8.354224, 656.913219
float, 14000, 8.475759, 647.493643
float, 14000, 8.356232, 656.755362
float, 14000, 7.023889, 781.333515
float, 14000, 7.052879, 778.121981
float, 14000, 7.033063, 780.314356
float, 14000, 7.055256, 777.859806
float, 14000, 7.133912, 769.283398
float, 14000, 4.984359, 1101.044224
float, 14000, 5.038347, 1089.246102
float, 14000, 5.066050, 1083.289719
float, 14000, 4.967955, 1104.679973
float, 14000, 5.013984, 1094.538736
float, 14000, 4.290575, 1279.082592
float, 14000, 4.286343, 1280.345475
float, 14000, 4.284624, 1280.859119
float, 14000, 4.235216, 1295.801613
float, 14000, 4.246950, 1292.221441
float, 14000, 3.781636, 1451.223946
float, 14000, 3.754922, 1461.548398
float, 14000, 3.794310, 1446.376216
float, 14000, 3.755374, 1461.372528
float, 14000, 3.804542, 1442.486196
float, 14000, 3.785995, 1449.552737
float, 14000, 3.792144, 1447.202335
float, 14000, 3.052445, 1797.903129
float, 14000, 3.781757, 1451.177243
float, 14000, 3.115159, 1761.707599
