type, size, time, gflop
float, 14000, 57.764627, 95.006239
float, 14000, 57.615295, 95.252485
float, 14000, 57.198521, 95.946536
float, 14000, 57.076422, 96.151787
float, 14000, 57.053195, 96.190932
float, 14000, 28.856577, 190.181949
float, 14000, 29.126003, 188.422699
float, 14000, 28.788207, 190.633616
float, 14000, 29.067939, 188.799078
float, 14000, 28.830626, 190.353135
float, 14000, 14.413041, 380.766278
float, 14000, 14.458486, 379.569492
float, 14000, 14.558051, 376.973545
float, 14000, 14.397905, 381.166555
float, 14000, 14.391863, 381.326600
float, 14000, 7.381898, 743.440233
float, 14000, 7.420453, 739.577512
float, 14000, 7.381711, 743.459089
float, 14000, 7.367015, 744.942193
float, 14000, 7.343479, 747.329672
float, 14000, 4.999990, 1097.602108
float, 14000, 4.941537, 1110.585732
float, 14000, 4.955425, 1107.473029
float, 14000, 4.971015, 1103.999933
float, 14000, 4.965421, 1105.243648
float, 14000, 3.777335, 1452.876006
float, 14000, 3.812275, 1439.560522
float, 14000, 3.777833, 1452.684527
float, 14000, 3.823448, 1435.353499
float, 14000, 3.770540, 1455.494486
float, 14000, 2.891644, 1897.882323
float, 14000, 2.892339, 1897.426025
float, 14000, 2.854995, 1922.245340
float, 14000, 2.855310, 1922.032648
float, 14000, 2.856908, 1920.958112
float, 14000, 2.878637, 1906.457498
float, 14000, 2.902632, 1890.697588
float, 14000, 2.899264, 1892.894116
float, 14000, 2.891222, 1898.159227
float, 14000, 2.934334, 1870.270801
float, 14000, 2.467634, 2223.992680
float, 14000, 2.349467, 2335.849307
float, 14000, 2.370039, 2315.573603
float, 14000, 2.395574, 2290.891642
float, 14000, 2.372882, 2312.799404
float, 14000, 2.626633, 2089.366857
float, 14000, 2.873458, 1909.893765
float, 14000, 2.872453, 1910.562395
float, 14000, 2.624815, 2090.814199
float, 14000, 2.762381, 1986.691692
