type, size, time, gflop
float, 14000, 92.713082, 59.193373
float, 14000, 93.550554, 58.663469
float, 14000, 93.921071, 58.432042
float, 14000, 93.904278, 58.442492
float, 14000, 92.058785, 59.614083
float, 14000, 46.035936, 119.211217
float, 14000, 46.095936, 119.056050
float, 14000, 45.261664, 121.250514
float, 14000, 45.683565, 120.130731
float, 14000, 54.115038, 101.413585
float, 14000, 32.204029, 170.413461
float, 14000, 32.026819, 171.356388
float, 14000, 32.588147, 168.404788
float, 14000, 32.850873, 167.057967
float, 14000, 32.414471, 169.307097
float, 14000, 12.740884, 430.739339
float, 14000, 13.240472, 414.486722
float, 14000, 13.229729, 414.823305
float, 14000, 13.524530, 405.781193
float, 14000, 12.870002, 426.417950
float, 14000, 9.078087, 604.532640
float, 14000, 9.704914, 565.486723
float, 14000, 8.742053, 627.770183
float, 14000, 8.866856, 618.934181
float, 14000, 8.691482, 631.422847
float, 14000, 7.757287, 707.463860
float, 14000, 7.580988, 723.916161
float, 14000, 7.400073, 741.614330
float, 14000, 7.785487, 704.901323
float, 14000, 7.441197, 737.515742
float, 14000, 5.008106, 1095.823418
float, 14000, 4.839615, 1133.974438
float, 14000, 4.885274, 1123.376059
float, 14000, 4.959802, 1106.495827
float, 14000, 4.877350, 1125.201095
float, 14000, 4.298467, 1276.734263
float, 14000, 4.345355, 1262.957853
float, 14000, 4.299769, 1276.347757
float, 14000, 4.301806, 1275.743205
float, 14000, 4.394237, 1248.908602
float, 14000, 3.673370, 1493.996161
float, 14000, 3.953952, 1387.978247
float, 14000, 3.652002, 1502.737419
float, 14000, 3.540688, 1549.981231
float, 14000, 3.965297, 1384.007360
float, 14000, 3.756058, 1461.106110
float, 14000, 3.774690, 1453.894406
float, 14000, 2.812761, 1951.107891
float, 14000, 3.822300, 1435.784739
float, 14000, 2.789218, 1967.576711
