type, size, time, gflop
float, 14000, 57.099436, 96.113034
float, 14000, 55.815857, 98.323314
float, 14000, 56.808243, 96.605698
float, 14000, 56.985272, 96.305585
float, 14000, 55.917530, 98.144536
float, 14000, 30.152304, 182.009307
float, 14000, 31.201658, 175.888089
float, 14000, 31.614548, 173.590968
float, 14000, 30.970246, 177.202340
float, 14000, 30.563854, 179.558509
float, 14000, 15.087885, 363.735535
float, 14000, 15.268221, 359.439384
float, 14000, 15.301011, 358.669103
float, 14000, 15.665290, 350.328659
float, 14000, 15.170929, 361.744493
float, 14000, 7.983427, 687.424119
float, 14000, 8.077665, 679.404293
float, 14000, 8.165381, 672.105770
float, 14000, 7.852533, 698.882780
float, 14000, 8.101864, 677.374984
float, 14000, 5.254564, 1044.425393
float, 14000, 5.331155, 1029.420484
float, 14000, 5.377829, 1020.486226
float, 14000, 5.428487, 1010.963126
float, 14000, 5.216426, 1052.061347
float, 14000, 4.077179, 1346.028575
float, 14000, 4.091183, 1341.421456
float, 14000, 4.097093, 1339.486179
float, 14000, 4.083849, 1343.830180
float, 14000, 4.049035, 1355.384528
float, 14000, 3.245384, 1691.017080
float, 14000, 3.316877, 1654.568337
float, 14000, 3.261912, 1682.448917
float, 14000, 3.314076, 1655.966814
float, 14000, 3.288392, 1668.900680
float, 14000, 3.464670, 1583.989039
float, 14000, 3.360672, 1633.006557
float, 14000, 3.313694, 1656.157900
float, 14000, 3.386430, 1620.585735
float, 14000, 3.378804, 1624.243444
float, 14000, 3.134668, 1750.743823
float, 14000, 3.032669, 1809.626857
float, 14000, 3.233790, 1697.079698
float, 14000, 3.116353, 1761.032660
float, 14000, 3.128909, 1753.966211
float, 14000, 3.238772, 1694.469316
float, 14000, 3.361149, 1632.775045
float, 14000, 3.529436, 1554.922531
float, 14000, 3.385076, 1621.233741
float, 14000, 3.335982, 1645.092903
