type, size, time, gflop
float, 14000, 93.448218, 58.727712
float, 14000, 93.941436, 58.419375
float, 14000, 93.096065, 58.949860
float, 14000, 92.637862, 59.241436
float, 14000, 94.369296, 58.154508
float, 14000, 48.853600, 112.335632
float, 14000, 46.819216, 117.216827
float, 14000, 46.548047, 117.899683
float, 14000, 47.711031, 115.025811
float, 14000, 48.729943, 112.620693
float, 14000, 31.511332, 174.159570
float, 14000, 31.483798, 174.311880
float, 14000, 31.958708, 171.721587
float, 14000, 37.611139, 145.914218
float, 14000, 36.109360, 151.982756
float, 14000, 13.720693, 399.979811
float, 14000, 13.689788, 400.882759
float, 14000, 13.886731, 395.197391
float, 14000, 13.780941, 398.231149
float, 14000, 12.839140, 427.442975
float, 14000, 9.605710, 571.326843
float, 14000, 9.263562, 592.428693
float, 14000, 9.087862, 603.882417
float, 14000, 9.654867, 568.417969
float, 14000, 9.247158, 593.479650
float, 14000, 7.912186, 693.613654
float, 14000, 7.605304, 721.601694
float, 14000, 7.779428, 705.450304
float, 14000, 7.809824, 702.704655
float, 14000, 7.785231, 704.924478
float, 14000, 4.967956, 1104.679663
float, 14000, 5.211695, 1053.016339
float, 14000, 5.173731, 1060.743117
float, 14000, 4.999157, 1097.785002
float, 14000, 5.204664, 1054.438875
float, 14000, 4.233209, 1296.416095
float, 14000, 4.153798, 1321.200505
float, 14000, 4.270187, 1285.189670
float, 14000, 4.241406, 1293.910624
float, 14000, 4.154873, 1320.858587
float, 14000, 3.272259, 1677.128807
float, 14000, 3.278126, 1674.127401
float, 14000, 3.284229, 1671.016227
float, 14000, 3.304990, 1660.519372
float, 14000, 3.708333, 1479.910300
float, 14000, 3.182898, 1724.214667
float, 14000, 3.184744, 1723.215496
float, 14000, 3.165695, 1733.584669
float, 14000, 3.124808, 1756.268108
float, 14000, 3.160654, 1736.349428
