type, size, time, gflop
float, 14000, 56.457667, 97.205576
float, 14000, 56.270277, 97.529287
float, 14000, 58.004361, 94.613576
float, 14000, 56.585912, 96.985271
float, 14000, 57.457381, 95.514273
float, 14000, 29.777870, 184.297938
float, 14000, 30.588978, 179.411027
float, 14000, 29.477930, 186.173182
float, 14000, 29.838234, 183.925096
float, 14000, 28.913296, 189.808871
float, 14000, 15.025745, 365.239782
float, 14000, 14.790203, 371.056432
float, 14000, 15.153864, 362.151867
float, 14000, 15.142060, 362.434179
float, 14000, 15.269157, 359.417351
float, 14000, 7.682188, 714.379832
float, 14000, 7.722870, 710.616634
float, 14000, 7.548047, 727.075469
float, 14000, 7.760540, 707.167279
float, 14000, 7.702608, 712.485965
float, 14000, 5.266775, 1042.003869
float, 14000, 5.384642, 1019.194934
float, 14000, 5.212925, 1052.767910
float, 14000, 5.266725, 1042.013773
float, 14000, 5.275786, 1040.224133
float, 14000, 4.063580, 1350.533339
float, 14000, 3.981668, 1378.316870
float, 14000, 4.014165, 1367.158470
float, 14000, 4.037880, 1359.129190
float, 14000, 3.987916, 1376.157502
float, 14000, 3.077726, 1783.134614
float, 14000, 3.123815, 1756.825916
float, 14000, 3.093642, 1773.961104
float, 14000, 3.042337, 1803.876424
float, 14000, 3.131009, 1752.789623
float, 14000, 3.143907, 1745.598982
float, 14000, 3.148127, 1743.258529
float, 14000, 3.111299, 1763.893447
float, 14000, 3.167726, 1732.473224
float, 14000, 3.105285, 1767.309554
float, 14000, 2.828816, 1940.034150
float, 14000, 2.906746, 1888.022081
float, 14000, 2.887728, 1900.455862
float, 14000, 2.917869, 1880.824587
float, 14000, 2.896476, 1894.716104
float, 14000, 3.118276, 1759.946866
float, 14000, 3.292680, 1666.727600
float, 14000, 3.184768, 1723.202524
float, 14000, 3.223218, 1702.646300
float, 14000, 3.261430, 1682.697505
