type, size, time, gflop
float, 14000, 98.948891, 55.462976
float, 14000, 98.891091, 55.495393
float, 14000, 98.144596, 55.917495
float, 14000, 99.121393, 55.366453
float, 14000, 98.346906, 55.802467
float, 14000, 51.705705, 106.139159
float, 14000, 49.988437, 109.785389
float, 14000, 49.221779, 111.495361
float, 14000, 50.722840, 108.195834
float, 14000, 49.175154, 111.601073
float, 14000, 33.284273, 164.882675
float, 14000, 33.496584, 163.837600
float, 14000, 33.073243, 165.934738
float, 14000, 33.033076, 166.136509
float, 14000, 32.641212, 168.131011
float, 14000, 12.721737, 431.387617
float, 14000, 13.313006, 412.228453
float, 14000, 13.488815, 406.855616
float, 14000, 14.390020, 381.375414
float, 14000, 13.545925, 405.140303
float, 14000, 8.945655, 613.482159
float, 14000, 8.914727, 615.610583
float, 14000, 8.940628, 613.827107
float, 14000, 9.672101, 567.405181
float, 14000, 9.008360, 609.211871
float, 14000, 7.356619, 745.994817
float, 14000, 7.555732, 726.336020
float, 14000, 7.338069, 747.880678
float, 14000, 7.409113, 740.709479
float, 14000, 7.284507, 753.379712
float, 14000, 4.722352, 1162.132777
float, 14000, 4.875202, 1125.697025
float, 14000, 4.895033, 1121.136355
float, 14000, 4.771106, 1150.257467
float, 14000, 4.844173, 1132.907414
float, 14000, 4.278956, 1282.555700
float, 14000, 4.300292, 1276.192320
float, 14000, 4.298920, 1276.599788
float, 14000, 4.374483, 1254.548179
float, 14000, 4.293042, 1278.347564
float, 14000, 3.661551, 1498.818421
float, 14000, 3.951925, 1388.690172
float, 14000, 3.673146, 1494.086956
float, 14000, 3.664053, 1497.794749
float, 14000, 4.003038, 1370.958789
float, 14000, 3.399974, 1614.130147
float, 14000, 3.748001, 1464.247391
float, 14000, 3.738883, 1467.817948
float, 14000, 3.427934, 1600.964295
float, 14000, 3.809920, 1440.450079
