type, size, time, gflop
float, 14000, 57.711411, 95.093845
float, 14000, 57.960836, 94.684625
float, 14000, 56.604654, 96.953159
float, 14000, 57.887871, 94.803970
float, 14000, 57.955131, 94.693944
float, 14000, 30.526922, 179.775743
float, 14000, 31.252346, 175.602820
float, 14000, 31.034334, 176.836403
float, 14000, 31.248080, 175.626790
float, 14000, 30.456970, 180.188643
float, 14000, 15.094013, 363.587873
float, 14000, 15.519615, 353.617014
float, 14000, 15.468956, 354.775073
float, 14000, 15.808819, 347.148006
float, 14000, 15.842829, 346.402786
float, 14000, 8.403626, 653.051409
float, 14000, 7.895646, 695.066603
float, 14000, 7.902344, 694.477462
float, 14000, 7.831040, 700.800895
float, 14000, 8.107934, 676.867851
float, 14000, 5.257626, 1043.817070
float, 14000, 5.396167, 1017.018172
float, 14000, 5.307778, 1033.954303
float, 14000, 5.372044, 1021.585053
float, 14000, 5.324290, 1030.747735
float, 14000, 4.106021, 1336.573782
float, 14000, 4.133214, 1327.780407
float, 14000, 4.077822, 1345.816456
float, 14000, 4.061077, 1351.365700
float, 14000, 4.020816, 1364.897196
float, 14000, 3.238094, 1694.824369
float, 14000, 3.286995, 1669.610228
float, 14000, 3.321868, 1652.082277
float, 14000, 3.249341, 1688.958077
float, 14000, 3.262416, 1682.188683
float, 14000, 3.412858, 1608.036504
float, 14000, 3.328728, 1648.677920
float, 14000, 3.366501, 1630.179390
float, 14000, 3.265053, 1680.830361
float, 14000, 3.299584, 1663.240110
float, 14000, 3.027641, 1812.632549
float, 14000, 3.017468, 1818.743384
float, 14000, 3.012988, 1821.447679
float, 14000, 3.065897, 1790.014616
float, 14000, 3.033862, 1808.915619
float, 14000, 3.336043, 1645.062555
float, 14000, 3.331371, 1647.369665
float, 14000, 3.390867, 1618.465125
float, 14000, 3.290920, 1667.618824
float, 14000, 3.483872, 1575.258968
