type, size, time, gflop
double, 2000, 0.042767, 374.118168
double, 2000, 0.041074, 389.540506
double, 2000, 0.042227, 378.902249
double, 2000, 0.041591, 384.701314
double, 2000, 0.042080, 380.228110
double, 2000, 0.042139, 379.693822
double, 2000, 0.041833, 382.470241
double, 2000, 0.041811, 382.678745
double, 3000, 0.080362, 671.960713
double, 3000, 0.079020, 683.373642
double, 3000, 0.080534, 670.525216
double, 3000, 0.077879, 693.384616
double, 3000, 0.076704, 704.003400
double, 3000, 0.078436, 688.455782
double, 3000, 0.077795, 694.135975
double, 3000, 0.079739, 677.209735
double, 4000, 0.201148, 636.348809
double, 4000, 0.195971, 653.158915
double, 4000, 0.218385, 586.119827
double, 4000, 0.199292, 642.272476
double, 4000, 0.193953, 659.953996
double, 4000, 0.207090, 618.088434
double, 4000, 0.208083, 615.138699
double, 4000, 0.201511, 635.199587
double, 5000, 0.426321, 586.413170
double, 5000, 0.430502, 580.717975
double, 5000, 0.424259, 589.262088
double, 5000, 0.423796, 589.906908
double, 5000, 0.425502, 587.540684
double, 5000, 0.424844, 588.451339
double, 5000, 0.432156, 578.494204
double, 5000, 0.436303, 572.996934
double, 6000, 0.760015, 568.409575
double, 6000, 0.770496, 560.677489
double, 6000, 0.757410, 570.364448
double, 6000, 0.768861, 561.870024
double, 6000, 0.763464, 565.842011
double, 6000, 0.762412, 566.622499
double, 6000, 0.769796, 561.187596
double, 6000, 0.762461, 566.586203
double, 7000, 1.227501, 558.858880
double, 7000, 1.235674, 555.162499
double, 7000, 1.232505, 556.590166
double, 7000, 1.224541, 560.210048
double, 7000, 1.218802, 562.847891
double, 7000, 1.222159, 561.301976
double, 7000, 1.224313, 560.314108
double, 7000, 1.223922, 560.493153
double, 8000, 1.810318, 565.646526
double, 8000, 1.806111, 566.964200
double, 8000, 1.801429, 568.437730
double, 8000, 1.806606, 566.808739
double, 8000, 1.805015, 567.308413
double, 8000, 1.812920, 564.834596
double, 8000, 1.805144, 567.267798
double, 8000, 1.806290, 566.907839
double, 9000, 2.475095, 589.068291
double, 9000, 2.477267, 588.551820
double, 9000, 2.467866, 590.793856
double, 9000, 2.463857, 591.755097
double, 9000, 2.473376, 589.477763
double, 9000, 2.463468, 591.848612
double, 9000, 2.470118, 590.255237
double, 9000, 2.474065, 589.313596
double, 10000, 2.667903, 749.652411
double, 10000, 3.404596, 587.441274
double, 10000, 2.641084, 757.264803
double, 10000, 3.392604, 589.517685
double, 10000, 2.701366, 740.366247
double, 10000, 2.665793, 750.245789
double, 10000, 3.405605, 587.267153
double, 10000, 3.421278, 584.576796
double, 11000, 4.216554, 631.321179
double, 11000, 3.986795, 667.704336
double, 11000, 4.262987, 624.444767
double, 11000, 4.539567, 586.399507
double, 11000, 4.253792, 625.794639
double, 11000, 4.198704, 634.005202
double, 11000, 3.969737, 670.573329
double, 11000, 4.232430, 628.953127
double, 12000, 5.213222, 662.929714
double, 12000, 5.206559, 663.778184
double, 12000, 5.226603, 661.232600
double, 12000, 5.243495, 659.102367
double, 12000, 5.232753, 660.455447
double, 12000, 5.759146, 600.088995
double, 12000, 5.751015, 600.937412
double, 12000, 5.238684, 659.707720
double, 13000, 4.616021, 951.901993
double, 13000, 4.640525, 946.875645
double, 13000, 4.664177, 942.073950
double, 13000, 6.387979, 687.854516
double, 13000, 4.605114, 954.156606
double, 13000, 4.638406, 947.308164
double, 13000, 6.381153, 688.590302
double, 13000, 4.696798, 935.530876
double, 14000, 9.161730, 599.013509
double, 14000, 9.152120, 599.642513
double, 14000, 9.197716, 596.669873
double, 14000, 8.903087, 616.415381
double, 14000, 9.151475, 599.684737
double, 14000, 9.135916, 600.706077
double, 14000, 9.193536, 596.941141
double, 14000, 9.099298, 603.123480
double, 15000, 10.919210, 618.176580
double, 15000, 10.947691, 616.568351
double, 15000, 10.900516, 619.236764
double, 15000, 10.882099, 620.284718
double, 15000, 10.891892, 619.727018
double, 15000, 10.963623, 615.672411
double, 15000, 10.656960, 633.388874
double, 15000, 10.253364, 658.320521
double, 16000, 9.562226, 856.704273
double, 16000, 9.496048, 862.674675
double, 16000, 9.403163, 871.196181
double, 16000, 9.469245, 865.116515
double, 16000, 9.374343, 873.874549
double, 16000, 9.505915, 861.779239
double, 16000, 9.505349, 861.830563
double, 16000, 9.576328, 855.442737
double, 17000, 15.414297, 637.460162
double, 17000, 15.378214, 638.955858
double, 17000, 15.411088, 637.592877
double, 17000, 15.448754, 636.038366
double, 17000, 15.387907, 638.553359
double, 17000, 15.363591, 639.564020
double, 17000, 15.477920, 634.839835
double, 17000, 15.432786, 636.696464
double, 18000, 18.400389, 633.899641
double, 18000, 16.524576, 705.857739
double, 18000, 16.418761, 710.406839
double, 18000, 16.385228, 711.860708
double, 18000, 16.388436, 711.721354
double, 18000, 16.470833, 708.160888
double, 18000, 16.465191, 708.403572
double, 18000, 16.462721, 708.509852
double, 19000, 21.965763, 624.517337
double, 19000, 21.978135, 624.165785
double, 19000, 21.716465, 631.686608
double, 19000, 20.952088, 654.731875
double, 19000, 20.703286, 662.600128
double, 19000, 21.921744, 625.771368
double, 19000, 21.471041, 638.907082
double, 19000, 21.029030, 652.336330
double, 20000, 22.334443, 716.382302
double, 20000, 22.851425, 700.175147
double, 20000, 22.422489, 713.569323
double, 20000, 22.984737, 696.114111
double, 20000, 22.708191, 704.591563
double, 20000, 22.695389, 704.989018
double, 20000, 22.867384, 699.686518
double, 20000, 22.986221, 696.069168
