type, size, time, gflop
double, 2000, 0.036818, 434.575784
double, 2000, 0.038494, 415.646428
double, 2000, 0.038327, 417.456094
double, 2000, 0.039711, 402.908678
double, 2000, 0.037280, 429.189350
double, 2000, 0.037686, 424.558062
double, 2000, 0.035916, 445.478189
double, 2000, 0.037469, 427.024376
double, 3000, 0.085286, 633.160998
double, 3000, 0.087132, 619.746323
double, 3000, 0.080578, 670.161543
double, 3000, 0.078660, 686.496744
double, 3000, 0.080040, 674.664472
double, 3000, 0.076284, 707.880816
double, 3000, 0.076061, 709.955194
double, 3000, 0.074865, 721.298135
double, 4000, 0.187293, 683.421985
double, 4000, 0.173325, 738.499076
double, 4000, 0.184645, 693.222433
double, 4000, 0.174842, 732.087546
double, 4000, 0.169465, 755.319277
double, 4000, 0.168315, 760.479858
double, 4000, 0.169810, 753.783960
double, 4000, 0.172025, 744.077420
double, 5000, 0.391056, 639.295328
double, 5000, 0.396098, 631.156718
double, 5000, 0.383664, 651.611905
double, 5000, 0.393010, 636.116689
double, 5000, 0.391589, 638.424037
double, 5000, 0.395466, 632.165477
double, 5000, 0.380024, 657.852454
double, 5000, 0.374680, 667.236093
double, 6000, 0.653864, 660.687571
double, 6000, 0.631705, 683.863260
double, 6000, 0.660695, 653.856573
double, 6000, 0.649498, 665.129273
double, 6000, 0.631696, 683.872719
double, 6000, 0.627732, 688.191854
double, 6000, 0.626220, 689.853254
double, 6000, 0.632965, 682.502105
double, 7000, 0.969586, 707.518242
double, 7000, 0.947932, 723.680977
double, 7000, 0.937784, 731.512084
double, 7000, 0.939458, 730.208380
double, 7000, 0.959630, 714.858612
double, 7000, 0.961510, 713.461049
double, 7000, 0.948252, 723.436591
double, 7000, 0.980869, 699.379622
double, 8000, 1.326878, 771.736425
double, 8000, 1.346985, 760.216152
double, 8000, 1.336029, 766.450522
double, 8000, 1.349527, 758.784585
double, 8000, 1.326026, 772.231957
double, 8000, 1.380012, 742.022677
double, 8000, 1.335332, 766.850578
double, 8000, 1.350931, 757.995708
double, 9000, 1.800721, 809.675621
double, 9000, 1.788743, 815.097653
double, 9000, 1.749193, 833.527221
double, 9000, 1.766157, 825.521288
double, 9000, 1.743744, 836.131820
double, 9000, 1.743027, 836.475991
double, 9000, 1.747250, 834.454198
double, 9000, 1.772744, 822.453831
double, 10000, 2.376501, 841.573216
double, 10000, 2.386895, 837.908695
double, 10000, 2.371214, 843.449745
double, 10000, 2.306733, 867.027215
double, 10000, 2.451452, 815.842935
double, 10000, 2.405443, 831.447764
double, 10000, 2.438587, 820.147008
double, 10000, 2.274506, 879.311821
double, 11000, 2.921711, 911.110083
double, 11000, 2.598204, 1024.553849
double, 11000, 2.978299, 893.798713
double, 11000, 2.652476, 1003.590747
double, 11000, 2.677501, 994.210622
double, 11000, 2.954434, 901.018641
double, 11000, 2.914036, 913.509689
double, 11000, 2.466333, 1079.335138
double, 12000, 3.905846, 884.827519
double, 12000, 3.249204, 1063.645159
double, 12000, 3.840675, 899.841771
double, 12000, 3.258678, 1060.552723
double, 12000, 3.276335, 1054.837046
double, 12000, 3.688967, 936.847569
double, 12000, 3.779031, 914.520162
double, 12000, 3.702733, 933.364567
double, 13000, 4.431917, 991.444545
double, 13000, 4.572343, 960.995232
double, 13000, 4.569519, 961.589262
double, 13000, 4.522224, 971.645896
double, 13000, 4.631745, 948.670609
double, 13000, 4.354845, 1008.991062
double, 13000, 4.558653, 963.881194
double, 13000, 4.648180, 945.316262
double, 14000, 6.044273, 907.966884
double, 14000, 6.293953, 871.948018
double, 14000, 6.684982, 820.944581
double, 14000, 6.438967, 852.310584
double, 14000, 6.521307, 841.549121
double, 14000, 6.224861, 881.626090
double, 14000, 6.044442, 907.941493
double, 14000, 6.187586, 886.937205
double, 15000, 8.903755, 758.107097
double, 15000, 8.551513, 789.334002
double, 15000, 8.962014, 753.178887
double, 15000, 6.655515, 1014.196559
double, 15000, 8.003110, 843.422125
double, 15000, 8.273516, 815.856239
double, 15000, 8.516840, 792.547442
double, 15000, 8.886934, 759.542059
double, 16000, 7.418063, 1104.331458
double, 16000, 7.118441, 1150.813724
double, 16000, 7.337982, 1116.383172
double, 16000, 7.137226, 1147.784932
double, 16000, 7.241666, 1131.231477
double, 16000, 7.515557, 1090.005683
double, 16000, 6.876746, 1191.261146
double, 16000, 7.070274, 1158.653843
double, 17000, 10.807914, 909.148616
double, 17000, 11.364962, 864.587116
double, 17000, 10.846513, 905.913288
double, 17000, 10.880589, 903.076084
double, 17000, 11.380446, 863.410806
double, 17000, 10.828944, 907.383044
double, 17000, 9.020452, 1089.302416
double, 17000, 11.334789, 866.888684
double, 18000, 13.664742, 853.583599
double, 18000, 12.182335, 957.451917
double, 18000, 12.565694, 928.241572
double, 18000, 12.240022, 952.939432
double, 18000, 12.463223, 935.873466
double, 18000, 12.728242, 916.387388
double, 18000, 12.750898, 914.759075
double, 18000, 12.817487, 910.006743
double, 19000, 16.025433, 856.014308
double, 19000, 16.209088, 846.315352
double, 19000, 16.185515, 847.547932
double, 19000, 16.137991, 850.043850
double, 19000, 15.569991, 881.053839
double, 19000, 15.661740, 875.892457
double, 19000, 16.247483, 844.315385
double, 19000, 16.280912, 842.581817
double, 20000, 15.406049, 1038.553114
double, 20000, 15.289345, 1046.480414
double, 20000, 16.131913, 991.822827
double, 20000, 18.804874, 850.843243
double, 20000, 16.322968, 980.213865
double, 20000, 18.322735, 873.232072
double, 20000, 18.661970, 857.358591
double, 20000, 14.987994, 1067.521143
