type, size, time, gflop
double, 2000, 1.474417, 10.851746
double, 3000, 2.557087, 21.117776
double, 4000, 4.352637, 29.407461
double, 5000, 7.105004, 35.186470
double, 6000, 11.155291, 38.726020
double, 7000, 17.032769, 40.275306
double, 8000, 24.255324, 42.217535
double, 9000, 33.712299, 43.248312
double, 10000, 45.622440, 43.838076
double, 11000, 60.335280, 44.120124
double, 12000, 77.505555, 44.590352
double, 13000, 98.170380, 44.758918
double, 14000, 122.489124, 44.803978
double, 15000, 148.994117, 45.303802
double, 16000, 180.071663, 45.492999
double, 17000, 215.470161, 45.602602
double, 18000, 254.107878, 45.901765
double, 19000, 299.151685, 45.856335
double, 20000, 349.227534, 45.815402
