type, size, time, gflop
double, 2000, 1.815537, 8.812820
double, 3000, 3.200414, 16.872819
double, 4000, 5.572426, 22.970246
double, 5000, 9.563169, 26.141961
double, 6000, 14.604089, 29.580757
double, 7000, 20.667995, 33.191415
double, 8000, 29.920841, 34.223637
double, 9000, 42.114684, 34.619754
double, 10000, 53.356332, 37.483836
double, 11000, 69.437326, 38.336730
double, 12000, 89.379965, 38.666383
double, 13000, 107.451611, 40.892826
double, 14000, 134.349361, 40.848724
double, 15000, 165.553710, 40.772267
double, 16000, 187.545013, 43.680180
double, 17000, 226.471484, 43.387361
double, 18000, 270.528799, 43.115558
double, 19000, 307.388221, 44.627605
double, 20000, 359.511833, 44.504794
