type, size, time, gflop
double, 2000, 0.055576, 287.892035
double, 2000, 0.059613, 268.399863
double, 2000, 0.058236, 274.744362
double, 2000, 0.058457, 273.704752
double, 2000, 0.057592, 277.813961
double, 2000, 0.057539, 278.071839
double, 2000, 0.060285, 265.404029
double, 2000, 0.058876, 271.758617
double, 3000, 0.125405, 430.603810
double, 3000, 0.128372, 420.652410
double, 3000, 0.130694, 413.180295
double, 3000, 0.129202, 417.948977
double, 3000, 0.128061, 421.673266
double, 3000, 0.133310, 405.070808
double, 3000, 0.134239, 402.266605
double, 3000, 0.130690, 413.190333
double, 4000, 0.224210, 570.893794
double, 4000, 0.227419, 562.838240
double, 4000, 0.217844, 587.577022
double, 4000, 0.232019, 551.677797
double, 4000, 0.231044, 554.007451
double, 4000, 0.227467, 562.718923
double, 4000, 0.224301, 570.662332
double, 4000, 0.226562, 564.967572
double, 5000, 0.384764, 649.748593
double, 5000, 0.390195, 640.705480
double, 5000, 0.392241, 637.362560
double, 5000, 0.392670, 636.666497
double, 5000, 0.394881, 633.102421
double, 5000, 0.385714, 648.147795
double, 5000, 0.381355, 655.557447
double, 5000, 0.391150, 639.140988
double, 6000, 0.664428, 650.183212
double, 6000, 0.679495, 635.766019
double, 6000, 0.673863, 641.080277
double, 6000, 0.667155, 647.525670
double, 6000, 0.662257, 652.314412
double, 6000, 0.671169, 643.652708
double, 6000, 0.686855, 628.953868
double, 6000, 0.804601, 536.911892
double, 7000, 1.105807, 620.361509
double, 7000, 1.112691, 616.523595
double, 7000, 1.125933, 609.272328
double, 7000, 1.107239, 619.559193
double, 7000, 1.094863, 626.562278
double, 7000, 1.109308, 618.403752
double, 7000, 1.098713, 624.366934
double, 7000, 1.092744, 627.777537
double, 8000, 1.703009, 601.288661
double, 8000, 1.706213, 600.159572
double, 8000, 1.732837, 590.938554
double, 8000, 1.716226, 596.658151
double, 8000, 1.709827, 598.890973
double, 8000, 1.698637, 602.836398
double, 8000, 1.692754, 604.931214
double, 8000, 1.713312, 597.672702
double, 9000, 2.496421, 584.036155
double, 9000, 2.474425, 589.227748
double, 9000, 2.574459, 566.332669
double, 9000, 2.435051, 598.755412
double, 9000, 2.455212, 593.838646
double, 9000, 2.424410, 601.383357
double, 9000, 2.500660, 583.046170
double, 9000, 2.459147, 592.888451
double, 10000, 3.327226, 601.101268
double, 10000, 3.383562, 591.093059
double, 10000, 3.324085, 601.669342
double, 10000, 3.298200, 606.391274
double, 10000, 3.379110, 591.871768
double, 10000, 3.317189, 602.920045
double, 10000, 3.378865, 591.914778
double, 10000, 3.374798, 592.628055
double, 11000, 4.280994, 621.818204
double, 11000, 4.246805, 626.824180
double, 11000, 4.263636, 624.349766
double, 11000, 4.257154, 625.300333
double, 11000, 4.383227, 607.315121
double, 11000, 4.248377, 626.592279
double, 11000, 4.324632, 615.543653
double, 11000, 4.262170, 624.564415
double, 12000, 4.961958, 696.499249
double, 12000, 5.616118, 615.371657
double, 12000, 4.983302, 693.516045
double, 12000, 4.991156, 692.424698
double, 12000, 4.959200, 696.886563
double, 12000, 3.341726, 1034.196039
double, 12000, 5.011341, 689.635751
double, 12000, 4.959859, 696.793944
double, 13000, 4.156885, 1057.041389
double, 13000, 4.775124, 920.185551
double, 13000, 6.032115, 728.434341
double, 13000, 4.252530, 1033.267161
double, 13000, 4.255946, 1032.437824
double, 13000, 4.269089, 1029.259331
double, 13000, 6.101220, 720.183867
double, 13000, 4.759320, 923.241100
double, 14000, 8.717849, 629.513091
double, 14000, 9.130719, 601.047990
double, 14000, 9.157681, 599.278350
double, 14000, 9.505751, 577.334738
double, 14000, 9.059695, 605.759884
double, 14000, 9.052353, 606.251238
double, 14000, 9.160409, 599.099918
double, 14000, 9.460592, 580.090523
double, 15000, 11.512481, 586.320195
double, 15000, 11.489009, 587.518020
double, 15000, 11.432424, 590.425944
double, 15000, 11.564422, 583.686772
double, 15000, 11.423108, 590.907500
double, 15000, 11.734576, 575.223177
double, 15000, 11.518962, 585.990303
double, 15000, 11.495318, 587.195610
double, 16000, 8.733128, 938.037292
double, 16000, 13.398160, 611.427254
double, 16000, 8.841140, 926.577305
double, 16000, 8.758946, 935.272347
double, 16000, 8.708216, 940.720779
double, 16000, 8.782784, 932.733852
double, 16000, 8.759783, 935.182981
double, 16000, 8.705250, 941.041298
double, 17000, 15.471594, 635.099388
double, 17000, 10.211339, 962.263572
double, 17000, 15.490362, 634.329902
double, 17000, 15.486099, 634.504519
double, 17000, 10.166976, 966.462424
double, 17000, 10.211968, 962.204352
double, 17000, 15.518869, 633.164711
double, 17000, 15.512645, 633.418747
double, 18000, 16.512254, 706.384494
double, 18000, 16.492411, 707.234388
double, 18000, 16.311914, 715.060148
double, 18000, 16.661432, 700.059862
double, 18000, 16.412648, 710.671420
double, 18000, 16.570870, 703.885775
double, 18000, 16.381763, 712.011284
double, 18000, 16.671654, 699.630642
double, 19000, 22.584101, 607.418460
double, 19000, 22.705468, 604.171635
double, 19000, 22.283142, 615.622352
double, 19000, 22.186304, 618.309390
double, 19000, 22.412654, 612.064954
double, 19000, 23.617372, 580.843619
double, 19000, 22.131022, 619.853880
double, 19000, 22.114838, 620.307512
double, 20000, 21.975553, 728.081802
double, 20000, 22.125705, 723.140798
double, 20000, 26.666809, 599.996804
double, 20000, 26.855241, 595.786881
double, 20000, 21.880512, 731.244308
double, 20000, 26.810113, 596.789717
double, 20000, 20.273518, 789.206881
double, 20000, 22.941792, 697.417178
