type, size, time, gflop
double, 2000, 0.061089, 261.911215
double, 2000, 0.065540, 244.126790
double, 2000, 0.065513, 244.226777
double, 2000, 0.065485, 244.329606
double, 2000, 0.065671, 243.637925
double, 2000, 0.066107, 242.033509
double, 2000, 0.065031, 246.034697
double, 2000, 0.067284, 237.796655
double, 3000, 0.152603, 353.858658
double, 3000, 0.164703, 327.861957
double, 3000, 0.158846, 339.951595
double, 3000, 0.170429, 316.848082
double, 3000, 0.175666, 307.401343
double, 3000, 0.178507, 302.508940
double, 3000, 0.175174, 308.265694
double, 3000, 0.170671, 316.398133
double, 4000, 0.315510, 405.692894
double, 4000, 0.328673, 389.444785
double, 4000, 0.323468, 395.711342
double, 4000, 0.328250, 389.947244
double, 4000, 0.323181, 396.062775
double, 4000, 0.334094, 383.125686
double, 4000, 0.326188, 392.411512
double, 4000, 0.324740, 394.161144
double, 5000, 0.606865, 411.953105
double, 5000, 0.596704, 418.967912
double, 5000, 0.610817, 409.287792
double, 5000, 0.593986, 420.885310
double, 5000, 0.604678, 413.443089
double, 5000, 0.596829, 418.880202
double, 5000, 0.590581, 423.311918
double, 5000, 0.602601, 414.868526
double, 6000, 0.983935, 439.053265
double, 6000, 0.985578, 438.321563
double, 6000, 0.998655, 432.581938
double, 6000, 1.144805, 377.356792
double, 6000, 0.994571, 434.358049
double, 6000, 0.996009, 433.731110
double, 6000, 0.998961, 432.449268
double, 6000, 0.996649, 433.452574
double, 7000, 1.407488, 487.393010
double, 7000, 1.368329, 501.341458
double, 7000, 1.395196, 491.687060
double, 7000, 1.441501, 475.892747
double, 7000, 1.397430, 490.901052
double, 7000, 1.454471, 471.648989
double, 7000, 1.389784, 493.601979
double, 7000, 1.388464, 494.071278
double, 8000, 1.796369, 570.038880
double, 8000, 1.805648, 567.109568
double, 8000, 1.792597, 571.238251
double, 8000, 1.893681, 540.745646
double, 8000, 1.783995, 573.992608
double, 8000, 1.816198, 563.815180
double, 8000, 1.800375, 568.770329
double, 8000, 1.810467, 565.600052
double, 9000, 2.339609, 623.180923
double, 9000, 2.298293, 634.383925
double, 9000, 2.396764, 608.320322
double, 9000, 2.444107, 596.536929
double, 9000, 2.309033, 631.433237
double, 9000, 2.288073, 637.217467
double, 9000, 2.447221, 595.777747
double, 9000, 2.356950, 618.596053
double, 10000, 2.737502, 730.593039
double, 10000, 2.741039, 729.650208
double, 10000, 2.802104, 713.749428
double, 10000, 2.823579, 708.320909
double, 10000, 2.901460, 689.308192
double, 10000, 2.751718, 726.818608
double, 10000, 2.736822, 730.774493
double, 10000, 2.737124, 730.693972
double, 11000, 3.297925, 807.174276
double, 11000, 3.400810, 782.754598
double, 11000, 3.344690, 795.888475
double, 11000, 3.351565, 794.255801
double, 11000, 3.335638, 798.048233
double, 11000, 3.291307, 808.797248
double, 11000, 3.324816, 800.645714
double, 11000, 3.340326, 796.928182
double, 12000, 4.047202, 853.923178
double, 12000, 3.956337, 873.535325
double, 12000, 3.964610, 871.712503
double, 12000, 4.005538, 862.805518
double, 12000, 3.960520, 872.612756
double, 12000, 3.997586, 864.521639
double, 12000, 3.979998, 868.342253
double, 12000, 3.731657, 926.130109
double, 13000, 4.614707, 952.173041
double, 13000, 4.582434, 958.879017
double, 13000, 4.629263, 949.179117
double, 13000, 4.695072, 935.874879
double, 13000, 4.689116, 937.063566
double, 13000, 4.586998, 957.925078
double, 13000, 4.646789, 945.599306
double, 13000, 4.752828, 924.502211
double, 14000, 6.737903, 814.496761
double, 14000, 7.579684, 724.040711
double, 14000, 7.782729, 705.151080
double, 14000, 7.807918, 702.876266
double, 14000, 7.122589, 770.506329
double, 14000, 7.675894, 714.965584
double, 14000, 7.738077, 709.220099
double, 14000, 7.679854, 714.596906
double, 15000, 8.988484, 750.960888
double, 15000, 9.009268, 749.228490
double, 15000, 9.081532, 743.266643
double, 15000, 5.939449, 1136.469101
double, 15000, 9.182960, 735.057073
double, 15000, 9.026505, 747.797701
double, 15000, 8.981171, 751.572368
double, 15000, 9.027827, 747.688211
double, 16000, 7.042700, 1163.190178
double, 16000, 7.565868, 1082.757428
double, 16000, 6.844702, 1196.838089
double, 16000, 7.229803, 1133.087524
double, 16000, 7.387189, 1108.946838
double, 16000, 6.446878, 1270.692605
double, 16000, 7.491267, 1093.539960
double, 16000, 6.827511, 1199.851555
double, 17000, 7.831809, 1254.627156
double, 17000, 7.405145, 1326.915200
double, 17000, 7.385121, 1330.512981
double, 17000, 7.424669, 1323.425992
double, 17000, 7.939653, 1237.585499
double, 17000, 7.951321, 1235.769551
double, 17000, 7.792112, 1261.018798
double, 17000, 7.502965, 1309.615667
double, 18000, 13.140988, 887.604474
double, 18000, 13.057946, 893.249223
double, 18000, 13.070580, 892.385807
double, 18000, 13.066421, 892.669861
double, 18000, 13.130972, 888.281549
double, 18000, 13.132114, 888.204268
double, 18000, 13.044671, 894.158221
double, 18000, 13.050643, 893.749099
double, 19000, 17.723519, 773.999782
double, 19000, 17.308328, 792.566446
double, 19000, 16.550394, 828.862433
double, 19000, 17.800988, 770.631366
double, 19000, 17.257010, 794.923345
double, 19000, 17.322009, 791.940480
double, 19000, 17.326256, 791.746339
double, 19000, 17.815109, 770.020546
double, 20000, 19.782145, 808.810151
double, 20000, 18.806368, 850.775661
double, 20000, 19.354857, 826.665870
double, 20000, 16.375763, 977.053684
double, 20000, 18.631054, 858.781261
double, 20000, 19.286626, 829.590399
double, 20000, 19.532564, 819.144898
double, 20000, 19.679155, 813.043032
