type, size, time, gflop
double, 2000, 0.064425, 248.351119
double, 2000, 0.065690, 243.570114
double, 2000, 0.064839, 246.764090
double, 2000, 0.064310, 248.793426
double, 2000, 0.063478, 252.057196
double, 2000, 0.064599, 247.681258
double, 2000, 0.065968, 242.542217
double, 2000, 0.067435, 237.264055
double, 3000, 0.116368, 464.046430
double, 3000, 0.118057, 457.405909
double, 3000, 0.128875, 419.011284
double, 3000, 0.122826, 439.646712
double, 3000, 0.122092, 442.290138
double, 3000, 0.112281, 480.936719
double, 3000, 0.115101, 469.153236
double, 3000, 0.123066, 438.788315
double, 4000, 0.216351, 591.631990
double, 4000, 0.233325, 548.590927
double, 4000, 0.236120, 542.096454
double, 4000, 0.222630, 574.943886
double, 4000, 0.218227, 586.546372
double, 4000, 0.221813, 577.061880
double, 4000, 0.239715, 533.968030
double, 4000, 0.220543, 580.386442
double, 5000, 0.445193, 561.554350
double, 5000, 0.438010, 570.763258
double, 5000, 0.444168, 562.850377
double, 5000, 0.445438, 561.245621
double, 5000, 0.435939, 573.474411
double, 5000, 0.434756, 575.035249
double, 5000, 0.435339, 574.265292
double, 5000, 0.439982, 568.205516
double, 6000, 0.748945, 576.811047
double, 6000, 0.745185, 579.722183
double, 6000, 0.738975, 584.593237
double, 6000, 0.766854, 563.340598
double, 6000, 0.753543, 573.291904
double, 6000, 0.745248, 579.673110
double, 6000, 0.763297, 565.965900
double, 6000, 0.771662, 559.830708
double, 7000, 1.219072, 562.723111
double, 7000, 1.228239, 558.523320
double, 7000, 1.221346, 561.675258
double, 7000, 1.211455, 566.261125
double, 7000, 1.224637, 560.165933
double, 7000, 1.226619, 559.260811
double, 7000, 1.231110, 557.220722
double, 7000, 1.231555, 557.019365
double, 8000, 1.765494, 580.007707
double, 8000, 1.770359, 578.413643
double, 8000, 1.747425, 586.005266
double, 8000, 1.756680, 582.917818
double, 8000, 1.759781, 581.890576
double, 8000, 1.760565, 581.631309
double, 8000, 1.750418, 585.003239
double, 8000, 1.783832, 574.045104
double, 9000, 2.349030, 620.681774
double, 9000, 2.355414, 618.999374
double, 9000, 2.349733, 620.495994
double, 9000, 2.340393, 622.972361
double, 9000, 2.391536, 609.650149
double, 9000, 2.357140, 618.546335
double, 9000, 2.381227, 612.289372
double, 9000, 2.351281, 620.087405
double, 10000, 3.178298, 629.267596
double, 10000, 3.196996, 625.587212
double, 10000, 2.946385, 678.797827
double, 10000, 2.930092, 682.572495
double, 10000, 2.978330, 671.517181
double, 10000, 2.912176, 686.771630
double, 10000, 2.923904, 684.017062
double, 10000, 3.186059, 627.734700
double, 11000, 3.348643, 794.948892
double, 11000, 4.294786, 619.821302
double, 11000, 3.904722, 681.738752
double, 11000, 4.230463, 629.245492
double, 11000, 4.191959, 635.025343
double, 11000, 4.194761, 634.601112
double, 11000, 2.864513, 929.302731
double, 11000, 3.879957, 686.090084
double, 12000, 4.474099, 772.446085
double, 12000, 5.052271, 684.048842
double, 12000, 5.069795, 681.684355
double, 12000, 3.132391, 1103.310413
double, 12000, 5.074739, 681.020223
double, 12000, 3.162745, 1092.721707
double, 12000, 5.060544, 682.930464
double, 12000, 5.426140, 636.916851
double, 13000, 6.203853, 708.269508
double, 13000, 6.138222, 715.842449
double, 13000, 3.642706, 1206.246118
double, 13000, 3.664553, 1199.054848
double, 13000, 5.669891, 774.970781
double, 13000, 6.180627, 710.931080
double, 13000, 5.068117, 866.988671
double, 13000, 6.225890, 705.762582
double, 14000, 8.541378, 642.519285
double, 14000, 8.848621, 620.209620
double, 14000, 8.838987, 620.885652
double, 14000, 8.742013, 627.773014
double, 14000, 8.753037, 626.982396
double, 14000, 9.205875, 596.141067
double, 14000, 8.701035, 630.729583
double, 14000, 8.871182, 618.632319
double, 15000, 10.714367, 629.995203
double, 15000, 11.324759, 596.039164
double, 15000, 11.368964, 593.721653
double, 15000, 11.281912, 598.302831
double, 15000, 11.233227, 600.895880
double, 15000, 11.484160, 587.766130
double, 15000, 11.483486, 587.800625
double, 15000, 11.291246, 597.808255
double, 16000, 5.202561, 1574.609090
double, 16000, 5.711124, 1434.393544
double, 16000, 5.550867, 1475.805583
double, 16000, 5.170004, 1584.524888
double, 16000, 6.168634, 1328.008665
double, 16000, 5.607555, 1460.886209
double, 16000, 5.145373, 1592.110145
double, 16000, 5.095404, 1607.723300
double, 17000, 6.593510, 1490.253325
double, 17000, 6.332588, 1551.656392
double, 17000, 6.282091, 1564.128877
double, 17000, 6.369642, 1542.629978
double, 17000, 6.089779, 1613.523286
double, 17000, 5.877096, 1671.914030
double, 17000, 13.931341, 705.316143
double, 17000, 6.143376, 1599.446212
double, 18000, 10.600235, 1100.352946
double, 18000, 16.519178, 706.088395
double, 18000, 14.070012, 828.997188
double, 18000, 15.298889, 762.408286
double, 18000, 14.136749, 825.083633
double, 18000, 15.147287, 770.038898
double, 18000, 14.217233, 820.412795
double, 18000, 14.921186, 781.707309
double, 19000, 15.792469, 868.641899
double, 19000, 18.453225, 743.393082
double, 19000, 17.468203, 785.312622
double, 19000, 18.053371, 759.858090
double, 19000, 13.474466, 1018.073719
double, 19000, 16.643463, 824.227489
double, 19000, 18.202129, 753.648114
double, 19000, 14.878189, 922.020793
double, 20000, 18.792027, 851.424932
double, 20000, 20.912902, 765.077954
double, 20000, 14.085288, 1135.936989
double, 20000, 18.561446, 862.001813
double, 20000, 18.350680, 871.902312
double, 20000, 19.308507, 828.650280
double, 20000, 17.480231, 915.319735
double, 20000, 13.327573, 1200.518620
