type, size, time, gflop
double, 2000, 0.053941, 296.619425
double, 2000, 0.057365, 278.914553
double, 2000, 0.058975, 271.303175
double, 2000, 0.057488, 278.320837
double, 2000, 0.057815, 276.742899
double, 2000, 0.059691, 268.048685
double, 2000, 0.058519, 273.416472
double, 2000, 0.060555, 264.223677
double, 3000, 0.139546, 386.968048
double, 3000, 0.148657, 363.251413
double, 3000, 0.146438, 368.757600
double, 3000, 0.146389, 368.879173
double, 3000, 0.148952, 362.533084
double, 3000, 0.148628, 363.322353
double, 3000, 0.144547, 373.580560
double, 3000, 0.145962, 369.960486
double, 4000, 0.318776, 401.535895
double, 4000, 0.324247, 394.760631
double, 4000, 0.313810, 407.889514
double, 4000, 0.316828, 404.004116
double, 4000, 0.340539, 375.874610
double, 4000, 0.330762, 386.985784
double, 4000, 0.325699, 393.001300
double, 4000, 0.328634, 389.490527
double, 5000, 0.644471, 387.914869
double, 5000, 0.650145, 384.529550
double, 5000, 0.624004, 400.638186
double, 5000, 0.642443, 389.139613
double, 5000, 0.620435, 402.942813
double, 5000, 0.627340, 398.507820
double, 5000, 0.669362, 373.489838
double, 5000, 0.621568, 402.208334
double, 6000, 1.057103, 408.663954
double, 6000, 1.027558, 420.414114
double, 6000, 1.000096, 431.958601
double, 6000, 1.151783, 375.070748
double, 6000, 0.998937, 432.459648
double, 6000, 1.001428, 431.384186
double, 6000, 1.004987, 429.856423
double, 6000, 1.014074, 426.004340
double, 7000, 1.383053, 496.004070
double, 7000, 1.416954, 484.137058
double, 7000, 1.408393, 487.079804
double, 7000, 1.457959, 470.520667
double, 7000, 1.446122, 474.372021
double, 7000, 1.438371, 476.928401
double, 7000, 1.428087, 480.362830
double, 7000, 1.460311, 469.762796
double, 8000, 1.941058, 527.547469
double, 8000, 1.897591, 539.631670
double, 8000, 1.906946, 536.984405
double, 8000, 1.973824, 518.790019
double, 8000, 1.880421, 544.558783
double, 8000, 1.910847, 535.888115
double, 8000, 1.978156, 517.653747
double, 8000, 1.909820, 536.176171
double, 9000, 2.456313, 593.572487
double, 9000, 2.459079, 592.904949
double, 9000, 2.510110, 580.851046
double, 9000, 2.483383, 587.102238
double, 9000, 2.440865, 597.329334
double, 9000, 2.400489, 607.376331
double, 9000, 2.559002, 569.753416
double, 9000, 2.436415, 598.420205
double, 10000, 3.194200, 626.134957
double, 10000, 3.156729, 633.567245
double, 10000, 2.992659, 668.302087
double, 10000, 3.066386, 652.233640
double, 10000, 3.154265, 634.062128
double, 10000, 3.172866, 630.345013
double, 10000, 3.154535, 634.007870
double, 10000, 3.211058, 622.847746
double, 11000, 3.625483, 734.246941
double, 11000, 3.666216, 726.089326
double, 11000, 3.692177, 720.983904
double, 11000, 3.702528, 718.968285
double, 11000, 3.656081, 728.101987
double, 11000, 3.750756, 709.723634
double, 11000, 3.052878, 871.964126
double, 11000, 3.529558, 754.202033
double, 12000, 3.185464, 1084.928246
double, 12000, 4.362876, 792.137981
double, 12000, 4.369573, 790.924001
double, 12000, 4.347275, 794.980838
double, 12000, 4.417601, 782.325098
double, 12000, 4.448956, 776.811384
double, 12000, 4.482336, 771.026524
double, 12000, 4.433175, 779.576717
double, 13000, 5.304984, 828.277769
double, 13000, 4.445456, 988.424966
double, 13000, 5.151252, 852.996579
double, 13000, 5.210432, 843.308126
double, 13000, 7.016127, 626.271418
double, 13000, 5.199544, 845.074046
double, 13000, 5.209227, 843.503296
double, 13000, 5.283672, 831.618666
double, 14000, 8.225048, 667.230185
double, 14000, 8.356138, 656.762697
double, 14000, 7.561093, 725.821023
double, 14000, 8.458819, 648.790328
double, 14000, 8.645349, 634.792179
double, 14000, 8.438622, 650.343141
double, 14000, 8.292116, 661.833509
double, 14000, 8.265892, 663.933204
double, 15000, 10.102544, 668.148521
double, 15000, 9.666231, 698.307364
double, 15000, 10.027425, 673.153844
double, 15000, 9.890336, 682.484378
double, 15000, 10.050044, 671.638839
double, 15000, 9.699410, 695.918644
double, 15000, 9.965429, 677.341621
double, 15000, 9.638567, 700.311541
double, 16000, 6.121176, 1338.304878
double, 16000, 5.560059, 1473.365569
double, 16000, 6.949003, 1178.874120
double, 16000, 5.572219, 1470.150360
double, 16000, 6.064138, 1350.892735
double, 16000, 6.439347, 1272.178674
double, 16000, 5.508174, 1487.244240
double, 16000, 6.230414, 1314.840347
double, 17000, 7.522291, 1306.251035
double, 17000, 6.374894, 1541.359016
double, 17000, 6.606693, 1487.279674
double, 17000, 7.167009, 1371.004187
double, 17000, 6.600242, 1488.733302
double, 17000, 6.553771, 1499.289465
double, 17000, 6.883633, 1427.444012
double, 17000, 6.605302, 1487.592896
double, 18000, 13.914879, 838.239428
double, 18000, 14.378641, 811.203238
double, 18000, 14.056730, 829.780448
double, 18000, 14.560608, 801.065456
double, 18000, 8.189118, 1424.329222
double, 18000, 11.728397, 994.509351
double, 18000, 14.546019, 801.868909
double, 18000, 8.170782, 1427.525536
double, 19000, 15.132839, 906.505354
double, 19000, 15.421119, 889.559290
double, 19000, 18.838258, 728.198976
double, 19000, 15.053641, 911.274553
double, 19000, 15.082003, 909.560889
double, 19000, 15.107100, 908.049830
double, 19000, 15.143344, 905.876537
double, 19000, 14.980292, 915.736501
double, 20000, 17.858839, 895.914906
double, 20000, 21.269387, 752.254882
double, 20000, 21.264000, 752.445435
double, 20000, 21.608807, 740.438848
double, 20000, 21.670462, 738.332211
double, 20000, 21.457030, 745.676365
double, 20000, 11.653247, 1373.007909
double, 20000, 21.465336, 745.387827
