type, size, time, gflop
double, 2000, 0.074854, 213.748927
double, 2000, 0.062184, 257.301923
double, 2000, 0.062315, 256.761547
double, 2000, 0.060605, 264.002987
double, 2000, 0.061068, 262.002863
double, 2000, 0.060627, 263.907096
double, 2000, 0.062720, 255.103391
double, 2000, 0.063423, 252.276007
double, 3000, 0.114992, 469.598273
double, 3000, 0.126164, 428.013147
double, 3000, 0.119346, 452.465124
double, 3000, 0.114574, 471.312743
double, 3000, 0.110464, 488.845173
double, 3000, 0.126290, 427.587380
double, 3000, 0.114998, 469.571506
double, 3000, 0.132505, 407.531413
double, 4000, 0.252785, 506.358949
double, 4000, 0.265147, 482.751121
double, 4000, 0.269793, 474.437972
double, 4000, 0.271844, 470.859064
double, 4000, 0.260285, 491.768733
double, 4000, 0.238845, 535.911351
double, 4000, 0.249963, 512.076080
double, 4000, 0.250511, 510.955943
double, 5000, 0.500238, 499.762560
double, 5000, 0.502472, 497.540486
double, 5000, 0.497464, 502.549250
double, 5000, 0.504700, 495.343556
double, 5000, 0.500798, 499.203176
double, 5000, 0.496053, 503.978866
double, 5000, 0.489472, 510.753984
double, 5000, 0.501915, 498.092799
double, 6000, 0.779358, 554.302178
double, 6000, 0.779212, 554.406460
double, 6000, 0.790675, 546.368913
double, 6000, 0.781699, 552.642248
double, 6000, 0.792219, 545.303838
double, 6000, 0.778651, 554.806036
double, 6000, 0.794675, 543.618272
double, 6000, 0.782445, 552.115782
double, 7000, 1.229340, 558.023163
double, 7000, 1.218522, 562.976956
double, 7000, 1.232750, 556.479385
double, 7000, 1.224772, 560.104086
double, 7000, 1.219616, 562.471977
double, 7000, 1.224205, 560.363482
double, 7000, 1.218138, 563.154734
double, 7000, 1.232228, 556.715214
double, 8000, 1.784607, 573.795715
double, 8000, 1.820311, 562.541184
double, 8000, 1.779251, 575.523039
double, 8000, 1.780667, 575.065475
double, 8000, 1.761380, 581.362198
double, 8000, 1.765379, 580.045544
double, 8000, 1.805501, 567.155581
double, 8000, 1.737200, 589.454312
double, 9000, 2.477060, 588.601072
double, 9000, 2.410495, 604.855004
double, 9000, 2.483450, 587.086439
double, 9000, 2.486377, 586.395306
double, 9000, 2.507174, 581.531269
double, 9000, 2.472146, 589.771014
double, 9000, 2.431820, 599.550941
double, 9000, 2.396151, 608.475758
double, 10000, 3.231449, 618.917399
double, 10000, 3.220722, 620.978775
double, 10000, 3.322969, 601.871406
double, 10000, 3.219676, 621.180452
double, 10000, 2.167706, 922.634472
double, 10000, 3.279814, 609.790715
double, 10000, 3.338560, 599.060610
double, 10000, 3.304452, 605.244076
double, 11000, 4.114763, 646.938852
double, 11000, 3.820667, 696.737056
double, 11000, 4.119362, 646.216598
double, 11000, 3.687792, 721.841233
double, 11000, 3.736704, 712.392577
double, 11000, 3.144814, 846.473040
double, 11000, 4.079717, 652.496241
double, 11000, 3.709672, 717.583603
double, 12000, 4.959598, 696.830619
double, 12000, 3.919733, 881.692774
double, 12000, 5.918671, 583.914897
double, 12000, 5.016898, 688.871923
double, 12000, 3.655040, 945.543574
double, 12000, 4.980021, 693.972942
double, 12000, 4.017163, 860.308692
double, 12000, 4.559636, 757.955302
double, 13000, 5.974244, 735.490527
double, 13000, 5.978820, 734.927575
double, 13000, 4.150609, 1058.639835
double, 13000, 5.935307, 740.315517
double, 13000, 5.958824, 737.393863
double, 13000, 6.007334, 731.439213
double, 13000, 5.462783, 804.351881
double, 13000, 5.979948, 734.789055
double, 14000, 9.082900, 604.212284
double, 14000, 9.063305, 605.518615
double, 14000, 9.079385, 604.446197
double, 14000, 8.982395, 610.972880
double, 14000, 9.089147, 603.797015
double, 14000, 9.054635, 606.098447
double, 14000, 8.983195, 610.918501
double, 14000, 9.074281, 604.786189
double, 15000, 11.146493, 605.571614
double, 15000, 10.800616, 624.964372
double, 15000, 10.848868, 622.184710
double, 15000, 10.958628, 615.952994
double, 15000, 10.756083, 627.551885
double, 15000, 10.775415, 626.425971
double, 15000, 11.160042, 604.836455
double, 15000, 10.998433, 613.723790
double, 16000, 7.787328, 1051.965488
double, 16000, 7.938586, 1031.921750
double, 16000, 7.829903, 1046.245395
double, 16000, 7.827012, 1046.631903
double, 16000, 7.480454, 1095.120725
double, 16000, 7.339835, 1116.101353
double, 16000, 8.099661, 1011.400328
double, 16000, 6.985034, 1172.793119
double, 17000, 8.114101, 1210.978301
double, 17000, 7.020967, 1399.522266
double, 17000, 6.884719, 1427.218710
double, 17000, 9.332307, 1052.901484
double, 17000, 7.530010, 1304.912016
double, 17000, 7.315038, 1343.260270
double, 17000, 8.110905, 1211.455402
double, 17000, 15.542852, 632.187711
double, 18000, 16.508479, 706.545998
double, 18000, 16.632212, 701.289750
double, 18000, 16.537788, 705.293820
double, 18000, 16.337244, 713.951495
double, 18000, 7.767580, 1501.625947
double, 18000, 16.418199, 710.431154
double, 18000, 15.868857, 735.024562
double, 18000, 16.465264, 708.400416
double, 19000, 21.307513, 643.810468
double, 19000, 21.830084, 628.398874
double, 19000, 17.017050, 806.132673
double, 19000, 20.152836, 680.698232
double, 19000, 21.490580, 638.326197
double, 19000, 19.088438, 718.654928
double, 19000, 21.716697, 631.679859
double, 19000, 17.320795, 791.995970
double, 20000, 22.711070, 704.502243
double, 20000, 23.784294, 672.712854
double, 20000, 18.639465, 858.393751
double, 20000, 20.287368, 788.668113
double, 20000, 22.319823, 716.851561
double, 20000, 23.028022, 694.805648
double, 20000, 22.127041, 723.097130
double, 20000, 23.568339, 678.876874
