type, size, time, gflop
double, 2000, 0.062614, 255.535441
double, 2000, 0.064664, 247.433814
double, 2000, 0.063980, 250.077540
double, 2000, 0.085008, 188.216915
double, 2000, 0.067655, 236.494498
double, 2000, 0.065447, 244.474491
double, 2000, 0.066088, 242.101232
double, 2000, 0.067945, 235.484316
double, 3000, 0.167249, 322.872619
double, 3000, 0.176038, 306.752005
double, 3000, 0.167170, 323.023668
double, 3000, 0.171707, 314.489072
double, 3000, 0.167133, 323.096128
double, 3000, 0.170037, 317.578423
double, 3000, 0.169523, 318.541535
double, 3000, 0.176638, 305.709315
double, 4000, 0.366970, 348.801930
double, 4000, 0.370306, 345.660470
double, 4000, 0.364303, 351.356228
double, 4000, 0.364335, 351.325491
double, 4000, 0.365208, 350.485054
double, 4000, 0.363512, 352.120175
double, 4000, 0.359761, 355.791961
double, 4000, 0.369099, 346.790476
double, 5000, 0.628085, 398.034983
double, 5000, 0.635361, 393.477125
double, 5000, 0.635457, 393.417404
double, 5000, 0.628308, 397.894318
double, 5000, 0.636545, 392.745043
double, 5000, 0.634678, 393.900366
double, 5000, 0.635428, 393.435358
double, 5000, 0.637580, 392.107415
double, 6000, 0.993465, 434.841879
double, 6000, 1.008966, 428.161025
double, 6000, 0.999168, 432.359806
double, 6000, 1.005795, 429.510944
double, 6000, 0.986402, 437.955380
double, 6000, 1.005516, 429.629993
double, 6000, 0.983992, 439.028098
double, 6000, 1.002112, 431.089414
double, 7000, 1.422817, 482.142211
double, 7000, 1.397685, 490.811695
double, 7000, 1.408082, 487.187631
double, 7000, 1.410773, 486.258247
double, 7000, 1.411297, 486.077700
double, 7000, 1.410298, 486.422162
double, 7000, 1.436173, 477.658249
double, 7000, 1.388623, 494.014635
double, 8000, 1.866856, 548.515708
double, 8000, 1.872278, 546.927415
double, 8000, 1.856032, 551.714609
double, 8000, 1.859949, 550.552663
double, 8000, 1.955814, 523.567205
double, 8000, 1.818619, 563.064580
double, 8000, 1.861977, 549.953091
double, 8000, 1.906908, 536.994874
double, 9000, 2.455682, 593.725103
double, 9000, 2.379890, 612.633319
double, 9000, 2.483124, 587.163495
double, 9000, 2.370304, 615.110910
double, 9000, 2.426487, 600.868559
double, 9000, 2.343258, 622.210589
double, 9000, 2.424900, 601.261896
double, 9000, 2.454546, 593.999911
double, 10000, 2.910262, 687.223424
double, 10000, 2.855002, 700.525009
double, 10000, 3.069054, 651.666524
double, 10000, 2.854493, 700.649726
double, 10000, 3.035640, 658.839684
double, 10000, 2.917355, 685.552416
double, 10000, 2.993675, 668.075270
double, 10000, 2.874298, 695.822188
double, 11000, 3.584419, 742.658664
double, 11000, 3.653832, 728.550125
double, 11000, 3.575023, 744.610576
double, 11000, 3.582872, 742.979420
double, 11000, 3.288510, 809.485071
double, 11000, 2.953854, 901.195403
double, 11000, 3.731566, 713.373379
double, 11000, 3.672125, 724.920889
double, 12000, 4.215848, 819.763868
double, 12000, 4.338156, 796.651812
double, 12000, 4.550532, 759.471589
double, 12000, 4.299897, 803.740113
double, 12000, 4.285948, 806.355953
double, 12000, 4.370043, 790.838871
double, 12000, 4.268211, 809.706916
double, 12000, 4.300849, 803.562185
double, 13000, 5.071177, 866.465563
double, 13000, 5.022644, 874.838088
double, 13000, 5.251521, 836.709964
double, 13000, 5.086298, 863.889663
double, 13000, 5.147847, 853.560687
double, 13000, 4.607311, 953.701594
double, 13000, 4.951061, 887.486540
double, 13000, 4.884397, 899.599191
double, 14000, 7.337022, 747.987389
double, 14000, 7.377207, 743.912975
double, 14000, 7.462970, 735.364071
double, 14000, 7.364861, 745.159979
double, 14000, 7.542215, 727.637673
double, 14000, 7.615133, 720.670293
double, 14000, 7.328185, 748.889399
double, 14000, 7.474153, 734.263818
double, 15000, 8.858604, 761.971033
double, 15000, 8.750625, 771.373443
double, 15000, 8.869920, 760.998958
double, 15000, 8.834053, 764.088680
double, 15000, 8.768417, 769.808258
double, 15000, 6.308222, 1070.032028
double, 15000, 8.801343, 766.928446
double, 15000, 8.722366, 773.872562
double, 16000, 7.258111, 1128.668252
double, 16000, 8.311980, 985.565398
double, 16000, 8.116567, 1009.293693
double, 16000, 7.972881, 1027.482977
double, 16000, 8.107566, 1010.414250
double, 16000, 8.230241, 995.353571
double, 16000, 7.679995, 1066.667330
double, 16000, 7.918625, 1034.522986
double, 17000, 9.122834, 1077.077544
double, 17000, 9.402086, 1045.087179
double, 17000, 9.210768, 1066.794846
double, 17000, 8.763719, 1121.213447
double, 17000, 8.266198, 1188.696362
double, 17000, 9.545467, 1029.389172
double, 17000, 9.499616, 1034.357636
double, 17000, 9.319053, 1054.398974
double, 18000, 13.471165, 865.849378
double, 18000, 13.701380, 851.301095
double, 18000, 13.343649, 874.123684
double, 18000, 13.407604, 869.954065
double, 18000, 13.627174, 855.936811
double, 18000, 13.518766, 862.800644
double, 18000, 13.144738, 887.351251
double, 18000, 14.608994, 798.412251
double, 19000, 16.756028, 818.690460
double, 19000, 13.561337, 1011.552202
double, 19000, 14.638816, 937.097643
double, 19000, 14.979754, 915.769368
double, 19000, 16.751577, 818.907967
double, 19000, 14.984540, 915.476909
double, 19000, 16.666578, 823.084380
double, 19000, 16.738160, 819.564378
double, 20000, 18.518620, 863.995288
double, 20000, 19.253594, 831.013698
double, 20000, 18.987564, 842.656785
double, 20000, 19.096958, 837.829760
double, 20000, 19.437373, 823.156524
double, 20000, 19.273408, 830.159376
double, 20000, 19.024956, 841.000614
double, 20000, 19.402498, 824.636081
