type, size, time, gflop
double, 2000, 0.065654, 243.701623
double, 2000, 0.063558, 251.737900
double, 2000, 0.063906, 250.369420
double, 2000, 0.064076, 249.701595
double, 2000, 0.065479, 244.354846
double, 2000, 0.065501, 244.269402
double, 2000, 0.074700, 214.189735
double, 2000, 0.076177, 210.037374
double, 3000, 0.116498, 463.527084
double, 3000, 0.120411, 448.464994
double, 3000, 0.120461, 448.279280
double, 3000, 0.120547, 447.957642
double, 3000, 0.136104, 396.754385
double, 3000, 0.122740, 439.954909
double, 3000, 0.118448, 455.897763
double, 3000, 0.122798, 439.745025
double, 4000, 0.234706, 545.362157
double, 4000, 0.221663, 577.453575
double, 4000, 0.219697, 582.619790
double, 4000, 0.225791, 566.895581
double, 4000, 0.240473, 532.283274
double, 4000, 0.241437, 530.159817
double, 4000, 0.231714, 552.406200
double, 4000, 0.233067, 549.197939
double, 5000, 0.431552, 579.303993
double, 5000, 0.430259, 581.045146
double, 5000, 0.439194, 569.224957
double, 5000, 0.424953, 588.300182
double, 5000, 0.438355, 570.313470
double, 5000, 0.436173, 573.166596
double, 5000, 0.428145, 583.914147
double, 5000, 0.441786, 565.884497
double, 6000, 0.770421, 560.732246
double, 6000, 0.748136, 577.435182
double, 6000, 0.754873, 572.281402
double, 6000, 0.767428, 562.919551
double, 6000, 0.754201, 572.791571
double, 6000, 0.761783, 567.090290
double, 6000, 0.738219, 585.191807
double, 6000, 0.744403, 580.330555
double, 7000, 1.237549, 554.321404
double, 7000, 1.219013, 562.750403
double, 7000, 1.243122, 551.836479
double, 7000, 1.224315, 560.313317
double, 7000, 1.220385, 562.117615
double, 7000, 1.228733, 558.298673
double, 7000, 1.221146, 561.767165
double, 7000, 1.208418, 567.684395
double, 8000, 1.730050, 591.890273
double, 8000, 1.791441, 571.606833
double, 8000, 1.792020, 571.422100
double, 8000, 1.782967, 574.323689
double, 8000, 1.775161, 576.849243
double, 8000, 1.785588, 573.480544
double, 8000, 1.789019, 572.380619
double, 8000, 1.739403, 588.707803
double, 9000, 2.366784, 616.025815
double, 9000, 2.388483, 610.429297
double, 9000, 2.393365, 609.184254
double, 9000, 2.369267, 615.380291
double, 9000, 2.390020, 610.036685
double, 9000, 2.363632, 616.847256
double, 9000, 2.343097, 622.253471
double, 9000, 2.358139, 618.284267
double, 10000, 2.913644, 686.425658
double, 10000, 3.284371, 608.944522
double, 10000, 2.939727, 680.335246
double, 10000, 2.903025, 688.936484
double, 10000, 2.918713, 685.233630
double, 10000, 2.927858, 683.093143
double, 10000, 3.193071, 626.356230
double, 10000, 2.932672, 681.972036
double, 11000, 2.750318, 967.887954
double, 11000, 3.986561, 667.743526
double, 11000, 2.814978, 945.655729
double, 11000, 2.766164, 962.343467
double, 11000, 2.493844, 1067.428480
double, 11000, 4.258635, 625.082932
double, 11000, 4.259021, 625.026335
double, 11000, 2.769277, 961.261841
double, 12000, 3.080390, 1121.935686
double, 12000, 3.129767, 1104.235394
double, 12000, 3.041890, 1136.135893
double, 12000, 3.212032, 1075.954457
double, 12000, 3.787464, 912.483948
double, 12000, 3.199516, 1080.163470
double, 12000, 3.103356, 1113.633015
double, 12000, 5.164865, 669.136549
double, 13000, 6.330208, 694.131959
double, 13000, 6.202673, 708.404215
double, 13000, 6.123723, 717.537369
double, 13000, 5.787087, 759.276672
double, 13000, 5.082655, 864.508795
double, 13000, 3.627931, 1211.158787
double, 13000, 6.192831, 709.530081
double, 13000, 6.182225, 710.747311
double, 14000, 7.016875, 782.114501
double, 14000, 9.116609, 601.978192
double, 14000, 8.816963, 622.436564
double, 14000, 8.805298, 623.261105
double, 14000, 8.805521, 623.245325
double, 14000, 8.931980, 614.421470
double, 14000, 6.997956, 784.228953
double, 14000, 8.947700, 613.341951
double, 15000, 11.432276, 590.433601
double, 15000, 11.401978, 592.002566
double, 15000, 11.469133, 588.536217
double, 15000, 11.371076, 593.611395
double, 15000, 11.360093, 594.185265
double, 15000, 10.248405, 658.639090
double, 15000, 11.390949, 592.575734
double, 15000, 11.536017, 585.123971
double, 16000, 6.059452, 1351.937394
double, 16000, 5.809280, 1410.157442
double, 16000, 5.770360, 1419.668893
double, 16000, 5.199934, 1575.404495
double, 16000, 5.571488, 1470.343258
double, 16000, 6.608421, 1239.630442
double, 16000, 5.527011, 1482.175523
double, 16000, 5.348447, 1531.659690
double, 17000, 6.452464, 1522.829198
double, 17000, 6.544645, 1501.380114
double, 17000, 5.865053, 1675.347296
double, 17000, 7.117524, 1380.536248
double, 17000, 5.985744, 1641.567006
double, 17000, 5.874442, 1672.669537
double, 17000, 6.334713, 1551.135703
double, 17000, 6.521556, 1506.695727
double, 18000, 15.428318, 756.012399
double, 18000, 15.326406, 761.039488
double, 18000, 14.188191, 822.092093
double, 18000, 15.126542, 771.094944
double, 18000, 15.598268, 747.775353
double, 18000, 15.992586, 729.337959
double, 18000, 15.363862, 759.184094
double, 18000, 15.221782, 766.270329
double, 19000, 15.482186, 886.050571
double, 19000, 13.121086, 1045.492732
double, 19000, 16.019129, 856.351167
double, 19000, 16.259720, 843.679973
double, 19000, 14.550649, 942.775817
double, 19000, 13.902758, 986.710661
double, 19000, 14.432094, 950.520390
double, 19000, 16.245815, 844.402067
double, 20000, 25.344431, 631.302385
double, 20000, 19.486356, 821.087331
double, 20000, 16.631355, 962.038293
double, 20000, 18.586019, 860.862158
double, 20000, 18.501590, 864.790538
double, 20000, 20.140081, 794.435724
double, 20000, 16.898988, 946.802257
double, 20000, 21.137773, 756.938760
