type, size, time, gflop
double, 2000, 0.055664, 287.436528
double, 2000, 0.071687, 223.192729
double, 2000, 0.057552, 278.011476
double, 2000, 0.059601, 268.451322
double, 2000, 0.059736, 267.845925
double, 2000, 0.065369, 244.765199
double, 2000, 0.060997, 262.307613
double, 2000, 0.060119, 266.137510
double, 3000, 0.141976, 380.345773
double, 3000, 0.137471, 392.809800
double, 3000, 0.141439, 381.789555
double, 3000, 0.157946, 341.889582
double, 3000, 0.147257, 366.706340
double, 3000, 0.150648, 358.452241
double, 3000, 0.144035, 374.907905
double, 3000, 0.146225, 369.294462
double, 4000, 0.326421, 392.131547
double, 4000, 0.318849, 401.443639
double, 4000, 0.334272, 382.922216
double, 4000, 0.325814, 392.862283
double, 4000, 0.317070, 403.696538
double, 4000, 0.340983, 375.385641
double, 4000, 0.334397, 382.778496
double, 4000, 0.328715, 389.395054
double, 5000, 0.620510, 402.894221
double, 5000, 0.668650, 373.887606
double, 5000, 0.625404, 399.741681
double, 5000, 0.600250, 416.492971
double, 5000, 0.595100, 420.097302
double, 5000, 0.627895, 398.155942
double, 5000, 0.629680, 397.027296
double, 5000, 0.606499, 412.201875
double, 6000, 1.017684, 424.493356
double, 6000, 1.039385, 415.630204
double, 6000, 1.017576, 424.538407
double, 6000, 1.011283, 427.180294
double, 6000, 1.004722, 429.969827
double, 6000, 1.060046, 407.529548
double, 6000, 1.032825, 418.270460
double, 6000, 1.002214, 431.045549
double, 7000, 1.389668, 493.642971
double, 7000, 1.404434, 488.452985
double, 7000, 1.494510, 459.013329
double, 7000, 1.426486, 480.901970
double, 7000, 1.441765, 475.805710
double, 7000, 1.434902, 478.081574
double, 7000, 1.429922, 479.746518
double, 7000, 1.438944, 476.738569
double, 8000, 1.909162, 536.360929
double, 8000, 1.923378, 532.396701
double, 8000, 1.963594, 521.492690
double, 8000, 1.913053, 535.270107
double, 8000, 1.897833, 539.562798
double, 8000, 1.956069, 523.498784
double, 8000, 2.000559, 511.856939
double, 8000, 1.948821, 525.445983
double, 9000, 2.462483, 592.085395
double, 9000, 2.461799, 592.249895
double, 9000, 2.601025, 560.548182
double, 9000, 2.470633, 590.132123
double, 9000, 2.512526, 580.292424
double, 9000, 2.004184, 727.478118
double, 9000, 2.515881, 579.518752
double, 9000, 2.449171, 595.303479
double, 10000, 3.105094, 644.102823
double, 10000, 3.143112, 636.312030
double, 10000, 3.077962, 649.780685
double, 10000, 3.195533, 625.873709
double, 10000, 3.235679, 618.108233
double, 10000, 3.052584, 655.182659
double, 10000, 3.030015, 660.062706
double, 10000, 3.177234, 629.478268
double, 11000, 3.657202, 727.878913
double, 11000, 3.681350, 723.104207
double, 11000, 3.603935, 738.637033
double, 11000, 3.835815, 693.985479
double, 11000, 3.004055, 886.135680
double, 11000, 3.746640, 710.503280
double, 11000, 3.663652, 726.597471
double, 11000, 3.614555, 736.466919
double, 12000, 3.238145, 1067.277634
double, 12000, 4.354322, 793.694102
double, 12000, 4.314642, 800.993545
double, 12000, 4.414409, 782.890714
double, 12000, 4.400216, 785.415995
double, 12000, 2.952783, 1170.421175
double, 12000, 4.193531, 824.126449
double, 12000, 3.991472, 865.846027
double, 13000, 5.139694, 854.914721
double, 13000, 5.198835, 845.189373
double, 13000, 5.266393, 834.347178
double, 13000, 5.202498, 844.594316
double, 13000, 5.241220, 838.354436
double, 13000, 5.149010, 853.367854
double, 13000, 5.207059, 843.854396
double, 13000, 5.228962, 840.319732
double, 14000, 8.168389, 671.858326
double, 14000, 8.310794, 660.346016
double, 14000, 8.537410, 642.817907
double, 14000, 8.076906, 679.468068
double, 14000, 8.374764, 655.302087
double, 14000, 8.346538, 657.518158
double, 14000, 8.157604, 672.746534
double, 14000, 8.383323, 654.632994
double, 15000, 10.007813, 674.473011
double, 15000, 9.518848, 709.119434
double, 15000, 9.817967, 687.515030
double, 15000, 9.507654, 709.954339
double, 15000, 9.676306, 697.580251
double, 15000, 9.826984, 686.884183
double, 15000, 10.228860, 659.897562
double, 15000, 9.481225, 711.933353
double, 16000, 5.762137, 1421.694826
double, 16000, 6.446327, 1270.801133
double, 16000, 6.039603, 1356.380519
double, 16000, 5.260090, 1557.387824
double, 16000, 6.125206, 1337.424469
double, 16000, 5.766688, 1420.572803
double, 16000, 6.110478, 1340.648036
double, 16000, 7.558222, 1083.852788
double, 17000, 7.278781, 1349.951382
double, 17000, 8.601893, 1142.306691
double, 17000, 6.832888, 1438.044833
double, 17000, 7.432006, 1322.119474
double, 17000, 7.998861, 1228.424884
double, 17000, 6.869874, 1430.302755
double, 17000, 10.514754, 934.496439
double, 17000, 7.659544, 1282.843934
double, 18000, 14.145199, 824.590729
double, 18000, 9.265558, 1258.855692
double, 18000, 14.465041, 806.357900
double, 18000, 7.546516, 1545.613911
double, 18000, 14.193780, 821.768396
double, 18000, 14.384771, 810.857522
double, 18000, 14.819027, 787.096236
double, 18000, 14.587374, 799.595606
double, 19000, 15.345601, 893.936942
double, 19000, 15.396765, 890.966373
double, 19000, 15.503654, 884.823695
double, 19000, 15.529277, 883.363723
double, 19000, 17.179309, 798.518735
double, 19000, 15.398104, 890.888881
double, 19000, 11.709123, 1171.565101
double, 19000, 15.360068, 893.095031
double, 20000, 16.619939, 962.699065
double, 20000, 20.298945, 788.218319
double, 20000, 20.262030, 789.654338
double, 20000, 20.609633, 776.335984
double, 20000, 20.507036, 780.220018
double, 20000, 21.419418, 746.985756
double, 20000, 20.938675, 764.136227
double, 20000, 21.141154, 756.817728
