type, size, time, gflop
double, 2000, 0.043422, 368.473355
double, 2000, 0.042744, 374.320903
double, 2000, 0.042744, 374.323810
double, 2000, 0.043353, 369.064148
double, 2000, 0.041736, 383.357686
double, 2000, 0.041743, 383.300177
double, 2000, 0.041322, 387.199841
double, 2000, 0.043193, 370.432915
double, 3000, 0.084240, 641.023815
double, 3000, 0.082953, 650.970938
double, 3000, 0.080541, 670.469320
double, 3000, 0.081787, 660.249772
double, 3000, 0.083308, 648.194570
double, 3000, 0.081938, 659.035491
double, 3000, 0.081295, 664.243931
double, 3000, 0.082980, 650.759901
double, 4000, 0.197455, 648.249099
double, 4000, 0.217422, 588.717442
double, 4000, 0.213122, 600.594736
double, 4000, 0.197831, 647.015633
double, 4000, 0.213723, 598.906260
double, 4000, 0.203674, 628.456156
double, 4000, 0.205310, 623.448715
double, 4000, 0.218092, 586.907766
double, 5000, 0.431838, 578.921358
double, 5000, 0.421605, 592.972216
double, 5000, 0.437025, 572.049821
double, 5000, 0.439806, 568.432942
double, 5000, 0.431102, 579.909175
double, 5000, 0.424817, 588.489258
double, 5000, 0.428995, 582.757579
double, 5000, 0.424161, 589.398563
double, 6000, 0.756137, 571.325091
double, 6000, 0.756922, 570.732653
double, 6000, 0.757367, 570.397125
double, 6000, 0.762956, 566.218749
double, 6000, 0.761984, 566.941360
double, 6000, 0.759487, 568.805120
double, 6000, 0.761115, 567.588458
double, 6000, 0.756018, 571.414835
double, 7000, 1.235731, 555.136965
double, 7000, 1.229712, 557.854191
double, 7000, 1.240221, 553.127210
double, 7000, 1.238011, 554.114790
double, 7000, 1.235468, 555.255148
double, 7000, 1.226208, 559.448263
double, 7000, 1.241542, 552.538768
double, 7000, 1.233786, 556.012060
double, 8000, 1.796979, 569.845126
double, 8000, 1.800319, 568.787935
double, 8000, 1.803407, 567.814183
double, 8000, 1.796767, 569.912520
double, 8000, 1.807797, 566.435135
double, 8000, 1.804988, 567.316740
double, 8000, 1.796087, 570.128323
double, 8000, 1.793022, 571.102780
double, 9000, 2.465112, 591.453768
double, 9000, 2.472143, 589.771713
double, 9000, 2.465692, 591.314680
double, 9000, 2.473338, 589.486663
double, 9000, 2.470848, 590.080741
double, 9000, 2.468411, 590.663439
double, 9000, 2.465999, 591.240997
double, 9000, 2.451927, 594.634393
double, 10000, 3.411676, 586.222118
double, 10000, 3.381341, 591.481276
double, 10000, 3.412785, 586.031638
double, 10000, 3.413694, 585.875583
double, 10000, 3.393613, 589.342342
double, 10000, 3.366193, 594.143013
double, 10000, 3.376682, 592.297442
double, 10000, 3.384882, 590.862517
double, 11000, 4.468346, 595.746207
double, 11000, 3.500417, 760.480733
double, 11000, 3.479860, 764.973404
double, 11000, 3.490764, 762.583714
double, 11000, 4.257291, 625.280204
double, 11000, 3.491516, 762.419563
double, 11000, 4.094056, 650.210864
double, 11000, 4.249982, 626.355573
double, 12000, 4.192251, 824.378145
double, 12000, 5.817943, 594.024404
double, 12000, 5.284576, 653.978643
double, 12000, 5.793823, 596.497365
double, 12000, 5.249776, 658.313758
double, 12000, 5.219698, 662.107210
double, 12000, 5.266567, 656.214941
double, 12000, 5.261510, 656.845602
double, 13000, 5.251341, 836.738692
double, 13000, 4.582709, 958.821548
double, 13000, 5.213054, 842.884064
double, 13000, 4.612969, 952.531833
double, 13000, 7.504354, 585.526725
double, 13000, 5.836206, 752.886404
double, 13000, 5.261406, 835.138043
double, 13000, 4.574643, 960.512120
double, 14000, 8.864271, 619.114638
double, 14000, 9.032711, 607.569517
double, 14000, 9.065787, 605.352883
double, 14000, 9.141807, 600.318972
double, 14000, 9.023442, 608.193640
double, 14000, 9.127423, 601.264988
double, 14000, 9.063795, 605.485895
double, 14000, 9.096570, 603.304340
double, 15000, 7.502149, 899.742241
double, 15000, 10.925638, 617.812919
double, 15000, 10.931589, 617.476542
double, 15000, 10.952991, 616.270003
double, 15000, 10.954669, 616.175648
double, 15000, 10.976856, 614.930189
double, 15000, 10.934562, 617.308666
double, 15000, 10.927116, 617.729308
double, 16000, 9.588792, 854.330797
double, 16000, 8.790523, 931.912664
double, 16000, 8.680004, 943.778313
double, 16000, 9.541959, 858.523919
double, 16000, 9.616396, 851.878428
double, 16000, 9.653877, 848.570953
double, 16000, 8.668365, 945.045556
double, 16000, 9.555585, 857.299656
double, 17000, 11.080977, 886.744922
double, 17000, 11.074175, 887.289605
double, 17000, 11.079657, 886.850590
double, 17000, 11.062432, 888.231486
double, 17000, 11.101918, 885.072310
double, 17000, 11.092397, 885.831965
double, 17000, 11.130998, 882.759983
double, 17000, 11.069814, 887.639142
double, 18000, 16.394604, 711.453587
double, 18000, 16.461066, 708.581066
double, 18000, 16.384896, 711.875133
double, 18000, 16.423434, 710.204698
double, 18000, 16.444979, 709.274255
double, 18000, 16.389134, 711.691051
double, 18000, 16.432872, 709.796802
double, 18000, 16.381471, 712.023957
double, 19000, 22.030002, 622.696274
double, 19000, 20.781906, 660.093443
double, 19000, 20.916968, 655.831174
double, 19000, 21.846916, 627.914713
double, 19000, 21.850574, 627.809599
double, 19000, 21.773049, 630.044968
double, 19000, 20.718369, 662.117762
double, 19000, 22.060903, 621.824035
double, 20000, 22.656914, 706.186212
double, 20000, 24.503540, 652.966871
double, 20000, 16.920175, 945.616702
double, 20000, 24.515207, 652.656125
double, 20000, 22.551442, 709.489002
double, 20000, 24.720830, 647.227459
double, 20000, 22.045119, 725.784239
double, 20000, 24.588206, 650.718467
