type, size, time, gflop
double, 2000, 0.034466, 464.224846
double, 2000, 0.037250, 429.534145
double, 2000, 0.037075, 431.554161
double, 2000, 0.040483, 395.227392
double, 2000, 0.046340, 345.270850
double, 2000, 0.035724, 447.882302
double, 2000, 0.037770, 423.619375
double, 2000, 0.037716, 424.222534
double, 3000, 0.077286, 698.701139
double, 3000, 0.077961, 692.657404
double, 3000, 0.077877, 693.396912
double, 3000, 0.076943, 701.814964
double, 3000, 0.076020, 710.336544
double, 3000, 0.075718, 713.169585
double, 3000, 0.088033, 613.407967
double, 3000, 0.084455, 639.397523
double, 4000, 0.200214, 639.316877
double, 4000, 0.173556, 737.514286
double, 4000, 0.168443, 759.901061
double, 4000, 0.165540, 773.226804
double, 4000, 0.166876, 767.037443
double, 4000, 0.168708, 758.708027
double, 4000, 0.170355, 751.371182
double, 4000, 0.180523, 709.050135
double, 5000, 0.362988, 688.728740
double, 5000, 0.363935, 686.935242
double, 5000, 0.365819, 683.398108
double, 5000, 0.372520, 671.105766
double, 5000, 0.386320, 647.132518
double, 5000, 0.401076, 623.323062
double, 5000, 0.396678, 630.233981
double, 5000, 0.376061, 664.785269
double, 6000, 0.626423, 689.629371
double, 6000, 0.617145, 699.997526
double, 6000, 0.627980, 687.919582
double, 6000, 0.635824, 679.433022
double, 6000, 0.638070, 677.041660
double, 6000, 0.627533, 688.409682
double, 6000, 0.648702, 665.945677
double, 6000, 0.620383, 696.343657
double, 7000, 0.942171, 728.105425
double, 7000, 0.961007, 713.834431
double, 7000, 0.927550, 739.583144
double, 7000, 0.961493, 713.474079
double, 7000, 0.977966, 701.455797
double, 7000, 0.988917, 693.688374
double, 7000, 0.938801, 730.719249
double, 7000, 0.958684, 715.564327
double, 8000, 1.334826, 767.141241
double, 8000, 1.342090, 762.989101
double, 8000, 1.351124, 757.887257
double, 8000, 1.343196, 762.360861
double, 8000, 1.326269, 772.090640
double, 8000, 1.366216, 749.515476
double, 8000, 1.337081, 765.847516
double, 8000, 1.330314, 769.742945
double, 9000, 1.728469, 843.520949
double, 9000, 1.762530, 827.220109
double, 9000, 1.738589, 838.611194
double, 9000, 1.807449, 806.661855
double, 9000, 1.749464, 833.398139
double, 9000, 1.827543, 797.792247
double, 9000, 1.828836, 797.228466
double, 9000, 1.756612, 830.006637
double, 10000, 2.379031, 840.678247
double, 10000, 2.292603, 872.370810
double, 10000, 2.430523, 822.868328
double, 10000, 2.414127, 828.456664
double, 10000, 2.335875, 856.210237
double, 10000, 2.373200, 842.743857
double, 10000, 2.305994, 867.304930
double, 10000, 2.368406, 844.449764
double, 11000, 2.630721, 1011.889756
double, 11000, 2.917845, 912.317201
double, 11000, 2.570517, 1035.589181
double, 11000, 2.901494, 917.458412
double, 11000, 2.764141, 963.047660
double, 11000, 2.927316, 909.365316
double, 11000, 2.944034, 904.201464
double, 11000, 3.081115, 863.972932
double, 12000, 3.346187, 1032.817323
double, 12000, 3.677674, 939.724331
double, 12000, 3.842085, 899.511504
double, 12000, 3.270110, 1056.845281
double, 12000, 3.731648, 926.132321
double, 12000, 3.306890, 1045.090758
double, 12000, 3.174525, 1088.666702
double, 12000, 3.207546, 1077.459125
double, 13000, 4.684047, 938.077640
double, 13000, 4.598005, 955.631822
double, 13000, 4.723197, 930.302063
double, 13000, 4.731152, 928.737877
double, 13000, 4.702749, 934.347081
double, 13000, 4.684836, 937.919620
double, 13000, 4.659650, 942.989352
double, 13000, 4.684283, 938.030362
double, 14000, 6.254968, 877.382647
double, 14000, 6.281844, 873.628875
double, 14000, 6.315032, 869.037538
double, 14000, 6.635991, 827.005388
double, 14000, 6.552359, 837.560887
double, 14000, 6.655327, 824.602546
double, 14000, 6.245818, 878.667873
double, 14000, 6.399635, 857.548855
double, 15000, 8.809766, 766.195142
double, 15000, 7.717816, 874.599750
double, 15000, 8.712587, 774.741179
double, 15000, 8.831457, 764.313329
double, 15000, 8.754058, 771.070934
double, 15000, 6.551901, 1030.235390
double, 15000, 7.978121, 846.063848
double, 15000, 7.859125, 858.874195
double, 16000, 7.803687, 1049.760231
double, 16000, 7.268688, 1127.026025
double, 16000, 7.642491, 1071.901841
double, 16000, 7.108606, 1152.406039
double, 16000, 7.578316, 1080.978988
double, 16000, 7.182488, 1140.551815
double, 16000, 7.146773, 1146.251660
double, 16000, 7.798245, 1050.492713
double, 17000, 8.486608, 1157.824214
double, 17000, 8.751173, 1122.820921
double, 17000, 9.230997, 1064.457035
double, 17000, 8.517690, 1153.599102
double, 17000, 8.751421, 1122.789081
double, 17000, 7.894038, 1244.736865
double, 17000, 8.246366, 1191.555121
double, 17000, 8.733239, 1125.126635
double, 18000, 12.451242, 936.774022
double, 18000, 12.545055, 929.768762
double, 18000, 12.889469, 904.924764
double, 18000, 12.883809, 905.322314
double, 18000, 13.856597, 841.765105
double, 18000, 12.807201, 910.737635
double, 18000, 12.796538, 911.496505
double, 18000, 12.266290, 950.898788
double, 19000, 15.774968, 869.605585
double, 19000, 16.025699, 856.000083
double, 19000, 15.843643, 865.836234
double, 19000, 16.105609, 851.752957
double, 19000, 16.160888, 848.839496
double, 19000, 16.052107, 854.591884
double, 19000, 16.215226, 845.995002
double, 19000, 16.154185, 849.191710
double, 20000, 18.903812, 846.390128
double, 20000, 19.015643, 841.412493
double, 20000, 18.040136, 886.911255
double, 20000, 18.871310, 847.847889
double, 20000, 18.672072, 856.894713
double, 20000, 18.787524, 851.628983
double, 20000, 13.771112, 1161.852404
double, 20000, 19.092940, 838.006080
