type, size, time, gflop
double, 2000, 1.415138, 11.306321
double, 3000, 2.461745, 21.935657
double, 4000, 4.245442, 30.149979
double, 5000, 7.074093, 35.340221
double, 6000, 11.122412, 38.840495
double, 7000, 16.913695, 40.558849
double, 8000, 24.196722, 42.319783
double, 9000, 33.808750, 43.124931
double, 10000, 45.881131, 43.590904
double, 11000, 60.523259, 43.983091
double, 12000, 77.626947, 44.520623
double, 13000, 98.210466, 44.740649
double, 14000, 122.564823, 44.776306
double, 15000, 149.061503, 45.283322
double, 16000, 180.599392, 45.360064
double, 17000, 215.858201, 45.520624
double, 18000, 254.397199, 45.849561
double, 19000, 299.355286, 45.825147
double, 20000, 349.511836, 45.778135
