type, size, time, gflop
double, 2000, 1.604813, 9.970009
double, 3000, 3.143850, 17.176390
double, 4000, 5.556105, 23.037722
double, 5000, 9.497505, 26.322703
double, 6000, 14.646746, 29.494605
double, 7000, 20.489144, 33.481144
double, 8000, 29.970705, 34.166697
double, 9000, 42.295095, 34.472082
double, 10000, 53.134994, 37.639978
double, 11000, 69.628684, 38.231371
double, 12000, 89.432525, 38.643659
double, 13000, 107.772943, 40.770901
double, 14000, 134.813201, 40.708179
double, 15000, 164.595438, 41.009642
double, 16000, 187.692111, 43.645947
double, 17000, 226.674376, 43.348526
double, 18000, 270.620176, 43.100999
double, 19000, 307.605678, 44.596056
double, 20000, 359.875309, 44.459844
