type, size, time, gflop
double, 2000, 0.055770, 286.893083
double, 2000, 0.058292, 274.477934
double, 2000, 0.057126, 280.084419
double, 2000, 0.057076, 280.330145
double, 2000, 0.061162, 261.599207
double, 2000, 0.060643, 263.837450
double, 2000, 0.059154, 270.480889
double, 2000, 0.057230, 279.572629
double, 3000, 0.127087, 424.904155
double, 3000, 0.125614, 429.886992
double, 3000, 0.128328, 420.795977
double, 3000, 0.121602, 444.073247
double, 3000, 0.114749, 470.591668
double, 3000, 0.125859, 429.051878
double, 3000, 0.124943, 432.196822
double, 3000, 0.132855, 406.458144
double, 4000, 0.227086, 563.664329
double, 4000, 0.211141, 606.230055
double, 4000, 0.235055, 544.553877
double, 4000, 0.218176, 586.681779
double, 4000, 0.203553, 628.827715
double, 4000, 0.212256, 603.045231
double, 4000, 0.208968, 612.535181
double, 4000, 0.227232, 563.299935
double, 5000, 0.422624, 591.542470
double, 5000, 0.388897, 642.844135
double, 5000, 0.377196, 662.784768
double, 5000, 0.381296, 655.658173
double, 5000, 0.379273, 659.156303
double, 5000, 0.374870, 666.897899
double, 5000, 0.383070, 652.622737
double, 5000, 0.386310, 647.147840
double, 6000, 0.669532, 645.226575
double, 6000, 0.665757, 648.885120
double, 6000, 0.652696, 661.870031
double, 6000, 0.662757, 651.822294
double, 6000, 0.698804, 618.198761
double, 6000, 0.661863, 652.703135
double, 6000, 0.665883, 648.762977
double, 6000, 0.648456, 666.197943
double, 7000, 1.141481, 600.973714
double, 7000, 1.143450, 599.938949
double, 7000, 1.158444, 592.173570
double, 7000, 1.107088, 619.643690
double, 7000, 1.125235, 609.650420
double, 7000, 1.104539, 621.073322
double, 7000, 1.113540, 616.053258
double, 7000, 1.108640, 618.776177
double, 8000, 1.777212, 576.183489
double, 8000, 1.719267, 595.602694
double, 8000, 1.690868, 605.606159
double, 8000, 1.729473, 592.087807
double, 8000, 1.699992, 602.355756
double, 8000, 1.706383, 600.099828
double, 8000, 1.688418, 606.484952
double, 8000, 1.700552, 602.157572
double, 9000, 2.465900, 591.264779
double, 9000, 2.461540, 592.312236
double, 9000, 2.456758, 593.464971
double, 9000, 2.429054, 600.233783
double, 9000, 2.499063, 583.418659
double, 9000, 2.496553, 584.005221
double, 9000, 2.480608, 587.759244
double, 9000, 2.510402, 580.783479
double, 10000, 3.328716, 600.832309
double, 10000, 3.342865, 598.289152
double, 10000, 3.310593, 604.121388
double, 10000, 3.331873, 600.263047
double, 10000, 3.323284, 601.814282
double, 10000, 3.372033, 593.114078
double, 10000, 3.372771, 592.984157
double, 10000, 3.329566, 600.678820
double, 11000, 3.116453, 854.176287
double, 11000, 4.299910, 619.082758
double, 11000, 3.090832, 861.256866
double, 11000, 4.325308, 615.447485
double, 11000, 3.093280, 860.575221
double, 11000, 3.146460, 846.030222
double, 11000, 4.305813, 618.234032
double, 11000, 3.099673, 858.800233
double, 12000, 4.985097, 693.266365
double, 12000, 3.402774, 1015.641846
double, 12000, 4.985732, 693.178089
double, 12000, 3.372374, 1024.797307
double, 12000, 4.980112, 693.960272
double, 12000, 3.414061, 1012.284280
double, 12000, 4.970751, 695.267157
double, 12000, 3.446680, 1002.703941
double, 13000, 4.815785, 912.416155
double, 13000, 4.237562, 1036.917076
double, 13000, 4.170411, 1053.613256
double, 13000, 6.072812, 723.552764
double, 13000, 4.191520, 1048.306974
double, 13000, 4.273062, 1028.302513
double, 13000, 4.136030, 1062.371346
double, 13000, 4.208295, 1044.128290
double, 14000, 9.131638, 600.987497
double, 14000, 9.107467, 602.582493
double, 14000, 8.957820, 612.649093
double, 14000, 9.052778, 606.222721
double, 14000, 9.042179, 606.933382
double, 14000, 9.007192, 609.290864
double, 14000, 8.987893, 610.599196
double, 14000, 9.027698, 607.906913
double, 15000, 11.398400, 592.188395
double, 15000, 11.439359, 590.068015
double, 15000, 11.339531, 595.262697
double, 15000, 11.466830, 588.654414
double, 15000, 11.436831, 590.198436
double, 15000, 11.419664, 591.085717
double, 15000, 11.468448, 588.571368
double, 15000, 11.467545, 588.617700
double, 16000, 8.777103, 933.337612
double, 16000, 8.777796, 933.263900
double, 16000, 8.787461, 932.237448
double, 16000, 8.762015, 934.944793
double, 16000, 8.694317, 942.224722
double, 16000, 8.767174, 934.394558
double, 16000, 8.801695, 930.729794
double, 16000, 8.845309, 926.140639
double, 17000, 9.621943, 1021.207486
double, 17000, 9.562516, 1027.553801
double, 17000, 9.529903, 1031.070318
double, 17000, 10.229058, 960.596788
double, 17000, 10.287542, 955.135797
double, 17000, 10.387342, 945.959048
double, 17000, 9.677584, 1015.336007
double, 17000, 10.203065, 963.043905
double, 18000, 16.634107, 701.209869
double, 18000, 18.745793, 622.219626
double, 18000, 16.485413, 707.534605
double, 18000, 18.969553, 614.880054
double, 18000, 16.545732, 704.955211
double, 18000, 16.668190, 699.776025
double, 18000, 16.214306, 719.364746
double, 18000, 16.633182, 701.248868
double, 19000, 22.197619, 617.994221
double, 19000, 22.126262, 619.987232
double, 19000, 22.126685, 619.975396
double, 19000, 22.123394, 620.067601
double, 19000, 22.158785, 619.077256
double, 19000, 22.244931, 616.679811
double, 19000, 22.196820, 618.016462
double, 19000, 23.757724, 577.412212
double, 20000, 26.792114, 597.190651
double, 20000, 26.342365, 607.386618
double, 20000, 26.971460, 593.219640
double, 20000, 26.541402, 602.831762
double, 20000, 22.779061, 702.399458
double, 20000, 26.689101, 599.495641
double, 20000, 26.599205, 601.521732
double, 20000, 26.494318, 603.903064
