type, size, time, gflop
double, 2000, 0.061000, 262.295796
double, 2000, 0.063470, 252.086917
double, 2000, 0.066137, 241.920524
double, 2000, 0.066333, 241.207006
double, 2000, 0.066296, 241.342643
double, 2000, 0.066568, 240.354513
double, 2000, 0.065725, 243.439077
double, 2000, 0.067318, 237.676387
double, 3000, 0.152478, 354.150178
double, 3000, 0.157922, 341.941324
double, 3000, 0.162993, 331.303071
double, 3000, 0.170745, 316.260271
double, 3000, 0.165183, 326.910079
double, 3000, 0.178842, 301.941788
double, 3000, 0.167435, 322.514013
double, 3000, 0.168416, 320.633779
double, 4000, 0.323622, 395.523151
double, 4000, 0.325211, 393.590962
double, 4000, 0.323262, 395.963361
double, 4000, 0.325050, 393.784991
double, 4000, 0.323721, 395.402332
double, 4000, 0.328000, 390.243654
double, 4000, 0.318685, 401.650925
double, 4000, 0.323830, 395.268949
double, 5000, 0.634898, 393.763914
double, 5000, 0.591307, 422.792105
double, 5000, 0.613372, 407.583068
double, 5000, 0.591919, 422.355403
double, 5000, 0.607500, 411.522578
double, 5000, 0.630286, 396.645458
double, 5000, 0.596375, 419.199237
double, 5000, 0.593028, 421.565607
double, 6000, 0.981498, 440.143329
double, 6000, 1.011965, 426.892118
double, 6000, 1.139484, 379.118971
double, 6000, 1.013041, 426.438666
double, 6000, 0.997450, 433.104379
double, 6000, 1.019137, 423.887912
double, 6000, 0.993954, 434.627707
double, 6000, 1.011850, 426.940880
double, 7000, 1.364950, 502.582338
double, 7000, 1.366369, 502.060711
double, 7000, 1.400620, 489.783083
double, 7000, 1.360338, 504.286530
double, 7000, 1.425958, 481.080238
double, 7000, 1.378520, 497.635107
double, 7000, 1.398329, 490.585532
double, 7000, 1.383059, 496.002075
double, 8000, 1.810237, 565.671904
double, 8000, 1.802703, 568.035740
double, 8000, 1.835621, 557.849261
double, 8000, 1.805374, 567.195468
double, 8000, 1.823981, 561.409317
double, 8000, 1.789981, 572.072973
double, 8000, 1.836504, 557.581197
double, 8000, 1.805774, 567.069707
double, 9000, 1.941385, 751.010238
double, 9000, 1.916908, 760.599912
double, 9000, 2.287622, 637.342948
double, 9000, 2.379179, 612.816520
double, 9000, 2.432778, 599.314891
double, 9000, 2.352963, 619.644154
double, 9000, 2.417063, 603.211433
double, 9000, 2.437749, 598.092788
double, 10000, 2.909664, 687.364662
double, 10000, 2.858976, 699.551290
double, 10000, 2.739359, 730.097845
double, 10000, 2.773028, 721.233151
double, 10000, 2.761491, 724.246375
double, 10000, 2.744617, 728.699155
double, 10000, 2.736468, 730.869173
double, 10000, 2.745085, 728.574781
double, 11000, 3.296013, 807.642499
double, 11000, 3.306587, 805.059670
double, 11000, 3.346362, 795.490798
double, 11000, 3.372932, 789.224374
double, 11000, 3.385721, 786.243179
double, 11000, 3.354660, 793.523023
double, 11000, 3.372178, 789.400726
double, 11000, 3.425785, 777.048143
double, 12000, 3.998236, 864.381221
double, 12000, 3.932946, 878.730529
double, 12000, 3.827546, 902.928346
double, 12000, 3.907513, 884.450025
double, 12000, 3.844739, 898.890722
double, 12000, 3.960232, 872.676242
double, 12000, 3.826818, 903.100136
double, 12000, 3.976785, 869.043621
double, 13000, 4.662664, 942.379729
double, 13000, 4.695180, 935.853272
double, 13000, 4.620600, 950.958687
double, 13000, 4.651397, 944.662494
double, 13000, 4.741158, 926.777827
double, 13000, 4.672540, 940.387910
double, 13000, 4.636430, 947.711965
double, 13000, 4.703761, 934.146163
double, 14000, 7.702724, 712.475264
double, 14000, 7.652657, 717.136563
double, 14000, 7.693962, 713.286581
double, 14000, 7.649419, 717.440136
double, 14000, 7.618365, 720.364513
double, 14000, 7.621501, 720.068134
double, 14000, 7.792760, 704.243414
double, 14000, 7.676353, 714.922859
double, 15000, 8.915237, 757.130740
double, 15000, 9.123412, 739.854777
double, 15000, 9.018681, 748.446434
double, 15000, 6.312000, 1069.391562
double, 15000, 9.020416, 748.302535
double, 15000, 5.923854, 1139.460975
double, 15000, 9.027099, 747.748549
double, 15000, 9.106431, 741.234417
double, 16000, 6.813660, 1202.290755
double, 16000, 6.768703, 1210.276246
double, 16000, 6.720062, 1219.036290
double, 16000, 7.293953, 1123.122171
double, 16000, 7.480387, 1095.130437
double, 16000, 7.308860, 1120.831380
double, 16000, 7.304799, 1121.454508
double, 16000, 6.447169, 1270.635189
double, 17000, 7.761324, 1266.021040
double, 17000, 8.165061, 1203.420290
double, 17000, 7.810498, 1258.050377
double, 17000, 8.114725, 1210.885219
double, 17000, 7.588247, 1294.897149
double, 17000, 7.900330, 1243.745542
double, 17000, 7.823153, 1256.015355
double, 17000, 7.804923, 1258.948929
double, 18000, 15.099563, 772.472710
double, 18000, 13.190426, 884.277750
double, 18000, 13.205232, 883.286228
double, 18000, 13.090692, 891.014800
double, 18000, 13.112390, 889.540352
double, 18000, 13.025188, 895.495714
double, 18000, 13.051393, 893.697681
double, 18000, 13.148419, 887.102861
double, 19000, 17.684600, 775.703140
double, 19000, 17.773593, 771.819188
double, 19000, 17.448880, 786.182266
double, 19000, 17.148276, 799.963808
double, 19000, 18.111742, 757.409184
double, 19000, 17.433954, 786.855336
double, 19000, 17.825833, 769.557316
double, 19000, 17.512526, 783.325022
double, 20000, 16.900034, 946.743666
double, 20000, 19.784590, 808.710213
double, 20000, 16.619100, 962.747665
double, 20000, 19.636164, 814.823107
double, 20000, 19.505284, 820.290525
double, 20000, 19.352394, 826.771083
double, 20000, 16.298486, 981.686296
double, 20000, 19.767933, 809.391650
