type, size, time, gflop
float, 2000, 0.025991, 615.595552
float, 2000, 0.025528, 626.765005
float, 2000, 0.025567, 625.811502
float, 2000, 0.025294, 632.566584
float, 2000, 0.025038, 639.023598
float, 2000, 0.024966, 640.875847
float, 2000, 0.024668, 648.625815
float, 2000, 0.024864, 643.497952
float, 3000, 0.046650, 1157.567660
float, 3000, 0.046667, 1157.135261
float, 3000, 0.046595, 1158.934645
float, 3000, 0.044740, 1206.967070
float, 3000, 0.045335, 1191.135044
float, 3000, 0.044421, 1215.635996
float, 3000, 0.045474, 1187.493268
float, 3000, 0.047121, 1145.995935
float, 4000, 0.075917, 1686.042767
float, 4000, 0.070657, 1811.559180
float, 4000, 0.070935, 1804.460333
float, 4000, 0.077284, 1656.236967
float, 4000, 0.073094, 1751.175860
float, 4000, 0.074695, 1713.624577
float, 4000, 0.072592, 1763.291360
float, 4000, 0.080107, 1597.862838
float, 5000, 0.139412, 1793.244079
float, 5000, 0.125100, 1998.395848
float, 5000, 0.125242, 1996.141474
float, 5000, 0.128844, 1940.328322
float, 5000, 0.129312, 1933.305178
float, 5000, 0.129257, 1934.134504
float, 5000, 0.127607, 1959.146621
float, 5000, 0.122330, 2043.649993
float, 6000, 0.264273, 1634.673533
float, 6000, 0.235241, 1836.412666
float, 6000, 0.260904, 1655.780415
float, 6000, 0.235357, 1835.507900
float, 6000, 0.249319, 1732.722181
float, 6000, 0.265856, 1624.941076
float, 6000, 0.251427, 1718.189618
float, 6000, 0.254783, 1695.557727
float, 7000, 0.487375, 1407.539670
float, 7000, 0.491668, 1395.250797
float, 7000, 0.468980, 1462.747532
float, 7000, 0.484257, 1416.604484
float, 7000, 0.472049, 1453.238435
float, 7000, 0.500263, 1371.279913
float, 7000, 0.500603, 1370.348678
float, 7000, 0.470887, 1456.825544
float, 8000, 0.742719, 1378.717519
float, 8000, 0.761490, 1344.732900
float, 8000, 0.767225, 1334.681029
float, 8000, 0.778253, 1315.766847
float, 8000, 0.786045, 1302.724601
float, 8000, 0.799301, 1281.119973
float, 8000, 0.785065, 1304.350735
float, 8000, 0.826242, 1239.346616
float, 9000, 1.177791, 1237.910887
float, 9000, 1.140484, 1278.404362
float, 9000, 1.151399, 1266.285921
float, 9000, 1.126972, 1293.732222
float, 9000, 1.134430, 1285.226963
float, 9000, 1.144457, 1273.966464
float, 9000, 1.131326, 1288.752946
float, 9000, 1.136867, 1282.471383
float, 10000, 1.551390, 1289.166633
float, 10000, 1.560136, 1281.939932
float, 10000, 1.563513, 1279.170434
float, 10000, 1.558302, 1283.448236
float, 10000, 1.561116, 1281.134386
float, 10000, 1.555956, 1285.383615
float, 10000, 1.559296, 1282.629932
float, 10000, 1.552320, 1288.394550
float, 11000, 2.053226, 1296.496388
float, 11000, 2.056388, 1294.502510
float, 11000, 2.073191, 1284.010759
float, 11000, 2.057957, 1293.515927
float, 11000, 2.063429, 1290.085319
float, 11000, 2.058971, 1292.878609
float, 11000, 2.051429, 1297.632351
float, 11000, 2.056093, 1294.688729
float, 12000, 2.536224, 1362.655864
float, 12000, 2.522345, 1370.153364
float, 12000, 2.544069, 1358.453774
float, 12000, 2.529221, 1366.428611
float, 12000, 2.523960, 1369.276720
float, 12000, 2.528484, 1366.827061
float, 12000, 2.540461, 1360.383232
float, 12000, 2.541870, 1359.629182
float, 13000, 3.145276, 1397.015579
float, 13000, 3.123795, 1406.622413
float, 13000, 2.695911, 1629.875599
float, 13000, 2.691389, 1632.614253
float, 13000, 3.156368, 1392.106225
float, 13000, 2.688105, 1634.608731
float, 13000, 3.116872, 1409.746714
float, 13000, 2.689475, 1633.776086
float, 14000, 3.176583, 1727.642348
float, 14000, 3.155885, 1738.973509
float, 14000, 3.112194, 1763.386013
float, 14000, 3.123593, 1756.950910
float, 14000, 3.118058, 1760.070032
float, 14000, 3.138727, 1748.479431
float, 14000, 3.116833, 1760.761700
float, 14000, 3.098154, 1771.377480
float, 15000, 4.647417, 1452.419808
float, 15000, 4.642422, 1453.982326
float, 15000, 3.700045, 1824.302047
float, 15000, 4.620705, 1460.816197
float, 15000, 4.665876, 1446.673605
float, 15000, 4.675135, 1443.808659
float, 15000, 4.628183, 1458.455834
float, 15000, 4.667462, 1446.182169
float, 16000, 5.354067, 1530.051946
float, 16000, 5.396543, 1518.008717
float, 16000, 5.426547, 1509.615704
float, 16000, 5.391691, 1519.374979
float, 16000, 5.401215, 1516.695825
float, 16000, 5.399027, 1517.310402
float, 16000, 5.424503, 1510.184401
float, 16000, 5.394627, 1518.548120
float, 17000, 7.382665, 1330.955707
float, 17000, 7.472599, 1314.937484
float, 17000, 7.406009, 1326.760449
float, 17000, 7.434367, 1321.699531
float, 17000, 7.472444, 1314.964763
float, 17000, 7.456780, 1317.726942
float, 17000, 7.481865, 1313.308957
float, 17000, 7.399274, 1327.968169
float, 18000, 6.478004, 1800.554491
float, 18000, 6.536595, 1784.415388
float, 18000, 6.673107, 1747.911317
float, 18000, 6.604122, 1766.169647
float, 18000, 6.558240, 1778.525955
float, 18000, 6.564435, 1776.847483
float, 18000, 6.604859, 1765.972603
float, 18000, 6.526231, 1787.249074
float, 19000, 8.230744, 1666.677933
float, 19000, 7.453388, 1840.505349
float, 19000, 8.350872, 1642.702676
float, 19000, 8.875174, 1545.659752
float, 19000, 8.909949, 1539.627239
float, 19000, 9.070879, 1512.312175
float, 19000, 7.956925, 1724.032895
float, 19000, 8.953250, 1532.180974
float, 20000, 11.467918, 1395.196602
float, 20000, 8.955074, 1786.696522
float, 20000, 9.002575, 1777.269288
float, 20000, 8.920038, 1793.714248
float, 20000, 8.987739, 1780.203102
float, 20000, 8.975532, 1782.624183
float, 20000, 9.052487, 1767.470181
float, 20000, 9.027926, 1772.278604
