type, size, time, gflop
float, 2000, 0.022145, 722.526353
float, 2000, 0.021494, 744.400053
float, 2000, 0.021625, 739.882511
float, 2000, 0.021943, 729.167502
float, 2000, 0.021901, 730.567487
float, 2000, 0.021259, 752.630632
float, 2000, 0.021554, 742.324297
float, 2000, 0.021332, 750.049831
float, 3000, 0.044582, 1211.264654
float, 3000, 0.044917, 1202.226443
float, 3000, 0.044713, 1207.713262
float, 3000, 0.044215, 1221.300181
float, 3000, 0.046013, 1173.580027
float, 3000, 0.044981, 1200.515875
float, 3000, 0.043975, 1227.957704
float, 3000, 0.044685, 1208.462541
float, 4000, 0.077459, 1652.482130
float, 4000, 0.084895, 1507.740475
float, 4000, 0.077406, 1653.616169
float, 4000, 0.085421, 1498.463811
float, 4000, 0.087873, 1456.646734
float, 4000, 0.076027, 1683.603189
float, 4000, 0.076933, 1663.781587
float, 4000, 0.075995, 1684.311474
float, 5000, 0.134280, 1861.775141
float, 5000, 0.131879, 1895.671434
float, 5000, 0.132915, 1880.900182
float, 5000, 0.135296, 1847.799122
float, 5000, 0.138919, 1799.612021
float, 5000, 0.129084, 1936.723419
float, 5000, 0.129802, 1926.003441
float, 5000, 0.127810, 1956.022419
float, 6000, 0.233184, 1852.617415
float, 6000, 0.240133, 1799.003562
float, 6000, 0.238736, 1809.527555
float, 6000, 0.237506, 1818.902145
float, 6000, 0.234835, 1839.585919
float, 6000, 0.235526, 1834.195028
float, 6000, 0.233976, 1846.342662
float, 6000, 0.227761, 1896.723485
float, 7000, 0.409872, 1673.694267
float, 7000, 0.440643, 1556.814952
float, 7000, 0.412159, 1664.404217
float, 7000, 0.412648, 1662.435139
float, 7000, 0.437439, 1568.219565
float, 7000, 0.423243, 1620.818186
float, 7000, 0.424232, 1617.040053
float, 7000, 0.425254, 1613.154552
float, 8000, 0.622829, 1644.110440
float, 8000, 0.638323, 1604.203899
float, 8000, 0.615095, 1664.782458
float, 8000, 0.623328, 1642.794712
float, 8000, 0.633007, 1617.675537
float, 8000, 0.647223, 1582.144967
float, 8000, 0.636248, 1609.435676
float, 8000, 0.645345, 1586.749275
float, 9000, 0.851530, 1712.211360
float, 9000, 0.878952, 1658.794334
float, 9000, 0.845164, 1725.108077
float, 9000, 0.839402, 1736.950517
float, 9000, 0.893624, 1631.558245
float, 9000, 0.858417, 1698.476024
float, 9000, 0.886041, 1645.521895
float, 9000, 0.846613, 1722.156830
float, 10000, 1.157842, 1727.351193
float, 10000, 1.197439, 1670.230602
float, 10000, 1.185933, 1686.435262
float, 10000, 1.126289, 1775.742606
float, 10000, 1.199895, 1666.812052
float, 10000, 1.174020, 1703.548420
float, 10000, 1.198411, 1668.876341
float, 10000, 1.153568, 1733.751860
float, 11000, 1.451892, 1833.470203
float, 11000, 1.463198, 1819.302927
float, 11000, 1.493070, 1782.903434
float, 11000, 1.454671, 1829.967457
float, 11000, 1.474166, 1805.767372
float, 11000, 1.551570, 1715.681531
float, 11000, 1.523516, 1747.274243
float, 11000, 1.523066, 1747.790000
