type, size, time, gflop
float, 2000, 1.155239, 13.849952
float, 3000, 2.034017, 26.548451
float, 4000, 3.035763, 42.164030
float, 5000, 5.050262, 49.502379
float, 6000, 8.069961, 53.531855
float, 7000, 12.714630, 53.953595
float, 8000, 17.976494, 56.963278
float, 9000, 24.886211, 58.586661
float, 10000, 33.503254, 59.695694
float, 11000, 44.406420, 59.946287
float, 12000, 57.546501, 60.055780
float, 13000, 72.319921, 60.757810
float, 14000, 88.726378, 61.853083
float, 15000, 110.003638, 61.361607
float, 16000, 134.439226, 60.934597
float, 17000, 157.834124, 62.255232
float, 18000, 188.635084, 61.833672
float, 19000, 221.143046, 62.032247
float, 20000, 258.823698, 61.818142
