type, size, time, gflop
float, 2000, 1.447758, 11.051572
float, 3000, 2.133133, 25.314875
float, 4000, 3.516984, 36.394817
float, 5000, 5.481482, 45.608105
float, 6000, 7.731882, 55.872553
float, 7000, 11.100875, 61.796933
float, 8000, 14.617293, 70.054009
float, 9000, 20.242317, 72.027329
float, 10000, 26.113072, 76.589993
float, 11000, 32.764803, 81.245719
float, 12000, 42.504364, 81.309298
float, 13000, 53.042263, 82.839603
float, 14000, 65.040314, 84.378437
float, 15000, 80.739313, 83.602396
float, 16000, 94.574742, 86.619322
float, 17000, 111.416584, 88.191539
float, 18000, 132.922534, 87.750358
float, 19000, 153.598822, 89.310581
float, 20000, 175.491903, 91.172298
