type, size, time, gflop
float, 2000, 0.027421, 583.495743
float, 2000, 0.028915, 553.340771
float, 2000, 0.029887, 535.349101
float, 2000, 0.029493, 542.504940
float, 2000, 0.029713, 538.491508
float, 2000, 0.028572, 559.989604
float, 2000, 0.030171, 530.317735
float, 2000, 0.028919, 553.260447
float, 3000, 0.052442, 1029.701806
float, 3000, 0.049488, 1091.175205
float, 3000, 0.051526, 1048.013862
float, 3000, 0.051377, 1051.052010
float, 3000, 0.049170, 1098.220332
float, 3000, 0.051038, 1058.035418
float, 3000, 0.049165, 1098.334029
float, 3000, 0.052080, 1036.860446
float, 4000, 0.076789, 1666.910214
float, 4000, 0.077047, 1661.331974
float, 4000, 0.077718, 1646.983202
float, 4000, 0.077312, 1655.625477
float, 4000, 0.077391, 1653.938875
float, 4000, 0.077309, 1655.683171
float, 4000, 0.077629, 1648.869249
float, 4000, 0.075427, 1696.997852
float, 5000, 0.125446, 1992.886765
float, 5000, 0.114345, 2186.373452
float, 5000, 0.121221, 2062.353884
float, 5000, 0.118945, 2101.804994
float, 5000, 0.118935, 2101.985035
float, 5000, 0.119880, 2085.424893
float, 5000, 0.125583, 1990.722881
float, 5000, 0.118122, 2116.455008
float, 6000, 0.167310, 2582.025944
float, 6000, 0.184703, 2338.894029
float, 6000, 0.179445, 2407.424189
float, 6000, 0.179868, 2401.762373
float, 6000, 0.180777, 2389.678487
float, 6000, 0.163871, 2636.222367
float, 6000, 0.170057, 2540.319920
float, 6000, 0.185663, 2326.800761
float, 7000, 0.271928, 2522.723357
float, 7000, 0.270874, 2532.542993
float, 7000, 0.263735, 2601.091152
float, 7000, 0.278988, 2458.886310
float, 7000, 0.246620, 2781.606293
float, 7000, 0.264760, 2591.023417
float, 7000, 0.252116, 2720.966723
float, 7000, 0.243437, 2817.976539
float, 8000, 0.510216, 2006.993899
float, 8000, 0.505550, 2025.515005
float, 8000, 0.511560, 2001.721770
float, 8000, 0.485987, 2107.050287
float, 8000, 0.450069, 2275.204638
float, 8000, 0.490578, 2087.333440
float, 8000, 0.465382, 2200.343767
float, 8000, 0.473000, 2164.903444
float, 9000, 0.887823, 1642.218449
float, 9000, 0.871774, 1672.452668
float, 9000, 0.852481, 1710.301460
