type, size, time, gflop
float, 2000, 0.034006, 470.510158
float, 2000, 0.033817, 473.131344
float, 2000, 0.034919, 458.201591
float, 2000, 0.034230, 467.431533
float, 2000, 0.034215, 467.635188
float, 2000, 0.034516, 463.554330
float, 2000, 0.034061, 469.744546
float, 2000, 0.035526, 450.371230
float, 3000, 0.086879, 621.551726
float, 3000, 0.088738, 608.535762
float, 3000, 0.088726, 608.616845
float, 3000, 0.089944, 600.372418
float, 3000, 0.091699, 588.885390
float, 3000, 0.091987, 587.041592
float, 3000, 0.090621, 595.888429
float, 3000, 0.089781, 601.465826
float, 4000, 0.157641, 811.972720
float, 4000, 0.165293, 774.383463
float, 4000, 0.167426, 764.515514
float, 4000, 0.167924, 762.247851
float, 4000, 0.165953, 771.301087
float, 4000, 0.166556, 768.509123
float, 4000, 0.165930, 771.408110
float, 4000, 0.165822, 771.912604
float, 5000, 0.278838, 896.577781
float, 5000, 0.285206, 876.558216
float, 5000, 0.280216, 892.167692
float, 5000, 0.283199, 882.773034
float, 5000, 0.284762, 877.925696
float, 5000, 0.284096, 879.983178
float, 5000, 0.281458, 888.230559
float, 5000, 0.285781, 874.797253
float, 6000, 0.448092, 964.088132
float, 6000, 0.444733, 971.369662
float, 6000, 0.449464, 961.144013
float, 6000, 0.455850, 947.681050
float, 6000, 0.455169, 949.098843
float, 6000, 0.451277, 957.282787
float, 6000, 0.465195, 928.643350
float, 6000, 0.460467, 938.177067
float, 7000, 0.696159, 985.406642
float, 7000, 0.704508, 973.728731
float, 7000, 0.708134, 968.742598
float, 7000, 0.699478, 980.731404
float, 7000, 0.697252, 983.862509
float, 7000, 0.695160, 986.823399
float, 7000, 0.692264, 990.951548
float, 7000, 0.705020, 973.022028
float, 8000, 0.979881, 1045.024504
float, 8000, 0.989858, 1034.492153
float, 8000, 0.964442, 1061.753796
float, 8000, 0.973052, 1052.358447
float, 8000, 0.962397, 1064.010344
float, 8000, 0.969774, 1055.916436
float, 8000, 0.967998, 1057.853541
float, 8000, 0.970530, 1055.093378
float, 9000, 1.444710, 1009.199008
float, 9000, 1.358654, 1073.120853
float, 9000, 1.378946, 1057.329025
float, 9000, 1.439454, 1012.884371
float, 9000, 1.388923, 1049.734117
float, 9000, 1.357529, 1074.010448
float, 9000, 1.392081, 1047.352950
float, 9000, 1.391476, 1047.808507
float, 10000, 1.536259, 1301.864026
float, 10000, 1.520698, 1315.185873
float, 10000, 1.549873, 1290.427922
float, 10000, 1.658969, 1205.568234
float, 10000, 1.512078, 1322.683298
float, 10000, 1.633343, 1224.482717
float, 10000, 1.551292, 1289.248201
float, 10000, 1.563684, 1279.031192
float, 11000, 1.814770, 1466.852647
float, 11000, 2.061490, 1291.298844
float, 11000, 2.164342, 1229.935212
float, 11000, 2.321263, 1146.789343
float, 11000, 1.784628, 1491.627646
float, 11000, 2.007387, 1326.101997
float, 11000, 2.180290, 1220.938524
float, 11000, 2.051985, 1297.280495
float, 12000, 2.287163, 1511.042600
float, 12000, 2.237159, 1544.816759
float, 12000, 2.374108, 1455.704931
float, 12000, 2.302002, 1501.301775
float, 12000, 2.274788, 1519.262241
float, 12000, 2.319602, 1489.910860
float, 12000, 2.366616, 1460.312648
float, 12000, 2.529841, 1366.093532
float, 13000, 2.798904, 1569.899972
float, 13000, 2.653772, 1655.756456
float, 13000, 2.659317, 1652.303904
float, 13000, 2.714726, 1618.579569
float, 13000, 2.182581, 2013.212856
float, 13000, 2.756555, 1594.018779
float, 13000, 2.788423, 1575.801171
float, 13000, 2.742984, 1601.904913
float, 14000, 3.148340, 1743.141094
float, 14000, 3.009354, 1823.646977
float, 14000, 3.111566, 1763.742282
float, 14000, 3.177390, 1727.203572
float, 14000, 3.193221, 1718.640790
float, 14000, 3.205358, 1712.133359
float, 14000, 3.193680, 1718.393704
float, 14000, 3.340728, 1642.755727
float, 15000, 3.508517, 1923.889768
float, 15000, 3.598936, 1875.554243
float, 15000, 3.637031, 1855.909495
float, 15000, 3.431509, 1967.064444
float, 15000, 3.580902, 1885.000043
float, 15000, 3.506608, 1924.937163
float, 15000, 3.567805, 1891.919368
float, 15000, 3.513768, 1921.014539
float, 16000, 2.981160, 2747.923356
float, 16000, 3.901333, 2099.795239
float, 16000, 4.036967, 2029.246151
float, 16000, 3.882053, 2110.223816
float, 16000, 3.877338, 2112.789854
float, 16000, 5.234079, 1565.127461
float, 16000, 5.141425, 1593.332468
float, 16000, 5.217638, 1570.059035
float, 17000, 6.078734, 1616.455084
float, 17000, 6.145674, 1598.848296
float, 17000, 6.112046, 1607.645092
float, 17000, 6.136253, 1601.303016
float, 17000, 6.106678, 1609.058114
float, 17000, 6.119129, 1605.784166
float, 17000, 6.104614, 1609.602257
float, 17000, 6.119093, 1605.793462
float, 18000, 4.693745, 2485.009566
float, 18000, 4.637827, 2514.971004
float, 18000, 4.658469, 2503.826983
float, 18000, 4.742032, 2459.705121
float, 18000, 4.497081, 2593.682352
float, 18000, 4.704602, 2479.274724
float, 18000, 4.787391, 2436.399947
float, 18000, 4.581573, 2545.850632
float, 19000, 5.769833, 2377.538541
float, 19000, 5.782953, 2372.144613
float, 19000, 7.395788, 1854.839535
float, 19000, 5.689820, 2410.972727
float, 19000, 5.768578, 2378.055829
float, 19000, 7.971932, 1720.787470
float, 19000, 5.711220, 2401.938635
float, 19000, 5.942343, 2308.516963
float, 20000, 9.059574, 1766.087419
float, 20000, 8.951516, 1787.406794
float, 20000, 5.618971, 2847.496485
float, 20000, 6.013091, 2660.861068
float, 20000, 6.295826, 2541.366281
float, 20000, 8.983586, 1781.026028
float, 20000, 9.008734, 1776.054168
float, 20000, 6.013531, 2660.666402
