type, size, time, gflop
float, 2000, 0.042494, 376.526881
float, 2000, 0.040914, 391.061507
float, 2000, 0.040529, 394.780255
float, 2000, 0.039972, 400.282199
float, 2000, 0.040341, 396.621155
float, 2000, 0.040640, 393.705108
float, 2000, 0.043072, 371.466946
float, 2000, 0.042067, 380.343957
float, 3000, 0.063019, 856.883820
float, 3000, 0.062864, 858.990860
float, 3000, 0.064871, 832.420843
float, 3000, 0.065080, 829.749214
float, 3000, 0.063643, 848.480318
float, 3000, 0.064257, 840.377996
float, 3000, 0.063028, 856.764915
float, 3000, 0.065061, 829.990955
float, 4000, 0.093584, 1367.752424
float, 4000, 0.094019, 1361.426584
float, 4000, 0.094710, 1351.490281
float, 4000, 0.099517, 1286.218093
float, 4000, 0.095674, 1337.877756
float, 4000, 0.092531, 1383.326314
float, 4000, 0.093457, 1369.617512
float, 4000, 0.093971, 1362.118951
float, 5000, 0.145283, 1720.777028
float, 5000, 0.155173, 1611.107548
float, 5000, 0.159906, 1563.420307
float, 5000, 0.158399, 1578.293430
float, 5000, 0.153732, 1626.208856
float, 5000, 0.167065, 1496.427749
float, 5000, 0.158460, 1577.681437
float, 5000, 0.159812, 1564.339477
float, 6000, 0.261621, 1651.245272
float, 6000, 0.266542, 1620.758027
float, 6000, 0.268118, 1611.230960
float, 6000, 0.270073, 1599.567240
float, 6000, 0.269591, 1602.429093
float, 6000, 0.273581, 1579.058203
float, 6000, 0.270598, 1596.464045
float, 6000, 0.268787, 1607.218112
float, 7000, 0.455575, 1505.790329
float, 7000, 0.454272, 1510.106849
float, 7000, 0.464846, 1475.757106
float, 7000, 0.453917, 1511.290897
float, 7000, 0.446648, 1535.886141
float, 7000, 0.456401, 1503.065318
float, 7000, 0.454692, 1508.714032
float, 7000, 0.485835, 1412.001509
float, 8000, 0.701405, 1459.926370
float, 8000, 0.720555, 1421.127467
float, 8000, 0.711252, 1439.715307
float, 8000, 0.711303, 1439.611708
float, 8000, 0.708164, 1445.992228
float, 8000, 0.701571, 1459.581074
float, 8000, 0.709256, 1443.765636
float, 8000, 0.712443, 1437.307289
float, 9000, 1.097939, 1327.943162
float, 9000, 1.102426, 1322.537912
float, 9000, 1.098708, 1327.012791
float, 9000, 1.113331, 1309.583539
float, 9000, 1.104072, 1320.566475
float, 9000, 1.083768, 1345.306805
float, 9000, 1.088108, 1339.940329
float, 9000, 1.098950, 1326.721447
float, 10000, 1.553762, 1287.198833
float, 10000, 1.561181, 1281.081432
float, 10000, 1.584642, 1262.114462
float, 10000, 1.574400, 1270.325375
float, 10000, 1.563011, 1279.581334
float, 10000, 1.542455, 1296.634077
float, 10000, 1.556223, 1285.162586
float, 10000, 1.558331, 1283.424095
float, 11000, 1.989003, 1338.358879
float, 11000, 2.138666, 1244.701184
float, 11000, 2.142424, 1242.518027
float, 11000, 2.161346, 1231.639975
float, 11000, 1.933016, 1377.122876
float, 11000, 2.136035, 1246.234065
float, 11000, 1.922137, 1384.916808
float, 11000, 2.155974, 1234.708898
float, 12000, 2.680039, 1289.533695
float, 12000, 2.645883, 1306.180292
float, 12000, 2.199272, 1571.429271
float, 12000, 2.722289, 1269.520018
