type, size, time, gflop
float, 2000, 0.031450, 508.742178
float, 2000, 0.030362, 526.968902
float, 2000, 0.030944, 517.055111
float, 2000, 0.032438, 493.243215
float, 2000, 0.031690, 504.885541
float, 2000, 0.036876, 433.883385
float, 2000, 0.030081, 531.894399
float, 2000, 0.041215, 388.207225
float, 3000, 0.074062, 729.123513
float, 3000, 0.080307, 672.417798
float, 3000, 0.081405, 663.353698
float, 3000, 0.083188, 649.132726
float, 3000, 0.081025, 666.459645
float, 3000, 0.077184, 699.626657
float, 3000, 0.081435, 663.108875
float, 3000, 0.074430, 725.510211
float, 4000, 0.136893, 935.035276
float, 4000, 0.134258, 953.384993
float, 4000, 0.136467, 937.953359
float, 4000, 0.137716, 929.446129
float, 4000, 0.138369, 925.061264
float, 4000, 0.137727, 929.371498
float, 4000, 0.138494, 924.224568
float, 4000, 0.138726, 922.684789
float, 5000, 0.252948, 988.346181
float, 5000, 0.260414, 960.009985
float, 5000, 0.248254, 1007.033436
float, 5000, 0.246159, 1015.601966
float, 5000, 0.260536, 959.561337
float, 5000, 0.251678, 993.333425
float, 5000, 0.251978, 992.148356
float, 5000, 0.250187, 999.252327
float, 6000, 0.455436, 948.542252
float, 6000, 0.441021, 979.545709
float, 6000, 0.441779, 977.864139
float, 6000, 0.443016, 975.134818
float, 6000, 0.433478, 996.590316
float, 6000, 0.448011, 964.261881
float, 6000, 0.438101, 986.074843
float, 6000, 0.417992, 1033.512096
float, 7000, 0.728843, 941.217575
float, 7000, 0.694891, 987.205592
float, 7000, 0.694718, 987.451295
float, 7000, 0.680489, 1008.098786
float, 7000, 0.690773, 993.090686
float, 7000, 0.742202, 924.276697
float, 7000, 0.675602, 1015.390354
float, 7000, 0.696471, 984.966320
float, 8000, 1.098569, 932.121752
float, 8000, 0.994116, 1030.060992
float, 8000, 1.057722, 968.118145
float, 8000, 1.053603, 971.903347
float, 8000, 0.977475, 1047.596668
float, 8000, 1.071499, 955.670190
float, 8000, 0.996978, 1027.104282
float, 8000, 1.000616, 1023.369104
float, 9000, 1.358567, 1073.189757
float, 9000, 1.328841, 1097.196441
float, 9000, 1.393896, 1045.989304
float, 9000, 1.362265, 1070.276222
float, 9000, 1.360647, 1071.548985
float, 9000, 1.326279, 1099.315905
float, 9000, 1.294728, 1126.105036
float, 9000, 1.305236, 1117.039734
float, 10000, 1.628760, 1227.928099
float, 10000, 1.662026, 1203.350676
float, 10000, 1.632057, 1225.447120
float, 10000, 1.596133, 1253.028284
float, 10000, 1.636710, 1221.963640
float, 10000, 1.620538, 1234.157818
float, 10000, 1.617772, 1236.268487
float, 10000, 1.603214, 1247.493988
float, 11000, 1.951895, 1363.802894
float, 11000, 2.274846, 1170.189219
float, 11000, 2.414384, 1102.558782
float, 11000, 2.335125, 1139.981959
float, 11000, 2.202501, 1208.625860
float, 11000, 2.246456, 1184.977361
float, 11000, 2.189260, 1215.936248
float, 11000, 2.207827, 1205.710262
float, 12000, 2.644340, 1306.942350
float, 12000, 2.541350, 1359.907145
float, 12000, 2.576930, 1341.130780
float, 12000, 2.144998, 1611.190217
float, 12000, 2.559737, 1350.138554
float, 12000, 2.490963, 1387.415195
float, 12000, 2.516028, 1373.593697
float, 12000, 2.576437, 1341.387545
float, 13000, 2.941163, 1493.966739
float, 13000, 2.929446, 1499.942096
float, 13000, 2.928403, 1500.476666
float, 13000, 2.966673, 1481.120432
float, 13000, 3.003454, 1462.982418
