type, size, time, gflop
float, 2000, 0.040376, 396.279127
float, 2000, 0.040979, 390.444591
float, 2000, 0.057562, 277.960068
float, 2000, 0.041116, 389.144295
float, 2000, 0.041154, 388.780986
float, 2000, 0.040307, 396.956908
float, 2000, 0.039354, 406.566238
float, 2000, 0.046674, 342.806608
float, 3000, 0.066000, 818.184310
float, 3000, 0.067939, 794.830856
float, 3000, 0.062996, 857.190941
float, 3000, 0.064976, 831.075514
float, 3000, 0.065980, 818.426205
float, 3000, 0.066782, 808.605019
float, 3000, 0.065898, 819.452615
float, 3000, 0.084956, 635.625563
float, 4000, 0.099219, 1290.073604
float, 4000, 0.098463, 1299.980651
float, 4000, 0.098012, 1305.956979
float, 4000, 0.098809, 1295.432959
float, 4000, 0.102722, 1246.077581
float, 4000, 0.100311, 1276.037279
float, 4000, 0.101503, 1261.041018
float, 4000, 0.099143, 1291.062781
float, 5000, 0.168597, 1482.825919
float, 5000, 0.167046, 1496.595410
float, 5000, 0.171992, 1453.553706
float, 5000, 0.172194, 1451.846688
float, 5000, 0.171189, 1460.373447
float, 5000, 0.169354, 1476.193847
float, 5000, 0.166493, 1501.569104
float, 5000, 0.168975, 1479.511868
float, 6000, 0.335928, 1285.991390
float, 6000, 0.325063, 1328.971714
float, 6000, 0.331455, 1303.343024
float, 6000, 0.334465, 1291.616242
float, 6000, 0.337187, 1281.189308
float, 6000, 0.328980, 1313.150570
float, 6000, 0.331225, 1304.249649
float, 6000, 0.333006, 1297.273148
float, 7000, 0.647927, 1058.761086
float, 7000, 0.659020, 1040.940122
float, 7000, 0.639922, 1072.005704
float, 7000, 0.665427, 1030.917542
float, 7000, 0.645578, 1062.614324
float, 7000, 0.652183, 1051.851987
float, 7000, 0.652991, 1050.550541
float, 7000, 0.638612, 1074.205411
float, 8000, 0.999800, 1024.204687
float, 8000, 1.014685, 1009.180530
float, 8000, 1.018377, 1005.521771
float, 8000, 1.000606, 1023.380193
float, 8000, 1.012703, 1011.154960
float, 8000, 1.011127, 1012.731467
float, 8000, 1.007815, 1016.059276
float, 8000, 1.004747, 1019.162049
float, 9000, 1.391399, 1047.866275
float, 9000, 1.400575, 1041.000857
float, 9000, 1.405667, 1037.230142
float, 9000, 1.393089, 1046.594732
float, 9000, 1.395638, 1044.683219
float, 9000, 1.396886, 1043.750267
float, 9000, 1.382136, 1054.889187
float, 9000, 1.383170, 1054.100023
float, 10000, 1.766854, 1131.955409
float, 10000, 1.765269, 1132.971776
float, 10000, 1.749779, 1143.001235
float, 10000, 1.771805, 1128.792618
float, 10000, 1.740406, 1149.157050
float, 10000, 1.743963, 1146.813187
