type, size, time, gflop
float, 2000, 0.033623, 475.866335
float, 2000, 0.033288, 480.658497
float, 2000, 0.033709, 474.649011
float, 2000, 0.032913, 486.128564
float, 2000, 0.032709, 489.157503
float, 2000, 0.033699, 474.797173
float, 2000, 0.033655, 475.415125
float, 2000, 0.033053, 484.069177
float, 3000, 0.081446, 663.019438
float, 3000, 0.086833, 621.885613
float, 3000, 0.083271, 648.481189
float, 3000, 0.084317, 640.438633
float, 3000, 0.102774, 525.422709
float, 3000, 0.085146, 634.202171
float, 3000, 0.084201, 641.319473
float, 3000, 0.083610, 645.856199
float, 4000, 0.165956, 771.289789
float, 4000, 0.162506, 787.662289
float, 4000, 0.157240, 814.043171
float, 4000, 0.165690, 772.526090
float, 4000, 0.160222, 798.891119
float, 4000, 0.160569, 797.164367
float, 4000, 0.163815, 781.367677
float, 4000, 0.162827, 786.108693
float, 5000, 0.291212, 858.481932
float, 5000, 0.284241, 879.534640
float, 5000, 0.286533, 872.499130
float, 5000, 0.294439, 849.073042
float, 5000, 0.289985, 862.112208
float, 5000, 0.290717, 859.941435
float, 5000, 0.290889, 859.435560
float, 5000, 0.284343, 879.219407
float, 6000, 0.468448, 922.193434
float, 6000, 0.473031, 913.259529
float, 6000, 0.477724, 904.288254
float, 6000, 0.477399, 904.903794
float, 6000, 0.475420, 908.670181
float, 6000, 0.474603, 910.234330
float, 6000, 0.475432, 908.647429
float, 6000, 0.473160, 913.010616
float, 7000, 0.711177, 964.598030
float, 7000, 0.691527, 992.007533
float, 7000, 0.700274, 979.615968
float, 7000, 0.707120, 970.132036
float, 7000, 0.705578, 972.252769
float, 7000, 0.699910, 980.126547
float, 7000, 0.703804, 974.702506
float, 7000, 0.697415, 983.632721
float, 8000, 0.961924, 1064.532775
float, 8000, 0.958625, 1068.196489
float, 8000, 0.976045, 1049.131499
float, 8000, 0.955217, 1072.007426
float, 8000, 0.960081, 1066.576258
float, 8000, 0.969923, 1055.753521
float, 8000, 0.968668, 1057.122233
float, 8000, 0.966689, 1059.286026
float, 9000, 1.273159, 1145.182686
float, 9000, 1.299181, 1122.245151
float, 9000, 1.327285, 1098.482730
float, 9000, 1.279014, 1139.940919
float, 9000, 1.303649, 1118.398993
float, 9000, 1.286846, 1133.002774
float, 9000, 1.414183, 1030.983847
float, 9000, 1.285522, 1134.169634
float, 10000, 1.583198, 1263.265526
float, 10000, 1.566212, 1276.966140
float, 10000, 1.600426, 1249.667505
float, 10000, 1.578101, 1267.345923
float, 10000, 1.608927, 1243.064438
float, 10000, 1.563456, 1279.217730
float, 10000, 1.635771, 1222.665235
float, 10000, 1.551172, 1289.347909
float, 11000, 2.095593, 1270.285021
float, 11000, 1.972544, 1349.526569
float, 11000, 2.084976, 1276.753443
float, 11000, 1.986535, 1340.021900
float, 11000, 2.051545, 1297.558493
float, 11000, 1.963625, 1355.655745
float, 11000, 2.148305, 1239.116164
float, 11000, 1.979132, 1345.034411
float, 12000, 2.474320, 1396.747531
float, 12000, 2.307799, 1497.530859
float, 12000, 2.325182, 1486.335480
float, 12000, 2.438142, 1417.472799
float, 12000, 2.430284, 1422.055770
float, 12000, 2.405981, 1436.420473
float, 12000, 2.333385, 1481.110292
float, 12000, 2.295841, 1505.330779
float, 13000, 2.694459, 1630.754149
float, 13000, 2.326492, 1888.680738
float, 13000, 2.683579, 1637.365422
float, 13000, 2.694101, 1630.970597
float, 13000, 2.858337, 1537.257468
float, 13000, 2.318796, 1894.949332
float, 13000, 2.871509, 1530.205652
float, 13000, 2.369722, 1854.225664
float, 14000, 3.237936, 1694.906793
float, 14000, 3.344002, 1641.147449
float, 14000, 3.279615, 1673.366961
float, 14000, 3.208123, 1710.657337
float, 14000, 3.152997, 1740.566181
float, 14000, 3.276464, 1674.976322
float, 14000, 3.296966, 1664.560808
float, 14000, 3.216929, 1705.974704
float, 15000, 3.677141, 1835.665175
float, 15000, 3.567345, 1892.163357
float, 15000, 3.645722, 1851.485363
float, 15000, 3.615746, 1866.834419
float, 15000, 3.660515, 1844.002655
float, 15000, 3.806292, 1773.379585
float, 15000, 3.628868, 1860.084023
float, 15000, 3.766792, 1791.975939
float, 16000, 4.150986, 1973.507056
float, 16000, 3.869668, 2116.977697
float, 16000, 4.234158, 1934.741028
float, 16000, 4.134792, 1981.236078
float, 16000, 4.095925, 2000.036519
float, 16000, 4.283908, 1912.272604
float, 16000, 4.201820, 1949.631549
float, 16000, 4.158817, 1969.790970
float, 17000, 5.769551, 1703.078661
float, 17000, 5.696342, 1724.966534
float, 17000, 5.710148, 1720.796161
float, 17000, 5.676626, 1730.957887
float, 17000, 5.707853, 1721.487945
float, 17000, 5.775975, 1701.184745
float, 17000, 5.751356, 1708.466566
float, 17000, 5.735546, 1713.175934
float, 18000, 5.113522, 2281.010939
float, 18000, 5.238452, 2226.611952
float, 18000, 4.700201, 2481.595837
float, 18000, 5.039297, 2314.608563
float, 18000, 4.708292, 2477.331224
float, 18000, 5.220139, 2234.423246
float, 18000, 5.484684, 2126.649411
float, 18000, 5.047503, 2310.845762
float, 19000, 7.119106, 1926.927296
float, 19000, 6.971558, 1967.709253
float, 19000, 7.279702, 1884.417868
float, 19000, 6.967691, 1968.801316
float, 19000, 6.542146, 2096.865368
float, 19000, 7.291447, 1881.382311
float, 19000, 6.682648, 2052.779199
float, 19000, 6.345153, 2161.965266
float, 20000, 7.010611, 2282.254664
float, 20000, 6.747562, 2371.226720
float, 20000, 6.662741, 2401.413930
float, 20000, 7.268523, 2201.272462
float, 20000, 6.696439, 2389.329452
float, 20000, 6.583425, 2430.345723
float, 20000, 6.777155, 2360.872817
float, 20000, 7.126193, 2245.237946
