type, size, time, gflop
float, 2000, 0.041474, 385.784358
float, 2000, 0.041405, 386.422280
float, 2000, 0.041156, 388.760827
float, 2000, 0.040012, 399.883444
float, 2000, 0.040752, 392.615395
float, 2000, 0.040699, 393.130043
float, 2000, 0.042990, 372.177092
float, 2000, 0.041884, 382.010486
float, 3000, 0.062317, 866.530686
float, 3000, 0.062162, 868.701719
float, 3000, 0.062638, 862.093009
float, 3000, 0.064663, 835.093086
float, 3000, 0.064279, 840.090905
float, 3000, 0.065301, 826.934152
float, 3000, 0.065954, 818.756635
float, 3000, 0.067291, 802.485124
float, 4000, 0.095647, 1338.258403
float, 4000, 0.095959, 1333.896238
float, 4000, 0.095636, 1338.402099
float, 4000, 0.096200, 1330.565189
float, 4000, 0.095803, 1336.075447
float, 4000, 0.097296, 1315.566728
float, 4000, 0.095859, 1335.291706
float, 4000, 0.096512, 1326.260497
float, 5000, 0.163684, 1527.336663
float, 5000, 0.167169, 1495.496745
float, 5000, 0.164101, 1523.454443
float, 5000, 0.162047, 1542.762951
float, 5000, 0.172304, 1450.927014
float, 5000, 0.166299, 1503.312420
float, 5000, 0.167729, 1490.496543
float, 5000, 0.161285, 1550.048192
float, 6000, 0.274314, 1574.838117
float, 6000, 0.276349, 1563.241403
float, 6000, 0.292500, 1476.924127
float, 6000, 0.263967, 1636.569373
float, 6000, 0.297638, 1451.428319
float, 6000, 0.284695, 1517.413431
float, 6000, 0.298103, 1449.163583
float, 6000, 0.310413, 1391.692650
float, 7000, 0.470143, 1459.129766
float, 7000, 0.461184, 1487.475373
float, 7000, 0.459256, 1493.718935
float, 7000, 0.468315, 1464.827161
float, 7000, 0.456854, 1501.572279
float, 7000, 0.457501, 1499.451422
float, 7000, 0.467641, 1466.936090
float, 7000, 0.458603, 1495.846678
float, 8000, 0.695314, 1472.715636
float, 8000, 0.701198, 1460.358690
float, 8000, 0.705542, 1451.367086
float, 8000, 0.745686, 1373.232831
float, 8000, 0.695716, 1471.864188
float, 8000, 0.695328, 1472.687094
float, 8000, 0.704311, 1453.904101
float, 8000, 0.706694, 1449.000035
float, 9000, 1.083862, 1345.189504
float, 9000, 1.089240, 1338.548262
float, 9000, 1.104408, 1320.164555
float, 9000, 1.081599, 1348.003764
float, 9000, 1.087865, 1340.239925
float, 9000, 1.094434, 1332.195994
float, 9000, 1.081076, 1348.656722
float, 9000, 1.074073, 1357.449796
float, 10000, 1.558048, 1283.657837
float, 10000, 1.586018, 1261.019968
float, 10000, 1.560606, 1281.553483
float, 10000, 1.539071, 1299.485571
float, 10000, 1.560277, 1281.823890
float, 10000, 1.563902, 1278.852556
float, 10000, 1.585195, 1261.674819
float, 10000, 1.560611, 1281.549518
float, 11000, 1.935590, 1375.291217
float, 11000, 2.168736, 1227.443260
float, 11000, 1.931618, 1378.119439
float, 11000, 2.155975, 1234.708332
float, 11000, 2.153984, 1235.849334
float, 11000, 2.116744, 1257.591756
float, 11000, 1.911558, 1392.581626
float, 11000, 2.123306, 1253.705175
float, 12000, 2.610777, 1323.743610
float, 12000, 2.182129, 1583.774645
float, 12000, 2.640954, 1308.618191
float, 12000, 1.776966, 1944.888247
float, 12000, 1.770443, 1952.054292
float, 12000, 1.801728, 1918.158279
float, 12000, 1.778179, 1943.561632
float, 12000, 2.651636, 1303.346495
float, 13000, 2.495093, 1761.056860
float, 13000, 2.327779, 1887.636167
float, 13000, 2.454565, 1790.133797
float, 13000, 2.375712, 1849.550752
float, 13000, 2.365417, 1857.600519
float, 13000, 2.472580, 1777.091384
float, 13000, 2.521179, 1742.835561
float, 13000, 2.325605, 1889.400661
float, 14000, 2.851384, 1924.679611
float, 14000, 3.887591, 1411.671005
float, 14000, 3.849141, 1425.772800
float, 14000, 3.962926, 1384.835382
float, 14000, 2.997298, 1830.982339
float, 14000, 3.767539, 1456.653883
float, 14000, 3.896173, 1408.561812
float, 14000, 3.940974, 1392.549258
float, 15000, 4.400007, 1534.088538
float, 15000, 4.346420, 1553.002203
float, 15000, 3.973116, 1698.918284
float, 15000, 4.014826, 1681.268304
float, 15000, 4.359975, 1548.174185
float, 15000, 4.381248, 1540.656859
float, 15000, 4.401355, 1533.618669
float, 15000, 4.408138, 1531.258659
float, 16000, 6.565299, 1247.772662
float, 16000, 6.564077, 1248.004789
float, 16000, 4.036074, 2029.695260
float, 16000, 4.152925, 1972.585377
float, 16000, 6.514613, 1257.480696
float, 16000, 6.501004, 1260.112981
float, 16000, 6.214796, 1318.144663
float, 16000, 4.840978, 1692.220102
float, 17000, 7.829228, 1255.040774
float, 17000, 7.721955, 1272.475647
float, 17000, 6.875161, 1429.202846
float, 17000, 7.769590, 1264.674184
float, 17000, 7.884407, 1246.257289
float, 17000, 7.824714, 1255.764769
float, 17000, 6.047235, 1624.874757
float, 17000, 7.327632, 1340.951657
float, 18000, 4.243083, 2748.944515
float, 18000, 4.609058, 2530.668847
float, 18000, 4.338075, 2688.749971
float, 18000, 4.668397, 2498.501986
float, 18000, 4.609502, 2530.425162
float, 18000, 4.634057, 2517.016878
float, 18000, 4.605974, 2532.363435
float, 18000, 4.374428, 2666.405709
float, 19000, 9.762653, 1405.150884
float, 19000, 7.082790, 1936.807326
float, 19000, 7.279445, 1884.484362
float, 19000, 7.233739, 1896.391271
float, 19000, 8.690609, 1578.485516
float, 19000, 7.151422, 1918.219930
float, 19000, 6.960654, 1970.791768
float, 19000, 7.112078, 1928.831394
float, 20000, 5.873345, 2724.171646
float, 20000, 5.930580, 2597.880929
float, 20000, 5.627354, 2843.254384
float, 20000, 5.672014, 2620.867467
float, 20000, 5.650590, 2831.562671
float, 20000, 5.746607, 2584.251530
float, 20000, 5.469342, 2425.397797
float, 20000, 5.893507, 2414.852066
