type, size, time, gflop
float, 2000, 0.031142, 513.774239
float, 2000, 0.029706, 538.614847
float, 2000, 0.030798, 519.519551
float, 2000, 0.033427, 478.657185
float, 2000, 0.032437, 493.267758
float, 2000, 0.034910, 458.321857
float, 2000, 0.035410, 451.845102
float, 2000, 0.037546, 426.148220
float, 3000, 0.083668, 645.408589
float, 3000, 0.079991, 675.072072
float, 3000, 0.072907, 740.672841
float, 3000, 0.077671, 695.236026
float, 3000, 0.075187, 718.209456
float, 3000, 0.073788, 731.830241
float, 3000, 0.074493, 724.904540
float, 3000, 0.074837, 721.568854
float, 4000, 0.138275, 925.688999
float, 4000, 0.140033, 914.070509
float, 4000, 0.140526, 910.861759
float, 4000, 0.139582, 917.023002
float, 4000, 0.140922, 908.306920
float, 4000, 0.137926, 928.037002
float, 4000, 0.139126, 920.027488
float, 4000, 0.139306, 918.842820
float, 5000, 0.245133, 1019.853151
float, 5000, 0.250278, 998.887339
float, 5000, 0.245802, 1017.078870
float, 5000, 0.251925, 992.359298
float, 5000, 0.243513, 1026.639968
float, 5000, 0.244948, 1020.623790
float, 5000, 0.248236, 1007.106672
float, 5000, 0.253665, 985.550140
float, 6000, 0.431042, 1002.221687
float, 6000, 0.421390, 1025.178692
float, 6000, 0.413846, 1043.866224
float, 6000, 0.434527, 994.185048
float, 6000, 0.431321, 1001.574436
float, 6000, 0.440809, 980.016906
float, 6000, 0.429168, 1006.598648
float, 6000, 0.442689, 975.855307
float, 7000, 0.738607, 928.775290
float, 7000, 0.680947, 1007.421042
float, 7000, 0.700363, 979.491666
float, 7000, 0.696831, 984.457206
float, 7000, 0.683384, 1003.827609
float, 7000, 0.707823, 969.168239
float, 7000, 0.713990, 960.798007
float, 7000, 0.709926, 966.298307
float, 8000, 0.985439, 1039.131288
float, 8000, 0.988898, 1035.496055
float, 8000, 1.010616, 1013.243765
float, 8000, 0.996637, 1027.455514
float, 8000, 0.990323, 1034.006052
float, 8000, 0.996992, 1027.089122
