type, size, time, gflop
float, 2000, 0.025217, 634.481735
float, 2000, 0.024462, 654.065201
float, 2000, 0.025495, 627.580139
float, 2000, 0.025471, 628.157522
float, 2000, 0.024740, 646.727675
float, 2000, 0.025080, 637.958431
float, 2000, 0.024206, 660.995299
float, 2000, 0.025779, 620.654232
float, 3000, 0.044068, 1225.388748
float, 3000, 0.044803, 1205.276432
float, 3000, 0.044338, 1217.910401
float, 3000, 0.044845, 1204.147942
float, 3000, 0.044651, 1209.390135
float, 3000, 0.041346, 1306.066534
float, 3000, 0.045114, 1196.964365
float, 3000, 0.042771, 1262.544461
float, 4000, 0.078667, 1627.117789
float, 4000, 0.077976, 1641.531801
float, 4000, 0.079231, 1615.531355
float, 4000, 0.079621, 1607.624602
float, 4000, 0.076883, 1664.868414
float, 4000, 0.075329, 1699.214523
float, 4000, 0.078504, 1630.484538
float, 4000, 0.068815, 1860.066932
float, 5000, 0.122837, 2035.219589
float, 5000, 0.121519, 2057.285510
float, 5000, 0.121508, 2057.474310
float, 5000, 0.120019, 2082.995298
float, 5000, 0.121694, 2054.327918
float, 5000, 0.121218, 2062.395261
float, 5000, 0.122521, 2040.470113
float, 5000, 0.125896, 1985.760193
float, 6000, 0.249741, 1729.789820
float, 6000, 0.228638, 1889.452260
float, 6000, 0.238037, 1814.843187
float, 6000, 0.235180, 1836.891408
float, 6000, 0.252453, 1711.211652
float, 6000, 0.238508, 1811.261518
float, 6000, 0.264228, 1634.950228
float, 6000, 0.231189, 1868.597087
float, 7000, 0.483533, 1418.723916
float, 7000, 0.481282, 1425.358726
float, 7000, 0.512838, 1337.653979
float, 7000, 0.466708, 1469.869843
float, 7000, 0.481516, 1424.666620
float, 7000, 0.491747, 1395.026222
float, 7000, 0.488963, 1402.968894
float, 7000, 0.482757, 1421.005150
float, 8000, 0.798545, 1282.333000
float, 8000, 0.802122, 1276.613936
float, 8000, 0.788357, 1298.904078
float, 8000, 0.812634, 1260.099173
float, 8000, 0.791569, 1293.632729
float, 8000, 0.806770, 1269.259010
float, 8000, 0.784491, 1305.305479
float, 8000, 0.814365, 1257.421853
float, 9000, 1.132709, 1287.179315
float, 9000, 1.127020, 1293.676750
float, 9000, 1.133661, 1286.098921
float, 9000, 1.127013, 1293.684638
float, 9000, 1.131730, 1288.293413
float, 9000, 1.128080, 1292.461132
float, 9000, 1.122275, 1299.146249
float, 9000, 1.124639, 1296.416161
float, 10000, 1.542765, 1296.374003
float, 10000, 1.557886, 1283.791039
float, 10000, 1.554314, 1286.741494
float, 10000, 1.539600, 1299.038950
float, 10000, 1.556445, 1284.979878
float, 10000, 1.556239, 1285.149836
float, 10000, 1.551144, 1289.370672
float, 10000, 1.565684, 1277.396716
float, 11000, 2.045514, 1301.384234
float, 11000, 2.051981, 1297.282918
float, 11000, 2.049790, 1298.669589
float, 11000, 2.043217, 1302.847425
float, 11000, 2.043641, 1302.576988
float, 11000, 2.038578, 1305.812139
