type, size, time, gflop
float, 2000, 0.022203, 720.622658
float, 2000, 0.021882, 731.179920
float, 2000, 0.022328, 716.582425
float, 2000, 0.021900, 730.590171
float, 2000, 0.022888, 699.058809
float, 2000, 0.022146, 722.469781
float, 2000, 0.022171, 721.674143
float, 2000, 0.022244, 719.296126
float, 3000, 0.045516, 1186.383820
float, 3000, 0.044543, 1212.300540
float, 3000, 0.044495, 1213.609143
float, 3000, 0.044964, 1200.956228
float, 3000, 0.050819, 1062.590831
float, 3000, 0.045147, 1196.100765
float, 3000, 0.043725, 1234.989983
float, 3000, 0.044644, 1209.561015
float, 4000, 0.076236, 1679.003274
float, 4000, 0.084955, 1506.686764
float, 4000, 0.074972, 1707.311234
float, 4000, 0.083784, 1527.739397
float, 4000, 0.076759, 1667.563742
float, 4000, 0.074804, 1711.132723
float, 4000, 0.076596, 1671.116231
float, 4000, 0.074405, 1720.315189
float, 5000, 0.144811, 1726.386961
float, 5000, 0.129918, 1924.288129
float, 5000, 0.135916, 1839.377331
float, 5000, 0.136711, 1828.679609
float, 5000, 0.133643, 1870.657866
float, 5000, 0.127736, 1957.155686
float, 5000, 0.127695, 1957.791242
float, 5000, 0.134494, 1858.817004
float, 6000, 0.233539, 1849.801417
float, 6000, 0.243740, 1772.379620
float, 6000, 0.228623, 1889.577037
float, 6000, 0.228097, 1893.934121
float, 6000, 0.230687, 1872.667505
float, 6000, 0.250542, 1724.264423
float, 6000, 0.237371, 1819.934026
float, 6000, 0.229049, 1886.060451
float, 7000, 0.404380, 1696.423199
float, 7000, 0.440402, 1557.668885
float, 7000, 0.445042, 1541.426709
float, 7000, 0.397589, 1725.399309
float, 7000, 0.408802, 1678.074204
float, 7000, 0.435766, 1574.240895
float, 7000, 0.405266, 1692.713347
float, 7000, 0.430279, 1594.313616
float, 8000, 0.647104, 1582.435053
float, 8000, 0.626697, 1633.963077
float, 8000, 0.644979, 1587.648334
float, 8000, 0.650291, 1574.679445
float, 8000, 0.608982, 1681.495550
float, 8000, 0.655253, 1562.754961
float, 8000, 0.647445, 1581.601270
float, 8000, 0.609936, 1678.865904
float, 9000, 0.834207, 1747.767073
float, 9000, 0.856163, 1702.946726
float, 9000, 0.882220, 1652.648167
float, 9000, 0.868742, 1678.289277
float, 9000, 0.865614, 1684.352643
float, 9000, 0.859024, 1697.274881
float, 9000, 0.870227, 1675.424812
float, 9000, 0.876086, 1664.219286
float, 10000, 1.195355, 1673.142575
float, 10000, 1.232389, 1622.864566
float, 10000, 1.233452, 1621.465012
float, 10000, 1.151416, 1736.991221
float, 10000, 1.163082, 1719.569320
float, 10000, 1.187624, 1684.034685
float, 10000, 1.214823, 1646.330634
float, 10000, 1.232131, 1623.203769
float, 11000, 1.495638, 1779.842801
float, 11000, 1.505849, 1767.773330
float, 11000, 1.509950, 1762.972836
float, 11000, 1.478228, 1800.805249
float, 11000, 1.468300, 1812.981599
float, 11000, 1.539526, 1729.103343
float, 11000, 1.510357, 1762.496959
float, 11000, 1.469623, 1811.349476
float, 12000, 1.808631, 1910.837314
float, 12000, 1.762792, 1960.525868
float, 12000, 1.744369, 1981.232066
float, 12000, 1.805871, 1913.757785
float, 12000, 1.842011, 1876.209966
float, 12000, 1.804605, 1915.100603
float, 12000, 1.813754, 1905.440773
float, 12000, 1.820238, 1898.652678
float, 13000, 2.500197, 1757.461856
float, 13000, 2.307478, 1904.243232
float, 13000, 2.330961, 1885.059122
float, 13000, 2.519457, 1744.026893
float, 13000, 2.492841, 1762.647741
float, 13000, 2.225856, 1974.071684
float, 13000, 2.517052, 1745.692902
float, 13000, 2.169273, 2025.563478
float, 14000, 2.718775, 2018.556212
float, 14000, 2.846278, 1928.132287
float, 14000, 2.828016, 1940.582931
float, 14000, 2.676536, 2050.411518
float, 14000, 2.874841, 1908.974943
float, 14000, 2.589489, 2119.337359
float, 14000, 2.756474, 1990.949237
float, 14000, 2.776360, 1976.688773
float, 15000, 3.478824, 1940.310802
float, 15000, 3.521077, 1917.026867
float, 15000, 3.460276, 1950.711401
float, 15000, 3.188993, 2116.655484
float, 15000, 3.281500, 2056.986021
float, 15000, 3.523435, 1915.744423
float, 15000, 3.547183, 1902.918289
float, 15000, 2.950609, 2287.663176
float, 16000, 4.046849, 2024.291157
float, 16000, 3.900857, 2100.051502
float, 16000, 3.979599, 2058.498978
float, 16000, 4.495623, 1822.216874
float, 16000, 4.042997, 2026.219585
float, 16000, 4.066097, 2014.708270
float, 16000, 4.048382, 2023.524681
float, 16000, 3.861588, 2121.406787
float, 17000, 4.680140, 2099.509864
float, 17000, 4.736115, 2074.696354
float, 17000, 4.740984, 2072.565316
float, 17000, 4.842632, 2029.062019
float, 17000, 4.748132, 2069.445427
float, 17000, 4.680535, 2099.332747
float, 17000, 4.700355, 2090.480442
float, 17000, 4.743585, 2071.428976
float, 18000, 4.836669, 2411.577285
float, 18000, 5.101689, 2286.301690
float, 18000, 4.907112, 2376.958060
float, 18000, 4.856813, 2401.575098
float, 18000, 4.949699, 2356.506765
float, 18000, 5.104101, 2285.221068
float, 18000, 4.795354, 2432.354251
float, 18000, 5.240654, 2225.676514
float, 19000, 5.901996, 2324.298401
float, 19000, 5.488304, 2499.497271
float, 19000, 5.907086, 2322.295453
float, 19000, 5.835037, 2350.970521
float, 19000, 5.674785, 2417.360356
float, 19000, 5.708148, 2403.231437
float, 19000, 5.431460, 2525.656024
float, 19000, 5.714322, 2400.634725
float, 20000, 7.246323, 2208.016514
float, 20000, 7.310938, 2188.501577
float, 20000, 6.274939, 2549.825753
float, 20000, 6.389563, 2504.083700
float, 20000, 6.273915, 2550.241917
float, 20000, 7.165808, 2232.825688
float, 20000, 7.369820, 2171.016340
float, 20000, 7.160819, 2234.381315
