type, size, time, gflop
float, 2000, 1.526069, 10.484454
float, 3000, 1.927161, 28.020500
float, 4000, 3.041803, 42.080299
float, 5000, 5.045828, 49.545880
float, 6000, 8.254934, 52.332340
float, 7000, 12.565932, 54.592050
float, 8000, 18.260264, 56.078052
float, 9000, 24.818650, 58.746144
float, 10000, 33.371956, 59.930559
float, 11000, 44.510411, 59.806233
float, 12000, 57.441623, 60.165431
float, 13000, 72.454156, 60.645245
float, 14000, 89.701887, 61.180430
float, 15000, 109.745607, 61.505879
float, 16000, 134.889997, 60.730967
float, 17000, 158.588756, 61.958995
float, 18000, 189.035073, 61.702835
float, 19000, 220.980642, 62.077836
float, 20000, 257.820488, 62.058683
