type, size, time, gflop
float, 2000, 1.402463, 11.408498
float, 3000, 2.351549, 22.963586
float, 4000, 3.457963, 37.016007
float, 5000, 5.544671, 45.088341
float, 6000, 7.764541, 55.637543
float, 7000, 11.067347, 61.984143
float, 8000, 14.596300, 70.154765
float, 9000, 20.049502, 72.720009
float, 10000, 26.183607, 76.383670
float, 11000, 32.307663, 82.395312
float, 12000, 42.212156, 81.872151
float, 13000, 52.815955, 83.194557
float, 14000, 64.877824, 84.589766
float, 15000, 80.501530, 83.849338
float, 16000, 94.300462, 86.871260
float, 17000, 110.609496, 88.835049
float, 18000, 131.344423, 88.804684
float, 19000, 151.661821, 90.451241
float, 20000, 174.155558, 91.871889
