type, size, time, gflop
float, 2000, 0.030734, 520.602231
float, 2000, 0.029307, 545.952349
float, 2000, 0.029257, 546.869932
float, 2000, 0.028646, 558.550277
float, 2000, 0.029578, 540.944129
float, 2000, 0.028817, 555.222499
float, 2000, 0.028565, 560.127146
float, 2000, 0.029335, 545.420395
float, 3000, 0.050463, 1070.093630
float, 3000, 0.051543, 1047.678653
float, 3000, 0.053050, 1017.906617
float, 3000, 0.049753, 1085.368864
float, 3000, 0.050968, 1059.492152
float, 3000, 0.051408, 1050.429792
float, 3000, 0.048908, 1104.116872
float, 3000, 0.048050, 1123.833742
float, 4000, 0.077436, 1652.986759
float, 4000, 0.079171, 1616.751833
float, 4000, 0.074651, 1714.637054
float, 4000, 0.079909, 1601.822193
float, 4000, 0.076913, 1664.219614
float, 4000, 0.079030, 1619.634608
float, 4000, 0.074253, 1723.839347
float, 4000, 0.077527, 1651.037107
float, 5000, 0.120248, 2079.031453
float, 5000, 0.113419, 2204.211872
float, 5000, 0.125304, 1995.155666
float, 5000, 0.114883, 2176.129024
float, 5000, 0.117302, 2131.251722
float, 5000, 0.128515, 1945.303996
float, 5000, 0.121658, 2054.942437
float, 5000, 0.122548, 2040.019270
float, 6000, 0.175154, 2466.398729
float, 6000, 0.159005, 2716.893149
float, 6000, 0.179231, 2410.299652
float, 6000, 0.185295, 2331.422767
float, 6000, 0.171400, 2520.418305
float, 6000, 0.159667, 2705.637687
float, 6000, 0.177199, 2437.941948
float, 6000, 0.179755, 2403.271894
float, 7000, 0.249491, 2749.592793
float, 7000, 0.267626, 2563.276201
float, 7000, 0.274737, 2496.932567
float, 7000, 0.265421, 2584.571922
float, 7000, 0.281403, 2437.787330
float, 7000, 0.253631, 2704.715714
float, 7000, 0.279851, 2451.304427
float, 7000, 0.271327, 2528.310974
float, 8000, 0.460463, 2223.847175
float, 8000, 0.456016, 2245.535486
float, 8000, 0.493719, 2074.056332
float, 8000, 0.473162, 2164.163890
float, 8000, 0.494982, 2068.762209
float, 8000, 0.492477, 2079.285487
float, 8000, 0.479145, 2137.141608
float, 8000, 0.472476, 2167.307330
float, 9000, 0.843999, 1727.489853
float, 9000, 0.860448, 1694.465634
float, 9000, 0.860537, 1694.290073
float, 9000, 0.902545, 1615.432302
float, 9000, 0.864384, 1686.750579
float, 9000, 0.875024, 1666.240798
float, 9000, 0.848051, 1719.236053
float, 9000, 0.876848, 1662.773107
float, 10000, 1.371842, 1457.893632
float, 10000, 1.333991, 1499.260581
float, 10000, 1.417154, 1411.278733
float, 10000, 1.371717, 1458.026810
float, 10000, 1.390717, 1438.107347
float, 10000, 1.372494, 1457.201199
float, 10000, 1.399663, 1428.915216
float, 10000, 1.356655, 1474.214045
float, 11000, 2.083752, 1277.503177
float, 11000, 2.116684, 1257.627216
float, 11000, 2.112399, 1260.178711
float, 11000, 2.147778, 1239.420609
float, 11000, 2.111351, 1260.803966
float, 11000, 2.077106, 1281.590828
float, 11000, 2.084270, 1277.185783
float, 11000, 2.063691, 1289.921977
float, 12000, 2.718288, 1271.388530
float, 12000, 2.675300, 1291.817927
float, 12000, 2.840422, 1216.720768
float, 12000, 2.779643, 1243.325007
float, 12000, 2.692202, 1283.707417
float, 12000, 2.834436, 1219.290326
float, 12000, 2.757995, 1253.084342
float, 12000, 2.939995, 1175.512071
float, 13000, 2.689368, 1633.841003
float, 13000, 3.409815, 1288.633084
float, 13000, 2.699799, 1627.528517
float, 13000, 3.363148, 1306.514105
float, 13000, 2.714148, 1618.924320
float, 13000, 3.391586, 1295.559259
float, 13000, 2.714282, 1618.844179
float, 13000, 3.448635, 1274.127199
float, 14000, 3.985980, 1376.825685
float, 14000, 3.968019, 1383.057728
float, 14000, 3.937126, 1393.910056
float, 14000, 4.015542, 1366.689803
float, 14000, 3.989301, 1375.679601
float, 14000, 3.904889, 1405.417782
float, 14000, 4.003543, 1370.785934
float, 14000, 3.998113, 1372.647437
float, 15000, 4.669602, 1445.519357
float, 15000, 4.628778, 1458.268403
float, 15000, 5.436966, 1241.501295
float, 15000, 4.795506, 1407.567785
float, 15000, 5.472825, 1233.366615
float, 15000, 4.655554, 1449.881082
float, 15000, 4.623989, 1459.778635
float, 15000, 4.655095, 1450.023978
float, 16000, 5.292196, 1547.939583
float, 16000, 6.440651, 1271.921089
float, 16000, 5.253680, 1559.288088
float, 16000, 6.478701, 1264.451062
float, 16000, 6.408623, 1278.277745
float, 16000, 6.448686, 1270.336235
float, 16000, 6.456216, 1268.854761
float, 16000, 6.396536, 1280.693154
float, 17000, 7.687728, 1278.141028
float, 17000, 7.686865, 1278.284519
float, 17000, 5.573242, 1763.067197
float, 17000, 7.687453, 1278.186615
float, 17000, 7.671872, 1280.782628
float, 17000, 7.679677, 1279.480913
float, 17000, 7.691519, 1277.511052
float, 17000, 7.656925, 1283.282783
float, 18000, 6.069591, 1921.710931
float, 18000, 6.128334, 1903.290475
float, 18000, 6.083784, 1917.227912
float, 18000, 6.099846, 1912.179396
float, 18000, 6.756702, 1726.286087
float, 18000, 6.061628, 1924.235486
float, 18000, 6.145014, 1898.124084
float, 18000, 6.107992, 1909.629152
float, 19000, 7.061867, 1942.545890
float, 19000, 7.673179, 1787.785840
float, 19000, 9.498224, 1444.269957
float, 19000, 8.033449, 1707.610256
float, 19000, 9.525350, 1440.156998
float, 19000, 9.493375, 1445.007725
float, 19000, 8.020694, 1710.325751
float, 19000, 8.096781, 1694.253625
float, 20000, 8.480193, 1886.749466
float, 20000, 8.602463, 1859.932477
float, 20000, 8.563602, 1868.372668
float, 20000, 8.517479, 1878.490129
float, 20000, 8.609566, 1858.397996
float, 20000, 8.540501, 1873.426296
float, 20000, 8.486934, 1885.250946
float, 20000, 8.484867, 1885.710188
