type, size, time, gflop
float, 2000, 0.034012, 470.417889
float, 2000, 0.033506, 477.531102
float, 2000, 0.034439, 464.595716
float, 2000, 0.034280, 466.743695
float, 2000, 0.035093, 455.933682
float, 2000, 0.034170, 468.250851
float, 2000, 0.034594, 462.507735
float, 2000, 0.035187, 454.718803
float, 3000, 0.085762, 629.649620
float, 3000, 0.090273, 598.184523
float, 3000, 0.089741, 601.730658
float, 3000, 0.089295, 604.736024
float, 3000, 0.089657, 602.293520
float, 3000, 0.089189, 605.456719
float, 3000, 0.090535, 596.455583
float, 3000, 0.089149, 605.729121
float, 4000, 0.161613, 792.013759
float, 4000, 0.165927, 771.424787
float, 4000, 0.163640, 782.204792
float, 4000, 0.167614, 763.660599
float, 4000, 0.167496, 764.199293
float, 4000, 0.167907, 762.325175
float, 4000, 0.166550, 768.538586
float, 4000, 0.167322, 764.990538
float, 5000, 0.282810, 883.984183
float, 5000, 0.284110, 879.941072
float, 5000, 0.287203, 870.465048
float, 5000, 0.286235, 873.407133
float, 5000, 0.288798, 865.658283
float, 5000, 0.287272, 870.254686
float, 5000, 0.287563, 869.373834
float, 5000, 0.292861, 853.648098
float, 6000, 0.443660, 973.718148
float, 6000, 0.455718, 947.953787
float, 6000, 0.449749, 960.535078
float, 6000, 0.452428, 954.848813
float, 6000, 0.454956, 949.541526
float, 6000, 0.453417, 952.766104
float, 6000, 0.450818, 958.258138
float, 6000, 0.459170, 940.828335
float, 7000, 0.707990, 968.940453
float, 7000, 0.691966, 991.377481
float, 7000, 0.702706, 976.226615
float, 7000, 0.689070, 995.545280
float, 7000, 0.695934, 985.726198
float, 7000, 0.707123, 970.128878
float, 7000, 0.694907, 987.182330
float, 7000, 0.692704, 990.321872
float, 8000, 0.966358, 1059.649124
float, 8000, 0.954696, 1072.592773
float, 8000, 0.981242, 1043.575130
float, 8000, 0.985362, 1039.212225
float, 8000, 0.968382, 1057.433632
float, 8000, 0.976109, 1049.063550
float, 8000, 0.970253, 1055.395285
float, 8000, 0.969472, 1056.244584
float, 9000, 1.344652, 1084.295586
float, 9000, 1.395029, 1045.139571
float, 9000, 1.339284, 1088.641406
float, 9000, 1.281317, 1137.891636
float, 9000, 1.379678, 1056.768056
float, 9000, 1.257470, 1159.470845
float, 9000, 1.385914, 1052.013011
float, 9000, 1.415389, 1030.105217
float, 10000, 1.513545, 1321.401063
float, 10000, 1.526971, 1309.782653
float, 10000, 1.600102, 1249.920527
float, 10000, 1.585543, 1261.397777
float, 10000, 1.532356, 1305.179314
float, 10000, 1.583937, 1262.676566
float, 10000, 1.590834, 1257.202073
float, 10000, 1.768484, 1130.912070
float, 11000, 2.135183, 1246.731802
float, 11000, 2.195794, 1212.317814
float, 11000, 1.780640, 1494.968310
float, 11000, 2.049768, 1298.683302
float, 11000, 1.794088, 1483.762051
float, 11000, 1.737393, 1532.180871
float, 11000, 2.149631, 1238.352229
float, 11000, 2.162746, 1230.842495
float, 12000, 2.327438, 1484.894300
float, 12000, 2.309996, 1496.106645
float, 12000, 2.260268, 1529.021992
float, 12000, 2.307609, 1497.653837
float, 12000, 2.299968, 1502.629550
float, 12000, 2.250149, 1535.898051
float, 12000, 2.241677, 1541.703085
float, 12000, 2.271983, 1521.138027
float, 13000, 2.881509, 1524.895522
float, 13000, 2.654040, 1655.589461
float, 13000, 2.735905, 1606.050125
float, 13000, 2.652003, 1656.861062
float, 13000, 2.872576, 1529.637425
float, 13000, 2.786023, 1577.158555
float, 13000, 2.640106, 1664.326999
float, 13000, 2.720586, 1615.093175
float, 14000, 3.006764, 1825.218176
float, 14000, 3.089559, 1776.305439
float, 14000, 3.167899, 1732.378731
float, 14000, 3.137948, 1748.913528
float, 14000, 3.110111, 1764.567365
float, 14000, 3.240900, 1693.356608
float, 14000, 3.013857, 1820.922203
float, 14000, 3.201373, 1714.264417
float, 15000, 3.636887, 1855.983033
float, 15000, 3.600635, 1874.669193
float, 15000, 3.613181, 1868.160126
float, 15000, 3.571371, 1890.030354
float, 15000, 3.644840, 1851.933229
float, 15000, 3.545737, 1903.694661
float, 15000, 3.615113, 1867.161567
float, 15000, 3.419439, 1974.007778
float, 16000, 3.682009, 2224.872168
float, 16000, 4.266674, 1919.996790
float, 16000, 3.504535, 2337.542527
float, 16000, 3.454160, 2371.632745
float, 16000, 4.043723, 2025.855969
float, 16000, 2.972979, 2755.485561
float, 16000, 4.041864, 2026.787717
float, 16000, 5.112442, 1602.365217
float, 17000, 6.023805, 1631.194903
float, 17000, 4.175978, 2352.981625
float, 17000, 6.103814, 1609.813138
float, 17000, 6.101642, 1610.386291
float, 17000, 6.107514, 1608.837911
float, 17000, 6.068046, 1619.302064
float, 17000, 6.129564, 1603.050364
float, 17000, 6.109989, 1608.186174
float, 18000, 4.644893, 2511.145183
float, 18000, 4.633986, 2517.055621
float, 18000, 4.690817, 2486.560702
float, 18000, 4.586002, 2543.392008
float, 18000, 4.579388, 2547.065518
float, 18000, 4.591520, 2540.335244
float, 18000, 4.547238, 2565.073754
float, 18000, 4.527603, 2576.197787
float, 19000, 5.837341, 2350.042594
float, 19000, 5.826913, 2354.248465
float, 19000, 7.285224, 1882.989543
float, 19000, 5.619120, 2441.307591
float, 19000, 5.775574, 2375.175010
float, 19000, 5.485049, 2500.980596
float, 19000, 5.840453, 2348.790401
float, 19000, 6.961049, 1970.680130
float, 20000, 6.368187, 2512.489087
float, 20000, 6.236862, 2565.392794
