type, size, time, gflop
float, 2000, 0.108057, 148.070047
float, 2000, 0.017003, 940.994637
float, 2000, 0.016990, 941.748278
float, 2000, 0.016839, 950.193923
float, 2000, 0.016780, 953.517057
float, 2000, 0.016685, 958.953839
float, 2000, 0.016802, 952.250301
float, 2000, 0.016886, 947.548904
float, 3000, 0.042253, 1278.025986
float, 3000, 0.041991, 1285.984465
float, 3000, 0.041814, 1291.446123
float, 3000, 0.042410, 1273.293520
float, 3000, 0.041938, 1287.607590
float, 3000, 0.042354, 1274.954911
float, 3000, 0.042519, 1270.011979
float, 3000, 0.042110, 1282.342458
float, 4000, 0.089391, 1431.910321
float, 4000, 0.089522, 1429.819824
float, 4000, 0.089684, 1427.229721
float, 4000, 0.089662, 1427.579086
float, 4000, 0.089623, 1428.199236
float, 4000, 0.089781, 1425.691182
float, 4000, 0.089559, 1429.226448
float, 4000, 0.089780, 1425.715018
float, 5000, 0.174025, 1436.576773
float, 5000, 0.173464, 1441.222039
float, 5000, 0.173500, 1440.919001
float, 5000, 0.173401, 1441.745680
float, 5000, 0.173973, 1437.008277
float, 5000, 0.174232, 1434.866648
float, 5000, 0.173621, 1439.919185
float, 5000, 0.173199, 1443.423931
float, 6000, 0.285776, 1511.673579
float, 6000, 0.286465, 1508.037247
float, 6000, 0.286452, 1508.106160
float, 6000, 0.285851, 1511.276394
float, 6000, 0.287222, 1504.061300
float, 6000, 0.285963, 1510.683491
float, 6000, 0.286247, 1509.186096
float, 6000, 0.286692, 1506.841416
float, 7000, 0.441877, 1552.469970
float, 7000, 0.441870, 1552.492541
float, 7000, 0.442586, 1549.982672
float, 7000, 0.442029, 1551.933838
float, 7000, 0.441848, 1552.570441
float, 7000, 0.442343, 1550.831876
float, 7000, 0.442293, 1551.008996
float, 7000, 0.442122, 1551.607159
float, 8000, 0.649984, 1575.422743
float, 8000, 0.648672, 1578.610124
float, 8000, 0.650037, 1575.294719
float, 8000, 0.649919, 1575.580414
float, 8000, 0.648195, 1579.771444
float, 8000, 0.648969, 1577.887266
float, 8000, 0.650363, 1574.506043
float, 8000, 0.647866, 1580.573290
float, 9000, 0.923757, 1578.336800
float, 9000, 0.925152, 1575.956536
float, 9000, 0.924541, 1576.999508
float, 9000, 0.923802, 1578.261004
float, 9000, 0.925422, 1575.497502
float, 9000, 0.926317, 1573.975063
float, 9000, 0.922308, 1580.816988
float, 9000, 0.924713, 1576.705406
float, 10000, 1.292625, 1547.238638
float, 10000, 1.292081, 1547.890706
float, 10000, 1.290867, 1549.346351
float, 10000, 1.292926, 1546.879232
float, 10000, 1.295731, 1543.530269
float, 10000, 1.290852, 1549.364472
float, 10000, 1.295495, 1543.810860
float, 10000, 1.292696, 1547.153754
float, 11000, 1.686944, 1578.001739
float, 11000, 1.689940, 1575.203719
float, 11000, 1.687340, 1577.630888
float, 11000, 1.688922, 1576.153504
float, 11000, 1.693725, 1571.683886
float, 11000, 1.686676, 1578.252385
float, 11000, 1.687108, 1577.848042
float, 11000, 1.691100, 1574.123658
float, 12000, 2.238743, 1543.723597
float, 12000, 2.211752, 1562.562402
