type, size, time, gflop
float, 2000, 0.015320, 1044.387786
float, 2000, 0.015945, 1003.428212
float, 2000, 0.016440, 973.210436
float, 2000, 0.016158, 990.245034
float, 2000, 0.015535, 1029.930090
float, 2000, 0.015320, 1044.375175
float, 2000, 0.015989, 1000.701930
float, 2000, 0.015082, 1060.861491
float, 3000, 0.041725, 1294.177157
float, 3000, 0.042423, 1272.902552
float, 3000, 0.042220, 1279.018744
float, 3000, 0.041643, 1296.734149
float, 3000, 0.041452, 1302.706416
float, 3000, 0.041573, 1298.914879
float, 3000, 0.041187, 1311.090346
float, 3000, 0.041353, 1305.816870
float, 4000, 0.088751, 1442.235142
float, 4000, 0.088216, 1450.990149
float, 4000, 0.088234, 1450.681761
float, 4000, 0.088443, 1447.260717
float, 4000, 0.088305, 1449.527700
float, 4000, 0.088736, 1442.482986
float, 4000, 0.088642, 1444.006293
float, 4000, 0.088661, 1443.703064
float, 5000, 0.167886, 1489.107344
float, 5000, 0.167634, 1491.346800
float, 5000, 0.167543, 1492.152748
float, 5000, 0.167267, 1494.612022
float, 5000, 0.169532, 1474.645392
float, 5000, 0.168812, 1480.938479
float, 5000, 0.167713, 1490.638818
float, 5000, 0.167543, 1492.158198
float, 6000, 0.287558, 1502.303354
float, 6000, 0.290944, 1484.824348
float, 6000, 0.290499, 1487.098609
float, 6000, 0.287034, 1505.048544
float, 6000, 0.287034, 1505.049887
float, 6000, 0.287689, 1501.618938
float, 6000, 0.287304, 1503.632400
float, 6000, 0.287539, 1502.405607
float, 7000, 0.441750, 1552.916154
float, 7000, 0.442330, 1550.878125
float, 7000, 0.442644, 1549.777465
float, 7000, 0.441393, 1554.170768
float, 7000, 0.443497, 1546.798829
float, 7000, 0.440872, 1556.007789
float, 7000, 0.441360, 1554.285451
float, 7000, 0.442437, 1550.503859
float, 8000, 0.645275, 1586.919363
float, 8000, 0.648629, 1578.715511
float, 8000, 0.646638, 1583.576040
float, 8000, 0.648802, 1578.293646
float, 8000, 0.646821, 1583.127086
float, 8000, 0.652309, 1569.808349
float, 8000, 0.646782, 1583.222203
float, 8000, 0.650615, 1573.894559
float, 9000, 0.915553, 1592.480441
float, 9000, 0.911816, 1599.007662
float, 9000, 0.910987, 1600.462296
float, 9000, 0.914337, 1594.598416
float, 9000, 0.913183, 1596.612326
float, 9000, 0.911399, 1599.738426
float, 9000, 0.910127, 1601.973903
float, 9000, 0.912505, 1597.799585
float, 10000, 1.301125, 1537.131519
float, 10000, 1.295565, 1543.728372
float, 10000, 1.303638, 1534.168198
float, 10000, 1.308857, 1528.051382
float, 10000, 1.296297, 1542.856718
float, 10000, 1.292489, 1547.401685
float, 10000, 1.300041, 1538.412581
float, 10000, 1.297393, 1541.553199
float, 11000, 1.712353, 1554.585894
float, 11000, 1.715413, 1551.813313
float, 11000, 1.712660, 1554.307614
float, 11000, 1.711718, 1555.162843
float, 11000, 1.712202, 1554.723152
float, 11000, 1.711198, 1555.635116
float, 11000, 1.709064, 1557.577953
float, 11000, 1.712480, 1554.470710
float, 12000, 2.180557, 1584.916342
float, 12000, 2.175354, 1588.706869
float, 12000, 2.169122, 1593.271174
float, 12000, 2.169281, 1593.154921
float, 12000, 2.184562, 1582.010418
float, 12000, 2.183263, 1582.951580
float, 12000, 2.189059, 1578.760366
float, 12000, 2.178763, 1586.221461
float, 13000, 2.820522, 1557.867832
float, 13000, 2.767156, 1587.911835
float, 13000, 2.757928, 1593.225112
float, 13000, 2.763422, 1590.057371
float, 13000, 2.820507, 1557.875857
float, 13000, 2.763805, 1589.837252
float, 13000, 2.752706, 1596.247503
float, 13000, 2.761425, 1591.207347
float, 14000, 3.490461, 1572.285193
float, 14000, 3.488915, 1572.982064
float, 14000, 3.505885, 1565.368126
float, 14000, 3.492091, 1571.551250
float, 14000, 3.505027, 1565.751121
float, 14000, 3.503252, 1566.544592
float, 14000, 3.500760, 1567.659434
float, 14000, 3.488363, 1573.230961
float, 15000, 4.221423, 1598.986750
float, 15000, 4.226214, 1597.174274
float, 15000, 4.216779, 1600.747696
float, 15000, 4.224575, 1597.794024
float, 15000, 4.223466, 1598.213328
float, 15000, 4.217276, 1600.559155
float, 15000, 4.220145, 1599.471039
float, 15000, 4.215501, 1601.233221
float, 16000, 5.117447, 1600.798191
float, 16000, 5.108232, 1603.685967
float, 16000, 5.107443, 1603.933813
float, 16000, 5.319601, 1539.965244
float, 16000, 5.121042, 1599.674474
float, 16000, 5.320060, 1539.832250
float, 16000, 5.110235, 1603.057539
float, 16000, 5.315058, 1541.281408
float, 17000, 6.272463, 1566.529781
float, 17000, 6.276053, 1565.633650
float, 17000, 6.271972, 1566.652327
float, 17000, 6.275060, 1565.881433
float, 17000, 6.276535, 1565.513424
float, 17000, 6.264430, 1568.538549
float, 17000, 6.275437, 1565.787246
float, 17000, 6.265860, 1568.180669
float, 18000, 7.493265, 1556.597899
float, 18000, 7.444082, 1566.882203
float, 18000, 7.446116, 1566.454279
float, 18000, 7.467801, 1561.905561
float, 18000, 7.442492, 1567.216900
float, 18000, 7.446117, 1566.453977
float, 18000, 7.456351, 1564.304015
float, 18000, 7.450096, 1565.617349
float, 19000, 8.703597, 1576.130049
float, 19000, 8.714867, 1574.091640
float, 19000, 8.622834, 1590.892268
float, 19000, 8.731900, 1571.021124
float, 19000, 8.700069, 1576.769075
float, 19000, 8.724877, 1572.285753
float, 19000, 8.710096, 1574.953957
float, 19000, 8.703882, 1576.078388
float, 20000, 10.239199, 1562.622192
float, 20000, 10.218154, 1565.840523
float, 20000, 10.228473, 1564.260833
float, 20000, 10.206547, 1567.621228
float, 20000, 10.234495, 1563.340454
float, 20000, 10.260081, 1559.441875
float, 20000, 10.219822, 1565.585047
float, 20000, 10.239204, 1562.621427
