type, size, time, gflop
float, 2000, 0.471753, 33.916070
float, 3000, 11.066752, 4.879480
float, 4000, 18.561229, 6.896095
float, 5000, 28.790312, 8.683476
float, 6000, 37.659752, 11.471132
float, 7000, 101.457732, 6.761436
float, 8000, 126.498808, 8.094938
float, 9000, 158.234239, 9.214188
float, 10000, 20.012763, 99.936228
float, 11000, 20.341236, 130.867168
float, 12000, 26.160348, 132.108333
float, 13000, 63.155183, 69.574654
float, 14000, 42.205787, 130.029563
float, 15000, 51.991036, 129.830072
float, 16000, 60.962794, 134.377043
float, 17000, 73.380334, 133.905087
float, 18000, 86.453489, 134.916476
float, 19000, 148.414395, 92.430387
float, 20000, 120.872311, 132.371094
