type, size, time, gflop
float, 2000, 0.558634, 28.641296
float, 3000, 0.838912, 64.369060
float, 4000, 1.575451, 81.246569
float, 5000, 2.520252, 99.196422
float, 6000, 3.840086, 112.497495
float, 7000, 5.936705, 115.552323
float, 8000, 8.546383, 119.816768
float, 9000, 11.848720, 123.051270
float, 10000, 16.368107, 122.188839
float, 11000, 20.817421, 127.873667
float, 12000, 27.055811, 127.735959
float, 13000, 33.461852, 131.313710
float, 14000, 42.137063, 130.241636
float, 15000, 50.976580, 132.413749
float, 16000, 61.873500, 132.399169
float, 17000, 74.856459, 131.264559
float, 18000, 88.663048, 131.554241
float, 19000, 105.053205, 130.581451
float, 20000, 123.577759, 129.473136
