type, size, time, gflop
float, 2000, 0.015522, 1030.813330
float, 2000, 0.016396, 975.836162
float, 2000, 0.015592, 1026.157459
float, 2000, 0.015759, 1015.267272
float, 2000, 0.015619, 1024.400647
float, 2000, 0.015570, 1027.646121
float, 2000, 0.015767, 1014.754853
float, 2000, 0.015765, 1014.878564
float, 3000, 0.039782, 1357.414708
float, 3000, 0.039694, 1360.419453
float, 3000, 0.040223, 1342.499022
float, 3000, 0.040164, 1344.493827
float, 3000, 0.040283, 1340.527165
float, 3000, 0.039836, 1355.568404
float, 3000, 0.039787, 1357.212908
float, 3000, 0.040279, 1340.649672
float, 4000, 0.086194, 1485.029774
float, 4000, 0.086035, 1487.768267
float, 4000, 0.086100, 1486.648100
float, 4000, 0.087014, 1471.020719
float, 4000, 0.086176, 1485.330413
float, 4000, 0.086321, 1482.845322
float, 4000, 0.086083, 1486.945455
float, 4000, 0.086986, 1471.501330
float, 5000, 0.167127, 1495.872251
float, 5000, 0.167124, 1495.894440
float, 5000, 0.167218, 1495.057793
float, 5000, 0.167377, 1493.630571
float, 5000, 0.167513, 1492.420602
float, 5000, 0.167047, 1496.584139
float, 5000, 0.167594, 1491.699700
float, 5000, 0.168100, 1487.208632
float, 6000, 0.278470, 1551.336387
float, 6000, 0.278586, 1550.686359
float, 6000, 0.278534, 1550.974840
float, 6000, 0.277605, 1556.169523
float, 6000, 0.277419, 1557.213663
float, 6000, 0.277558, 1556.433950
float, 6000, 0.277408, 1557.273435
float, 6000, 0.277860, 1554.739668
float, 7000, 0.430726, 1592.659857
float, 7000, 0.431728, 1588.962976
float, 7000, 0.431902, 1588.323733
float, 7000, 0.430879, 1592.092571
float, 7000, 0.431910, 1588.292273
float, 7000, 0.431824, 1588.611767
float, 7000, 0.431970, 1588.073562
float, 7000, 0.432200, 1587.229241
float, 8000, 0.634197, 1614.641366
float, 8000, 0.633576, 1616.222742
float, 8000, 0.634253, 1614.496455
float, 8000, 0.633950, 1615.268156
float, 8000, 0.634887, 1612.886698
float, 8000, 0.633527, 1616.347807
float, 8000, 0.633958, 1615.249706
float, 8000, 0.634349, 1614.253755
float, 9000, 0.902053, 1616.312376
float, 9000, 0.901397, 1617.489118
float, 9000, 0.902060, 1616.300436
float, 9000, 0.902103, 1616.223697
float, 9000, 0.902548, 1615.426134
float, 9000, 0.902336, 1615.806770
float, 9000, 0.902041, 1616.334324
float, 9000, 0.901908, 1616.572417
float, 10000, 1.246480, 1604.518783
float, 10000, 1.242669, 1609.438533
float, 10000, 1.247237, 1603.544215
float, 10000, 1.247139, 1603.670405
float, 10000, 1.246630, 1604.325481
float, 10000, 1.248032, 1602.522451
float, 10000, 1.247769, 1602.860613
float, 10000, 1.247152, 1603.653388
float, 11000, 1.641277, 1621.907769
float, 11000, 1.637922, 1625.230127
float, 11000, 1.641982, 1621.211426
float, 11000, 1.639742, 1623.426056
float, 11000, 1.641615, 1621.573847
float, 11000, 1.640625, 1622.552607
float, 11000, 1.640273, 1622.900926
float, 11000, 1.641791, 1621.400336
float, 12000, 2.140539, 1614.546546
float, 12000, 2.138157, 1616.345069
float, 12000, 2.137682, 1616.704433
float, 12000, 2.138882, 1615.797372
float, 12000, 2.141243, 1614.015543
float, 12000, 2.137491, 1616.848882
float, 12000, 2.139281, 1615.496149
float, 12000, 2.140497, 1614.578522
float, 13000, 2.704573, 1624.655953
float, 13000, 2.704256, 1624.846007
float, 13000, 2.703149, 1625.511411
float, 13000, 2.705267, 1624.238926
float, 13000, 2.704102, 1624.938719
float, 13000, 2.703386, 1625.369292
float, 13000, 2.704490, 1624.705344
float, 13000, 2.703527, 1625.284398
float, 14000, 3.356204, 1635.180893
float, 14000, 3.356893, 1634.845130
float, 14000, 3.355916, 1635.320948
float, 14000, 3.357417, 1634.589801
float, 14000, 3.354272, 1636.122405
float, 14000, 3.352509, 1636.982857
float, 14000, 3.354557, 1635.983467
float, 14000, 3.354519, 1636.002124
float, 15000, 4.175010, 1616.762667
float, 15000, 4.174044, 1617.136934
float, 15000, 4.182258, 1613.960827
float, 15000, 4.175200, 1616.688885
float, 15000, 4.176221, 1616.293909
float, 15000, 4.174762, 1616.858667
float, 15000, 4.182131, 1614.009532
float, 15000, 4.174907, 1616.802337
float, 16000, 5.016730, 1632.936346
float, 16000, 5.017257, 1632.764692
float, 16000, 5.015053, 1633.482119
float, 16000, 5.018118, 1632.484622
float, 16000, 5.016367, 1633.054268
float, 16000, 5.017957, 1632.537069
float, 16000, 5.013926, 1633.849419
float, 16000, 5.015118, 1633.461200
float, 17000, 6.020529, 1632.082598
float, 17000, 6.023006, 1631.411423
float, 17000, 6.023404, 1631.303608
float, 17000, 6.024412, 1631.030653
float, 17000, 6.024924, 1630.891904
float, 17000, 6.019936, 1632.243188
float, 17000, 6.022361, 1631.585892
float, 17000, 6.020202, 1632.171026
float, 18000, 7.147442, 1631.912431
float, 18000, 7.150681, 1631.173322
float, 18000, 7.149141, 1631.524605
float, 18000, 7.152863, 1630.675785
float, 18000, 7.147967, 1631.792662
float, 18000, 7.144230, 1632.646285
float, 18000, 7.149991, 1631.330689
float, 18000, 7.149731, 1631.390064
float, 19000, 8.434525, 1626.410458
float, 19000, 8.430207, 1627.243611
float, 19000, 8.431969, 1626.903609
float, 19000, 8.463326, 1620.875716
float, 19000, 8.431852, 1626.926166
float, 19000, 8.437239, 1625.887267
float, 19000, 8.431026, 1627.085507
float, 19000, 8.434454, 1626.424117
float, 20000, 9.859786, 1622.753249
float, 20000, 9.860249, 1622.677066
float, 20000, 9.859100, 1622.866237
float, 20000, 9.860113, 1622.699537
float, 20000, 9.847881, 1624.714921
float, 20000, 9.863415, 1622.156297
float, 20000, 9.861328, 1622.499479
float, 20000, 9.858877, 1622.902882
