type, size, time, gflop
float, 2000, 0.013473, 1187.543471
float, 2000, 0.013239, 1208.525665
float, 2000, 0.014495, 1103.818245
float, 2000, 0.014970, 1068.819483
float, 2000, 0.014241, 1123.511637
float, 2000, 0.013408, 1193.348573
float, 2000, 0.013617, 1175.035921
float, 2000, 0.013297, 1203.291966
float, 3000, 0.039391, 1370.854431
float, 3000, 0.037749, 1430.503517
float, 3000, 0.038560, 1400.402009
float, 3000, 0.038697, 1395.449439
float, 3000, 0.039201, 1377.516231
float, 3000, 0.037677, 1433.219344
float, 3000, 0.038696, 1395.504723
float, 3000, 0.037553, 1437.949561
float, 4000, 0.083856, 1526.434683
float, 4000, 0.084358, 1517.334821
float, 4000, 0.084874, 1508.121381
float, 4000, 0.082849, 1544.987999
float, 4000, 0.084463, 1515.453637
float, 4000, 0.082784, 1546.200850
float, 4000, 0.083819, 1527.096927
float, 4000, 0.083457, 1533.715445
float, 5000, 0.164828, 1516.736615
float, 5000, 0.167149, 1495.671795
float, 5000, 0.163892, 1525.391235
float, 5000, 0.164902, 1516.055976
float, 5000, 0.164756, 1517.397622
float, 5000, 0.165554, 1510.079232
float, 5000, 0.166968, 1497.288967
float, 5000, 0.164267, 1521.912626
float, 6000, 0.277147, 1558.738084
float, 6000, 0.277354, 1557.573891
float, 6000, 0.277008, 1559.521927
float, 6000, 0.276737, 1561.048690
float, 6000, 0.278426, 1551.578945
float, 6000, 0.277234, 1558.249543
float, 6000, 0.276888, 1560.199901
float, 6000, 0.277040, 1559.341493
float, 7000, 0.429678, 1596.543497
float, 7000, 0.430641, 1592.974413
float, 7000, 0.433527, 1582.370193
float, 7000, 0.429210, 1598.285002
float, 7000, 0.429920, 1595.644525
float, 7000, 0.429808, 1596.062693
float, 7000, 0.432052, 1587.771747
float, 7000, 0.430315, 1594.179429
float, 8000, 0.637620, 1605.972743
float, 8000, 0.633517, 1616.372296
float, 8000, 0.631330, 1621.972679
float, 8000, 0.630783, 1623.378608
float, 8000, 0.632101, 1619.994650
float, 8000, 0.632250, 1619.613635
float, 8000, 0.630332, 1624.539540
float, 8000, 0.632600, 1618.715559
float, 9000, 0.908613, 1604.643136
float, 9000, 0.902403, 1615.686482
float, 9000, 0.897405, 1624.684404
float, 9000, 0.897930, 1623.734586
float, 9000, 0.903586, 1613.570727
float, 9000, 0.897619, 1624.297603
float, 9000, 0.899967, 1620.060097
float, 9000, 0.898901, 1621.979861
float, 10000, 1.268881, 1576.191401
float, 10000, 1.271388, 1573.083952
float, 10000, 1.273484, 1570.494985
float, 10000, 1.262736, 1583.862244
float, 10000, 1.266021, 1579.752698
float, 10000, 1.267711, 1577.646146
float, 10000, 1.265688, 1580.168523
float, 10000, 1.268744, 1576.362328
float, 11000, 1.656650, 1606.857632
float, 11000, 1.657978, 1605.570581
float, 11000, 1.659984, 1603.630176
float, 11000, 1.659055, 1604.528010
float, 11000, 1.656585, 1606.920071
float, 11000, 1.655977, 1607.510258
float, 11000, 1.658732, 1604.840451
float, 11000, 1.656724, 1606.785613
float, 12000, 2.139788, 1615.113129
float, 12000, 2.123582, 1627.438548
float, 12000, 2.122792, 1628.044348
float, 12000, 2.122270, 1628.444702
float, 12000, 2.123057, 1627.841046
