type, size, time, gflop
float, 2000, 0.019257, 830.872048
float, 2000, 0.020179, 792.899506
float, 2000, 0.018938, 844.858524
float, 2000, 0.019833, 806.747678
float, 2000, 0.025111, 637.163298
float, 2000, 0.018805, 850.847724
float, 2000, 0.020717, 772.307859
float, 2000, 0.019756, 809.883699
float, 3000, 0.051089, 1056.986094
float, 3000, 0.046972, 1149.611408
float, 3000, 0.043385, 1244.678079
float, 3000, 0.043702, 1235.642605
float, 3000, 0.046553, 1159.979944
float, 3000, 0.046664, 1157.218184
float, 3000, 0.043822, 1232.253861
float, 3000, 0.047679, 1132.569766
float, 4000, 0.091452, 1399.636674
float, 4000, 0.091952, 1392.025735
float, 4000, 0.094641, 1352.475825
float, 4000, 0.092075, 1390.176446
float, 4000, 0.091585, 1397.609374
float, 4000, 0.091377, 1400.797767
float, 4000, 0.092515, 1383.553755
float, 4000, 0.091470, 1399.371037
float, 5000, 0.175394, 1425.361799
float, 5000, 0.178039, 1404.186589
float, 5000, 0.175423, 1425.126491
float, 5000, 0.175775, 1422.270672
float, 5000, 0.176245, 1418.479530
float, 5000, 0.175225, 1426.738477
float, 5000, 0.176420, 1417.076525
float, 5000, 0.176094, 1419.698532
float, 6000, 0.286880, 1505.855404
float, 6000, 0.288129, 1499.330138
float, 6000, 0.287577, 1502.205922
float, 6000, 0.288069, 1499.642065
float, 6000, 0.288103, 1499.461240
float, 6000, 0.287513, 1502.539448
float, 6000, 0.287578, 1502.201111
float, 6000, 0.291624, 1481.361428
float, 7000, 0.444665, 1542.734168
float, 7000, 0.442943, 1548.731882
float, 7000, 0.444645, 1542.803879
float, 7000, 0.443647, 1546.273423
float, 7000, 0.444644, 1542.805964
float, 7000, 0.443807, 1545.717721
float, 7000, 0.444545, 1543.152362
float, 7000, 0.444320, 1543.933295
float, 8000, 0.649615, 1576.317305
float, 8000, 0.650459, 1574.272218
float, 8000, 0.650350, 1574.536255
float, 8000, 0.650145, 1575.033526
float, 8000, 0.650557, 1574.035551
float, 8000, 0.652138, 1570.219357
float, 8000, 0.651975, 1570.611876
float, 8000, 0.651263, 1572.330615
float, 9000, 0.931376, 1565.425881
float, 9000, 0.924917, 1576.357219
float, 9000, 0.927148, 1572.564029
float, 9000, 0.925427, 1575.488625
float, 9000, 0.928457, 1570.347045
float, 9000, 0.925270, 1575.756872
float, 9000, 0.923924, 1578.052163
float, 9000, 0.924529, 1577.018743
float, 10000, 1.290074, 1550.298338
float, 10000, 1.292760, 1547.077432
float, 10000, 1.292121, 1547.842898
float, 10000, 1.288969, 1551.627865
float, 10000, 1.291735, 1548.304611
float, 10000, 1.293183, 1546.571788
float, 10000, 1.289759, 1550.677881
float, 10000, 1.291534, 1548.546243
float, 11000, 1.689171, 1575.920926
float, 11000, 1.687396, 1577.579127
float, 11000, 1.688912, 1576.162733
float, 11000, 1.692541, 1572.783300
float, 11000, 1.689117, 1575.971707
float, 11000, 1.693275, 1572.101853
float, 11000, 1.691500, 1573.751032
float, 11000, 1.691811, 1573.461872
float, 12000, 2.224206, 1553.813150
float, 12000, 2.211410, 1562.804158
float, 12000, 2.214881, 1560.354983
float, 12000, 2.238975, 1543.563239
float, 12000, 2.205862, 1566.734453
float, 12000, 2.216592, 1559.150165
float, 12000, 2.208253, 1565.038249
float, 12000, 2.208002, 1565.216153
float, 13000, 2.795388, 1571.875057
float, 13000, 2.782278, 1579.281296
float, 13000, 2.789935, 1574.946843
float, 13000, 2.789524, 1575.178997
float, 13000, 2.778546, 1581.402790
float, 13000, 2.787207, 1576.488330
float, 13000, 2.789249, 1575.334683
float, 13000, 2.780388, 1580.354811
float, 14000, 3.442365, 1594.252683
float, 14000, 3.442787, 1594.057337
float, 14000, 3.441293, 1594.749578
float, 14000, 3.443906, 1593.539460
float, 14000, 3.446145, 1592.504025
float, 14000, 3.438293, 1596.140795
float, 14000, 3.439693, 1595.491254
float, 14000, 3.444457, 1593.284361
float, 15000, 4.303981, 1568.315340
float, 15000, 4.294178, 1571.895709
float, 15000, 4.308732, 1566.586214
float, 15000, 4.310922, 1565.790495
float, 15000, 4.307115, 1567.174459
float, 15000, 4.309310, 1566.376126
float, 15000, 4.314313, 1564.559729
float, 15000, 4.296410, 1571.078984
float, 16000, 5.142221, 1593.085800
float, 16000, 5.145323, 1592.125500
float, 16000, 5.153750, 1589.522086
float, 16000, 5.144488, 1592.383916
float, 16000, 5.210724, 1572.142252
float, 16000, 5.140579, 1593.594653
float, 16000, 5.142268, 1593.071487
float, 16000, 5.145471, 1592.079745
float, 17000, 6.197086, 1585.583959
float, 17000, 6.181908, 1589.476843
float, 17000, 6.195608, 1585.962270
float, 17000, 6.204745, 1583.626811
float, 17000, 6.191624, 1586.982713
float, 17000, 6.177219, 1590.683318
float, 17000, 6.188504, 1587.782834
float, 17000, 6.184569, 1588.792903
float, 18000, 7.353611, 1586.159581
float, 18000, 7.372024, 1582.197877
float, 18000, 7.364060, 1583.908879
float, 18000, 7.348697, 1587.220057
float, 18000, 7.359246, 1584.944957
float, 18000, 7.347615, 1587.453781
float, 18000, 7.382180, 1580.020996
float, 18000, 7.370865, 1582.446610
float, 19000, 8.648401, 1586.189100
float, 19000, 8.648196, 1586.226817
float, 19000, 8.631750, 1589.248987
float, 19000, 8.632330, 1589.142153
float, 19000, 8.612966, 1592.714916
float, 19000, 8.633550, 1588.917638
float, 19000, 8.655359, 1584.914129
float, 19000, 8.636382, 1588.396630
float, 20000, 10.178623, 1571.921798
float, 20000, 10.181782, 1571.434084
float, 20000, 10.180438, 1571.641660
float, 20000, 10.162830, 1574.364603
float, 20000, 10.175486, 1572.406520
float, 20000, 10.145738, 1577.016924
float, 20000, 10.175937, 1572.336766
float, 20000, 10.113744, 1582.005647
