type, size, time, gflop
float, 2000, 0.014916, 1072.663499
float, 2000, 0.014812, 1080.228941
float, 2000, 0.014753, 1084.517610
float, 2000, 0.015511, 1031.518433
float, 2000, 0.014917, 1072.583466
float, 2000, 0.014520, 1101.919647
float, 2000, 0.015123, 1058.000164
float, 2000, 0.014133, 1132.132372
float, 3000, 0.041648, 1296.584013
float, 3000, 0.040128, 1345.691231
float, 3000, 0.040144, 1345.143728
float, 3000, 0.041638, 1296.888618
float, 3000, 0.040346, 1338.416009
float, 3000, 0.040176, 1344.081539
float, 3000, 0.040151, 1344.933367
float, 3000, 0.041233, 1309.632383
float, 4000, 0.084862, 1508.331955
float, 4000, 0.084968, 1506.444984
float, 4000, 0.085493, 1497.194888
float, 4000, 0.085783, 1492.142268
float, 4000, 0.085051, 1504.975986
float, 4000, 0.085438, 1498.163532
float, 4000, 0.084963, 1506.534612
float, 4000, 0.084882, 1507.980362
float, 5000, 0.165570, 1509.936031
float, 5000, 0.165383, 1511.645533
float, 5000, 0.165682, 1508.911198
float, 5000, 0.164404, 1520.641408
float, 5000, 0.165052, 1514.674273
float, 5000, 0.164775, 1517.224789
float, 5000, 0.165151, 1513.762643
float, 5000, 0.164931, 1515.784957
float, 6000, 0.278341, 1552.050570
float, 6000, 0.277815, 1554.991402
float, 6000, 0.278104, 1553.373861
float, 6000, 0.278159, 1553.071310
float, 6000, 0.278019, 1553.853028
float, 6000, 0.279720, 1544.403935
float, 6000, 0.279908, 1543.366167
float, 6000, 0.278375, 1551.863036
float, 7000, 0.432823, 1584.941701
float, 7000, 0.434275, 1579.644122
float, 7000, 0.432644, 1585.600004
float, 7000, 0.433133, 1583.809664
float, 7000, 0.433294, 1583.222275
float, 7000, 0.432837, 1584.891890
float, 7000, 0.432765, 1585.156535
float, 7000, 0.436443, 1571.799209
float, 8000, 0.640508, 1598.731669
float, 8000, 0.639881, 1600.298046
float, 8000, 0.639931, 1600.172061
float, 8000, 0.639139, 1602.154267
float, 8000, 0.638058, 1604.869895
float, 8000, 0.638145, 1604.650948
float, 8000, 0.640496, 1598.762096
float, 8000, 0.639637, 1600.906914
float, 9000, 0.907530, 1606.558815
float, 9000, 0.904727, 1611.535579
float, 9000, 0.905447, 1610.254557
float, 9000, 0.906145, 1609.014518
float, 9000, 0.907714, 1606.232807
float, 9000, 0.904724, 1611.541059
float, 9000, 0.908511, 1604.823417
float, 9000, 0.905005, 1611.041633
float, 10000, 1.298191, 1540.605687
float, 10000, 1.297483, 1541.446354
float, 10000, 1.301714, 1536.436004
float, 10000, 1.299669, 1538.853855
float, 10000, 1.298505, 1540.232990
float, 10000, 1.299358, 1539.221792
float, 10000, 1.299010, 1539.634470
float, 10000, 1.298422, 1540.330812
float, 11000, 1.700827, 1565.121079
float, 11000, 1.691004, 1574.212837
float, 11000, 1.680274, 1584.265624
float, 11000, 1.684965, 1579.854896
float, 11000, 1.683091, 1581.613616
float, 11000, 1.681285, 1583.313170
float, 11000, 1.684462, 1580.326084
float, 11000, 1.689118, 1575.970856
float, 12000, 2.223033, 1554.632530
float, 12000, 2.158393, 1601.191515
float, 12000, 2.159632, 1600.272346
float, 12000, 2.149690, 1607.673374
float, 12000, 2.182071, 1583.816135
