type, size, time, gflop
float, 2000, 0.017439, 917.491114
float, 2000, 0.024556, 651.569582
float, 2000, 0.018601, 860.187306
float, 2000, 0.019396, 824.912183
float, 2000, 0.020409, 783.971968
float, 2000, 0.018651, 857.882812
float, 2000, 0.017644, 906.834334
float, 2000, 0.018560, 862.084201
float, 3000, 0.044656, 1209.243403
float, 3000, 0.042546, 1269.219240
float, 3000, 0.044605, 1210.632202
float, 3000, 0.042857, 1259.995909
float, 3000, 0.041434, 1303.262184
float, 3000, 0.049051, 1100.892832
float, 3000, 0.042646, 1266.226962
float, 3000, 0.042708, 1264.406211
float, 4000, 0.087560, 1461.862408
float, 4000, 0.095057, 1346.556504
float, 4000, 0.094852, 1349.475848
float, 4000, 0.088167, 1451.783848
float, 4000, 0.088192, 1451.376078
float, 4000, 0.088434, 1447.404634
float, 4000, 0.088008, 1454.419879
float, 4000, 0.088035, 1453.962630
float, 5000, 0.169276, 1476.877509
float, 5000, 0.169037, 1478.964472
float, 5000, 0.169754, 1472.722140
float, 5000, 0.172215, 1451.675499
float, 5000, 0.169824, 1472.110762
float, 5000, 0.169492, 1475.000195
float, 5000, 0.169794, 1472.374095
float, 5000, 0.177225, 1410.637009
float, 6000, 0.282161, 1531.042764
float, 6000, 0.280658, 1539.239282
float, 6000, 0.280277, 1541.332864
float, 6000, 0.282281, 1530.387865
float, 6000, 0.279096, 1547.854091
float, 6000, 0.282468, 1529.378809
float, 6000, 0.279354, 1546.425326
float, 6000, 0.280290, 1541.259418
float, 7000, 0.432958, 1584.447865
float, 7000, 0.433360, 1582.977971
float, 7000, 0.437364, 1568.486482
float, 7000, 0.433732, 1581.621623
float, 7000, 0.433224, 1583.476582
float, 7000, 0.434525, 1578.735895
float, 7000, 0.434841, 1577.587234
float, 7000, 0.434927, 1577.275026
float, 8000, 0.636244, 1609.445294
float, 8000, 0.635392, 1611.604114
float, 8000, 0.637409, 1606.503457
float, 8000, 0.636516, 1608.758590
float, 8000, 0.636444, 1608.940649
float, 8000, 0.635903, 1610.308209
float, 8000, 0.636147, 1609.689769
float, 8000, 0.636420, 1609.001117
float, 9000, 0.904340, 1612.224628
float, 9000, 0.904023, 1612.791674
float, 9000, 0.904111, 1612.634079
float, 9000, 0.903474, 1613.771327
float, 9000, 0.903523, 1613.683287
float, 9000, 0.902781, 1615.009227
float, 9000, 0.903590, 1613.563902
float, 9000, 0.903559, 1613.618894
float, 10000, 1.252340, 1597.010152
float, 10000, 1.250159, 1599.796622
float, 10000, 1.248878, 1601.437663
float, 10000, 1.249141, 1601.100347
float, 10000, 1.249288, 1600.912282
float, 10000, 1.247839, 1602.771429
float, 10000, 1.248593, 1601.802443
float, 10000, 1.249338, 1600.847528
float, 11000, 1.647868, 1615.420307
float, 11000, 1.642852, 1620.353382
float, 11000, 1.644503, 1618.726125
float, 11000, 1.641375, 1621.810974
float, 11000, 1.644996, 1618.241340
float, 11000, 1.642566, 1620.635406
float, 11000, 1.644652, 1618.579101
float, 11000, 1.643056, 1620.151985
float, 12000, 2.143384, 1612.403358
float, 12000, 2.141861, 1613.549855
float, 12000, 2.143904, 1612.012184
float, 12000, 2.145527, 1610.792694
float, 12000, 2.143152, 1612.577902
float, 12000, 2.140248, 1614.766015
float, 12000, 2.141908, 1613.514901
float, 12000, 2.140262, 1614.755824
float, 13000, 2.705626, 1624.023142
float, 13000, 2.709033, 1621.981218
float, 13000, 2.707250, 1623.049235
float, 13000, 2.704330, 1624.801446
float, 13000, 2.708163, 1622.502199
float, 13000, 2.708334, 1622.399876
float, 13000, 2.704474, 1624.715284
float, 13000, 2.708920, 1622.048490
float, 14000, 3.358153, 1634.231743
float, 14000, 3.358969, 1633.834539
float, 14000, 3.332913, 1646.607880
float, 14000, 3.353840, 1636.333331
float, 14000, 3.358371, 1634.125529
float, 14000, 3.359521, 1633.565982
float, 14000, 3.357674, 1634.464744
float, 14000, 3.357557, 1634.521680
float, 15000, 4.177602, 1615.759525
float, 15000, 4.176964, 1616.006242
float, 15000, 4.175784, 1616.462979
float, 15000, 4.177167, 1615.927842
float, 15000, 4.172617, 1617.689725
float, 15000, 4.182230, 1613.971620
float, 15000, 4.182976, 1613.683617
float, 15000, 4.182359, 1613.921573
float, 16000, 5.019115, 1632.160243
float, 16000, 5.020349, 1631.759117
float, 16000, 5.018546, 1632.345466
float, 16000, 5.018485, 1632.365225
float, 16000, 5.019749, 1631.954247
float, 16000, 5.020275, 1631.783105
float, 16000, 5.019358, 1632.081230
float, 16000, 5.034913, 1627.038971
float, 17000, 6.027326, 1630.241964
float, 17000, 6.024149, 1631.101771
float, 17000, 6.029193, 1629.737262
float, 17000, 6.026069, 1630.581942
float, 17000, 6.028708, 1629.868391
float, 17000, 6.032184, 1628.929110
float, 17000, 6.027526, 1630.188038
float, 17000, 6.029339, 1629.697644
float, 18000, 7.154100, 1630.393814
float, 18000, 7.153380, 1630.557856
float, 18000, 7.143256, 1632.868796
float, 18000, 7.150863, 1631.131784
float, 18000, 7.151027, 1631.094303
float, 18000, 7.156434, 1629.861933
float, 18000, 7.154670, 1630.263956
float, 18000, 7.151002, 1631.100164
float, 19000, 8.433755, 1626.559052
float, 19000, 8.433951, 1626.521213
float, 19000, 8.430086, 1627.266973
float, 19000, 8.435329, 1626.255418
float, 19000, 8.439211, 1625.507417
float, 19000, 8.435275, 1626.265889
float, 19000, 8.439743, 1625.404976
float, 19000, 8.433184, 1626.669206
float, 20000, 9.898444, 1616.415736
float, 20000, 9.866149, 1621.706698
float, 20000, 9.861195, 1622.521444
float, 20000, 9.861046, 1622.545971
float, 20000, 9.861844, 1622.414593
float, 20000, 9.862606, 1622.289282
float, 20000, 9.859325, 1622.829080
float, 20000, 9.862897, 1622.241473
