type, size, time, gflop
float, 2000, 0.014768, 1083.395521
float, 2000, 0.014311, 1117.990089
float, 2000, 0.013760, 1162.790867
float, 2000, 0.016057, 996.453870
float, 2000, 0.014579, 1097.457370
float, 2000, 0.013403, 1193.795902
float, 2000, 0.014301, 1118.804524
float, 2000, 0.013291, 1203.839616
float, 3000, 0.039667, 1361.326783
float, 3000, 0.038667, 1396.544272
float, 3000, 0.038662, 1396.736587
float, 3000, 0.038399, 1406.273694
float, 3000, 0.039035, 1383.361350
float, 3000, 0.039363, 1371.837841
float, 3000, 0.038528, 1401.592661
float, 3000, 0.038158, 1415.168807
float, 4000, 0.083371, 1535.313095
float, 4000, 0.083010, 1541.981835
float, 4000, 0.083361, 1535.490880
float, 4000, 0.084054, 1522.831811
float, 4000, 0.083003, 1542.118491
float, 4000, 0.083202, 1538.415515
float, 4000, 0.083075, 1540.784048
float, 4000, 0.082988, 1542.393641
float, 5000, 0.164011, 1524.283367
float, 5000, 0.163909, 1525.233419
float, 5000, 0.166817, 1498.647608
float, 5000, 0.166286, 1503.432912
float, 5000, 0.164387, 1520.799349
float, 5000, 0.166128, 1504.865767
float, 5000, 0.165672, 1509.009007
float, 5000, 0.166769, 1499.075206
float, 6000, 0.277100, 1559.004943
float, 6000, 0.276717, 1561.160935
float, 6000, 0.276676, 1561.390497
float, 6000, 0.277274, 1558.028113
float, 6000, 0.276314, 1563.440151
float, 6000, 0.279483, 1545.709258
float, 6000, 0.276798, 1560.706632
float, 6000, 0.276576, 1561.954915
float, 7000, 0.429083, 1598.757679
float, 7000, 0.429725, 1596.368040
float, 7000, 0.430244, 1594.444457
float, 7000, 0.429694, 1596.484253
float, 7000, 0.433292, 1583.226444
float, 7000, 0.429259, 1598.104069
float, 7000, 0.431563, 1589.572453
float, 7000, 0.430743, 1592.598793
float, 8000, 0.633206, 1617.166053
float, 8000, 0.631539, 1621.435817
float, 8000, 0.634064, 1614.977760
float, 8000, 0.638422, 1603.953894
