type, size, time, gflop
float, 2000, 0.021472, 745.157177
float, 2000, 0.022192, 720.992489
float, 2000, 0.019484, 821.181473
float, 2000, 0.018998, 842.179863
float, 2000, 0.021107, 758.048210
float, 2000, 0.019688, 812.693129
float, 2000, 0.019217, 832.581712
float, 2000, 0.019072, 838.920852
float, 3000, 0.046754, 1154.972449
float, 3000, 0.043270, 1247.981650
float, 3000, 0.044097, 1224.570157
float, 3000, 0.050493, 1069.446234
float, 3000, 0.043842, 1231.700045
float, 3000, 0.043720, 1235.129216
float, 3000, 0.043593, 1238.723004
float, 3000, 0.043952, 1228.615940
float, 4000, 0.094014, 1361.499539
float, 4000, 0.091453, 1399.626129
float, 4000, 0.092141, 1389.172994
float, 4000, 0.098454, 1300.100133
float, 4000, 0.091247, 1402.783985
float, 4000, 0.091405, 1400.367327
float, 4000, 0.092051, 1390.538781
float, 4000, 0.091694, 1395.950983
float, 5000, 0.175476, 1424.692820
float, 5000, 0.175278, 1426.309400
float, 5000, 0.175524, 1424.306177
float, 5000, 0.179902, 1389.641635
float, 5000, 0.174808, 1430.137143
float, 5000, 0.182271, 1371.585763
float, 5000, 0.175980, 1420.619442
float, 5000, 0.176066, 1419.922526
float, 6000, 0.287367, 1503.306716
float, 6000, 0.289035, 1494.627696
float, 6000, 0.287631, 1501.925688
float, 6000, 0.296519, 1456.902949
float, 6000, 0.288641, 1496.666923
float, 6000, 0.288828, 1495.699257
float, 6000, 0.287507, 1502.570941
float, 6000, 0.288257, 1498.662064
float, 7000, 0.444683, 1542.673473
float, 7000, 0.449551, 1525.967832
float, 7000, 0.444237, 1544.221193
float, 7000, 0.443638, 1546.306584
float, 7000, 0.444828, 1542.169216
float, 7000, 0.444461, 1543.442285
float, 7000, 0.444190, 1544.384014
float, 7000, 0.444907, 1541.895092
float, 8000, 0.652120, 1570.263729
float, 8000, 0.650050, 1575.263320
float, 8000, 0.650329, 1574.586792
float, 8000, 0.648216, 1579.719848
float, 8000, 0.650277, 1574.713177
float, 8000, 0.652220, 1570.021386
float, 8000, 0.651332, 1572.163345
float, 8000, 0.651966, 1570.634276
float, 9000, 0.927099, 1572.647602
float, 9000, 0.924705, 1576.718462
float, 9000, 0.924311, 1577.390690
float, 9000, 0.923135, 1579.401136
float, 9000, 0.924429, 1577.190108
float, 9000, 0.924358, 1577.311170
float, 9000, 0.926063, 1574.407074
float, 9000, 0.925705, 1575.015285
float, 10000, 1.291012, 1549.172083
float, 10000, 1.293120, 1546.646689
float, 10000, 1.291415, 1548.688837
float, 10000, 1.290482, 1549.808288
float, 10000, 1.290630, 1549.631201
float, 10000, 1.290720, 1549.522452
float, 10000, 1.292159, 1547.797503
float, 10000, 1.293324, 1546.402959
float, 11000, 1.694551, 1570.917826
float, 11000, 1.693957, 1571.468334
float, 11000, 1.692910, 1572.440092
float, 11000, 1.692300, 1573.007327
float, 11000, 1.689299, 1575.801151
float, 11000, 1.692864, 1572.482698
float, 11000, 1.694914, 1570.581021
float, 11000, 1.691482, 1573.768282
float, 12000, 2.214221, 1560.819519
float, 12000, 2.217753, 1558.334247
float, 12000, 2.208913, 1564.570750
float, 12000, 2.222476, 1555.022257
float, 12000, 2.203632, 1568.320092
float, 12000, 2.210186, 1563.669141
float, 12000, 2.208821, 1564.635547
float, 12000, 2.216086, 1559.505956
float, 13000, 2.788614, 1575.693162
float, 13000, 2.794749, 1572.234115
float, 13000, 2.812684, 1562.208639
float, 13000, 2.809486, 1563.986906
float, 13000, 2.787505, 1576.319833
float, 13000, 2.786130, 1577.098077
float, 13000, 2.780565, 1580.254402
float, 13000, 2.787174, 1576.507055
float, 14000, 3.440473, 1595.129439
float, 14000, 3.441872, 1594.481142
float, 14000, 3.440077, 1595.312927
float, 14000, 3.424812, 1602.423515
float, 14000, 3.438561, 1596.016650
float, 14000, 3.429591, 1600.190984
float, 14000, 3.437780, 1596.379118
float, 14000, 3.442115, 1594.368568
float, 15000, 4.311822, 1565.463435
float, 15000, 4.317938, 1563.246114
float, 15000, 4.298161, 1570.439115
float, 15000, 4.315636, 1564.080112
float, 15000, 4.298169, 1570.436005
float, 15000, 4.329811, 1558.959630
float, 15000, 4.326919, 1560.001466
float, 15000, 4.305260, 1567.849477
float, 16000, 5.154976, 1589.144101
float, 16000, 5.150748, 1590.448584
float, 16000, 5.149912, 1590.706838
float, 16000, 5.150600, 1590.494278
float, 16000, 5.153940, 1589.463664
float, 16000, 5.145007, 1592.223179
float, 16000, 5.147063, 1591.587157
float, 16000, 5.141791, 1593.219238
float, 17000, 6.201716, 1584.400310
float, 17000, 6.198926, 1585.113406
float, 17000, 6.202150, 1584.289266
float, 17000, 6.192349, 1586.796960
float, 17000, 6.187780, 1587.968536
float, 17000, 6.181421, 1589.602236
float, 17000, 6.196684, 1585.686678
float, 17000, 6.183822, 1588.984889
float, 18000, 7.367779, 1583.109403
float, 18000, 7.341042, 1588.875263
float, 18000, 7.430176, 1569.814669
float, 18000, 7.396465, 1576.969509
float, 18000, 7.369779, 1582.679788
float, 18000, 7.384087, 1579.613002
float, 18000, 7.373765, 1581.824279
float, 18000, 7.365735, 1583.548778
float, 19000, 8.714620, 1574.136410
float, 19000, 8.616120, 1592.132001
float, 19000, 8.647043, 1586.438220
float, 19000, 8.710709, 1574.843080
float, 19000, 8.631158, 1589.357922
float, 19000, 8.641468, 1587.461850
float, 19000, 8.701922, 1576.433362
float, 19000, 8.644288, 1586.943860
float, 20000, 10.180579, 1571.619893
float, 20000, 10.173927, 1572.647491
float, 20000, 10.160441, 1574.734737
float, 20000, 10.164929, 1574.039561
float, 20000, 10.253485, 1560.445031
float, 20000, 10.156903, 1575.283369
float, 20000, 10.177718, 1572.061652
float, 20000, 10.170487, 1573.179325
