type, size, time, gflop
float, 2000, 0.014212, 1125.836347
float, 2000, 0.014081, 1136.295765
float, 2000, 0.015077, 1061.233223
float, 2000, 0.015652, 1022.230445
float, 2000, 0.014833, 1078.696506
float, 2000, 0.014304, 1118.607256
float, 2000, 0.014436, 1108.375195
float, 2000, 0.015459, 1035.014810
float, 3000, 0.040099, 1346.658435
float, 3000, 0.039761, 1358.101278
float, 3000, 0.039820, 1356.106922
float, 3000, 0.041579, 1298.734564
float, 3000, 0.041129, 1312.927299
float, 3000, 0.041318, 1306.936223
float, 3000, 0.041382, 1304.924199
float, 3000, 0.040222, 1342.548053
float, 4000, 0.084885, 1507.919108
float, 4000, 0.085398, 1498.868934
float, 4000, 0.085059, 1504.841817
float, 4000, 0.084822, 1509.049955
float, 4000, 0.084828, 1508.927813
float, 4000, 0.085186, 1502.588608
float, 4000, 0.085136, 1503.474159
float, 4000, 0.084864, 1508.287184
float, 5000, 0.164094, 1523.514279
float, 5000, 0.164251, 1522.063019
float, 5000, 0.164674, 1518.154379
float, 5000, 0.164983, 1515.305195
float, 5000, 0.164119, 1523.287328
float, 5000, 0.165508, 1510.504873
float, 5000, 0.167318, 1494.157783
float, 5000, 0.165460, 1510.936488
float, 6000, 0.278614, 1550.534214
float, 6000, 0.278051, 1553.669445
float, 6000, 0.277992, 1553.999072
float, 6000, 0.278319, 1552.175601
float, 6000, 0.278215, 1552.757910
float, 6000, 0.278676, 1550.189061
float, 6000, 0.278292, 1552.326172
float, 6000, 0.278312, 1552.217519
float, 7000, 0.433009, 1584.262621
float, 7000, 0.433988, 1580.687490
float, 7000, 0.432848, 1584.853257
float, 7000, 0.433748, 1581.563941
float, 7000, 0.433332, 1583.082064
float, 7000, 0.432317, 1586.799494
float, 7000, 0.432563, 1585.896628
float, 7000, 0.433685, 1581.792643
float, 8000, 0.640186, 1599.535198
float, 8000, 0.639675, 1600.811662
float, 8000, 0.640200, 1599.500746
float, 8000, 0.639577, 1601.057073
float, 8000, 0.638135, 1604.677301
float, 8000, 0.639898, 1600.255738
float, 8000, 0.641377, 1596.564570
float, 8000, 0.640643, 1598.393871
float, 9000, 0.910158, 1601.920378
float, 9000, 0.904614, 1611.736694
float, 9000, 0.904812, 1611.383925
float, 9000, 0.905752, 1609.712920
float, 9000, 0.908353, 1605.102987
float, 9000, 0.907966, 1605.787683
float, 9000, 0.908740, 1604.419874
float, 9000, 0.906527, 1608.335633
float, 10000, 1.298342, 1540.425984
float, 10000, 1.297882, 1540.971767
float, 10000, 1.298242, 1540.544308
float, 10000, 1.298764, 1539.925906
float, 10000, 1.299758, 1538.748186
float, 10000, 1.310535, 1526.094842
float, 10000, 1.301066, 1537.201545
float, 10000, 1.298968, 1539.683763
float, 11000, 1.683673, 1581.067367
float, 11000, 1.682368, 1582.293448
float, 11000, 1.683799, 1580.948614
float, 11000, 1.682302, 1582.355274
float, 11000, 1.681973, 1582.665001
float, 11000, 1.686473, 1578.442448
float, 11000, 1.704406, 1561.834609
float, 11000, 1.680222, 1584.314202
float, 12000, 2.161463, 1598.917207
float, 12000, 2.226177, 1552.437515
float, 12000, 2.225662, 1552.796347
float, 12000, 2.151900, 1606.022606
float, 12000, 2.158268, 1601.283790
float, 12000, 2.157455, 1601.887649
float, 12000, 2.203521, 1568.398706
float, 12000, 2.154811, 1603.852701
float, 13000, 2.763693, 1589.901548
float, 13000, 2.763590, 1589.960675
float, 13000, 2.764031, 1589.707190
float, 13000, 2.765852, 1588.660323
float, 13000, 2.802477, 1567.898664
float, 13000, 2.769060, 1586.819948
float, 13000, 2.765617, 1588.795530
float, 13000, 2.765371, 1588.936959
float, 14000, 3.506242, 1565.208586
float, 14000, 3.507715, 1564.551471
float, 14000, 3.503300, 1566.523099
float, 14000, 3.501960, 1567.122218
float, 14000, 3.510071, 1563.500977
float, 14000, 3.503765, 1566.315041
float, 14000, 3.517909, 1560.017806
float, 14000, 3.411228, 1608.804578
float, 15000, 4.181630, 1614.203089
float, 15000, 4.183511, 1613.477176
float, 15000, 4.184606, 1613.054898
float, 15000, 4.175340, 1616.634805
float, 15000, 4.180194, 1614.757589
float, 15000, 4.185207, 1612.823362
float, 15000, 4.195713, 1608.785061
float, 15000, 4.180498, 1614.640072
float, 16000, 5.241152, 1563.015165
float, 16000, 5.048834, 1622.552964
float, 16000, 5.047280, 1623.052445
